section	split	mode	method	expert_id	metric	value	reference	notes
teacher_oof_metric	judge_valid_0	LAV	Best single	NA	J	0.5642828202	Per-mode fixed stacking	NA
teacher_oof_metric	judge_valid_0	LAV	Best single	NA	MAE	0.5642828202	Per-mode fixed stacking	NA
teacher_oof_metric	judge_valid_0	LAV	Best single	NA	Corr	0.742395228	Per-mode fixed stacking	NA
teacher_oof_metric	judge_valid_0	LAV	Best single	NA	Acc7	0.5231247124	Per-mode fixed stacking	NA
teacher_oof_metric	judge_valid_0	LAV	Best single	NA	Acc5	0.5431431201	Per-mode fixed stacking	NA
teacher_oof_metric	judge_valid_0	LAV	Best single	NA	Acc2	0.8410498378	Per-mode fixed stacking	NA
teacher_oof_metric	judge_valid_0	LAV	Best single	NA	F1	0.8405352503	Per-mode fixed stacking	NA
teacher_oof_metric	judge_valid_0	LA	Best single	NA	J	0.5652490807	Per-mode fixed stacking	NA
teacher_oof_metric	judge_valid_0	LA	Best single	NA	MAE	0.5652490807	Per-mode fixed stacking	NA
teacher_oof_metric	judge_valid_0	LA	Best single	NA	Corr	0.7416108549	Per-mode fixed stacking	NA
teacher_oof_metric	judge_valid_0	LA	Best single	NA	Acc7	0.5224344225	Per-mode fixed stacking	NA
teacher_oof_metric	judge_valid_0	LA	Best single	NA	Acc5	0.5421076852	Per-mode fixed stacking	NA
teacher_oof_metric	judge_valid_0	LA	Best single	NA	Acc2	0.8397227956	Per-mode fixed stacking	NA
teacher_oof_metric	judge_valid_0	LA	Best single	NA	F1	0.8391624094	Per-mode fixed stacking	NA
teacher_oof_metric	judge_valid_0	LV	Best single	NA	J	0.5647066181	Per-mode fixed stacking	NA
teacher_oof_metric	judge_valid_0	LV	Best single	NA	MAE	0.5647066181	Per-mode fixed stacking	NA
teacher_oof_metric	judge_valid_0	LV	Best single	NA	Corr	0.7418749712	Per-mode fixed stacking	NA
teacher_oof_metric	judge_valid_0	LV	Best single	NA	Acc7	0.5224344225	Per-mode fixed stacking	NA
teacher_oof_metric	judge_valid_0	LV	Best single	NA	Acc5	0.5427979751	Per-mode fixed stacking	NA
teacher_oof_metric	judge_valid_0	LV	Best single	NA	Acc2	0.8403125922	Per-mode fixed stacking	NA
teacher_oof_metric	judge_valid_0	LV	Best single	NA	F1	0.8398943805	Per-mode fixed stacking	NA
teacher_oof_metric	judge_valid_0	L	Best single	NA	J	0.5655557709	Per-mode fixed stacking	NA
teacher_oof_metric	judge_valid_0	L	Best single	NA	MAE	0.5655557709	Per-mode fixed stacking	NA
teacher_oof_metric	judge_valid_0	L	Best single	NA	Corr	0.7411846515	Per-mode fixed stacking	NA
teacher_oof_metric	judge_valid_0	L	Best single	NA	Acc7	0.5227795674	Per-mode fixed stacking	NA
teacher_oof_metric	judge_valid_0	L	Best single	NA	Acc5	0.5426829268	Per-mode fixed stacking	NA
teacher_oof_metric	judge_valid_0	L	Best single	NA	Acc2	0.8388381009	Per-mode fixed stacking	NA
teacher_oof_metric	judge_valid_0	L	Best single	NA	F1	0.8384275985	Per-mode fixed stacking	NA
teacher_oof_metric	judge_valid_0	Overall	Best single	NA	J	0.564726655	Per-mode fixed stacking	NA
teacher_oof_metric	judge_valid_0	Overall	Best single	NA	MAE	0.5649485725	Per-mode fixed stacking	NA
teacher_oof_metric	judge_valid_0	Overall	Best single	NA	Corr	0.7417664264	Per-mode fixed stacking	NA
teacher_oof_metric	judge_valid_0	Overall	Best single	NA	Acc7	0.5226932812	Per-mode fixed stacking	NA
teacher_oof_metric	judge_valid_0	Overall	Best single	NA	Acc5	0.5426829268	Per-mode fixed stacking	NA
teacher_oof_metric	judge_valid_0	Overall	Best single	NA	Acc2	0.8399808316	Per-mode fixed stacking	NA
teacher_oof_metric	judge_valid_0	Overall	Best single	NA	F1	0.8395049096	Per-mode fixed stacking	NA
teacher_oof_metric	judge_valid_0	LAV	Equal average	NA	J	0.5527313898	Per-mode fixed stacking	NA
teacher_oof_metric	judge_valid_0	LAV	Equal average	NA	MAE	0.5527313898	Per-mode fixed stacking	NA
teacher_oof_metric	judge_valid_0	LAV	Equal average	NA	Corr	0.7573875358	Per-mode fixed stacking	NA
teacher_oof_metric	judge_valid_0	LAV	Equal average	NA	Acc7	0.5273815002	Per-mode fixed stacking	NA
teacher_oof_metric	judge_valid_0	LAV	Equal average	NA	Acc5	0.5487804878	Per-mode fixed stacking	NA
teacher_oof_metric	judge_valid_0	LAV	Equal average	NA	Acc2	0.8431141256	Per-mode fixed stacking	NA
teacher_oof_metric	judge_valid_0	LAV	Equal average	NA	F1	0.8428526377	Per-mode fixed stacking	NA
teacher_oof_metric	judge_valid_0	LA	Equal average	NA	J	0.5545436276	Per-mode fixed stacking	NA
teacher_oof_metric	judge_valid_0	LA	Equal average	NA	MAE	0.5545436276	Per-mode fixed stacking	NA
teacher_oof_metric	judge_valid_0	LA	Equal average	NA	Corr	0.7557345788	Per-mode fixed stacking	NA
teacher_oof_metric	judge_valid_0	LA	Equal average	NA	Acc7	0.5255407271	Per-mode fixed stacking	NA
teacher_oof_metric	judge_valid_0	LA	Equal average	NA	Acc5	0.546709618	Per-mode fixed stacking	NA
teacher_oof_metric	judge_valid_0	LA	Equal average	NA	Acc2	0.8431141256	Per-mode fixed stacking	NA
teacher_oof_metric	judge_valid_0	LA	Equal average	NA	F1	0.8427758988	Per-mode fixed stacking	NA
teacher_oof_metric	judge_valid_0	LV	Equal average	NA	J	0.5529810536	Per-mode fixed stacking	NA
teacher_oof_metric	judge_valid_0	LV	Equal average	NA	MAE	0.5529810536	Per-mode fixed stacking	NA
teacher_oof_metric	judge_valid_0	LV	Equal average	NA	Corr	0.7570660477	Per-mode fixed stacking	NA
teacher_oof_metric	judge_valid_0	LV	Equal average	NA	Acc7	0.5287620801	Per-mode fixed stacking	NA
