outer_fold,component,best_inner_J,best_epoch,wall_seconds,peak_gpu_memory_bytes,checkpoint_sha256
0,clean_seed1111,0.6841542721,9,1.359462372,901877760,20fdeba3e1c324083bce843cb9b72d97e0ecf9f1515681c5dbb4bec64835d9f3
0,clean_seed1114,0.7586746812,9,1.230540946,901877760,f390f5aa0705591bcf5d7e4947898b47688bee978f83559df2a4c2110cad9e20
0,uniform_kd_seed1111,0.7055944006,10,545.9784927,4419286528,e8192b89c3ed7f5c1b4f977b89aff7be731e41159ee4796a9742379d96e45693
0,moddrop_seed1111,0.7394970655,5,1.388981546,901888000,81c8e8330d07450dbd84c653fed106ad577ed873b94f1f3a35263aaca33454f3
0,moddrop_seed1114,0.7718399862,1,164.2898401,3266012672,e915946c085dfd7570b8f3cfd63b13cd46a9e8545ecea00efff1fea6edff3af3
0,cfcompat_seed1111,0.720492065,7,431.5803371,4869020160,d093e8e4d2b84f40280cdde97ba5af76c000a6fdf05a20a4091d9455c1df4b0d
0,cfcompat_seed1114,0.7969691455,1,223.3267275,4869020160,8de76b38fee8ded11d7371a0fed9e4fe1016b2498b3fbdd18a2f0cfc118532e1
1,clean_seed1111,0.7983638644,8,162.2288995,2540366848,3aaecc2ddaf7af4c8aa0afbd5c26fcd36c31d6e7aa52bfec57764255d5a70184
1,clean_seed1114,0.798465848,8,163.4442919,2540366848,db304783f7ab1df49d331b06911dd6ac02f61c53d7157fb78308d2f941383d16
1,uniform_kd_seed1111,0.808699886,3,283.9548383,4420547584,08dc5f7020c28d2e588c125c49e994034e3eeda48b8b0fc1e547e133d1528eab
1,moddrop_seed1111,0.7548811932,2,176.1437121,3266129408,7f53418468f4cb8b3c3225bb4ed4b67647a11c5f3a414aed90264d7add7abe29
1,moddrop_seed1114,0.6908132831,1,154.6109204,3267440128,1fe3e12a8a2f07411393b3516e89d1e1fec26fbe9a1cedf519c9fdb82e75967e
1,cfcompat_seed1111,0.7778947751,8,440.9625828,4869136896,f39db3dc344be51158c0b76a6dbf3b1bff15e1077b4c5ad5dfee24e2429e0700
1,cfcompat_seed1114,0.6997190217,1,225.7069137,4869136896,cdbf197d4bd65bf17bb91a4c614d5178aa9db92d219e3a6c0dac2bd9710a257b
2,clean_seed1111,0.7553744316,22,296.5377442,2540366848,c88abd7151f2209b9103a430603a8c02df4e830264149b02936c139cbe03ccdb
2,clean_seed1114,0.7255836725,11,187.2779391,2540366848,1302f152c9802dfa53445fd32d5eaa1ee6facb12e72451d6ffe369b8d08c161a
2,uniform_kd_seed1111,0.7519524892,13,555.535746,4419403264,80f67e3514b3360d43783025a0c0e336012d466b886e5066c43b9d0f5dd6c3c9
2,moddrop_seed1111,0.7552266717,9,301.400052,3266129408,018c78ed9fa6a5e2bff3bb6cb3a655680424c9b99036ffadfa76dd22325c4252
2,moddrop_seed1114,0.7507919967,19,502.0479088,3267440128,919e5c21766f6083d92b4206f8cd0c1c1774ec7c397ab4282a7409f1280ea4cf
2,cfcompat_seed1111,0.7452166478,11,496.6422093,4869136896,aebb9eb8e9123212d027a7d78e51c2121e2036ab7f5ff4adcb3a44b3b2ac85f8
2,cfcompat_seed1114,0.7787443399,13,561.8868651,4869136896,ae69b7dc7d528f8e639d82f66642db2959932f9f31d4638e7e3cfa1791de138b
3,clean_seed1111,0.8920977116,11,185.4233732,2540366848,dd5e813c29c3863452fe4d4ac749f274a6639e0dfa9960eef8bc450156b1c657
3,clean_seed1114,0.8559224606,16,254.1989323,2540366848,8863c133c8ef75599c06b4818860dcb8b5bdb7309d056a7a5749431854afd630
3,uniform_kd_seed1111,0.8931206961,4,298.1465222,4420547584,99c4ea8e5052df1ec0630546852a2459fadc0a63214ba983020c6a2edb6b46d8
3,moddrop_seed1111,0.960536619,1,149.6817948,3266129408,e911a09b49710e42d518389592f7fedf2790bb36a2120a60fb45e59f63858567
3,moddrop_seed1114,0.8543923299,4,202.3079512,3267440128,576516efa1d1051abbb2fba1546ce081b85ec772f8e9019ba27d6e288cb3a0c2
3,cfcompat_seed1111,0.8998634219,2,252.0046147,4869136896,c6fbee71fcd42184a3e75840e723aa8a7f303d420959764e9963acdfc7c54eff
3,cfcompat_seed1114,0.8603726824,4,299.9814091,4869136896,63e2e41b09088f3241c778b1aee215f6dd6f594d96df9a915b065abd4a68ac42
4,clean_seed1111,0.7143527865,10,174.6204924,2540366848,1a48a22e89ed70d3dd4272f32d88b0f83b9457f495ae4ada48a64c7e8deebf86
4,clean_seed1114,0.7323459387,10,180.3608056,2540366848,0b42d12c10c5515493f985ce21fe4c5510f1126eb7eb7fa76030687c227c67ab
4,uniform_kd_seed1111,0.737585177,4,303.7952545,4420547584,1b4c89ea33ebdca6ffc556c28c9415ddd8fb63f5b2c6d069adb1bb0b2c9f4649
4,moddrop_seed1111,0.6937477887,18,480.5646841,3266129408,e5a9e9bb06e9d08c8c53762de8d7e01ad890d54b63c6b2191ec0fc07235ef9fd
4,moddrop_seed1114,0.7040532927,1,143.1342272,3267440128,e4716dd60232bbd006e0eb04f15064c6313d44edb27c7723f86909de46ca2b18
4,cfcompat_seed1111,0.7285392185,6,363.6373045,4869136896,26744fbff344051a5fec5f56473d7f730fefdedcf654fffb82482b19d2213a8f
4,cfcompat_seed1114,0.7124182085,9,454.0748003,4869136896,6a4ec3da68a9b84bde816a9dc83dc7604f37758cd3e582aa03e3e0d1683ef978
