split,mode,method,J,MAE,Corr,Acc7,Acc5,Acc2,F1
train_oof,LAV,uniform_kd_seed1111,0.7489953996,0.7489953996,0.7673199408,0.4330218069,0.488317757,0.822095857,0.8221108061
train_oof,LA,uniform_kd_seed1111,0.745278171,0.745278171,0.7685592621,0.4338006231,0.488317757,0.8245329001,0.8246441742
train_oof,LV,uniform_kd_seed1111,0.7462150852,0.7462150852,0.7658726146,0.4353582555,0.4906542056,0.8253452478,0.825468785
train_oof,L,uniform_kd_seed1111,0.7444091919,0.7444091919,0.7667583813,0.4369158879,0.4914330218,0.8229082047,0.8230205091
train_oof,Overall,uniform_kd_seed1111,0.7471481078,0.7462244619,0.7671275497,0.4347741433,0.4896806854,0.8237205524,0.8238110686
train_oof,LAV,moddrop_seed1111,0.7536092707,0.7536092707,0.7630655023,0.4548286604,0.4945482866,0.8310316816,0.8308432914
train_oof,LA,moddrop_seed1111,0.750873779,0.750873779,0.7638151869,0.4423676012,0.4828660436,0.8294069862,0.8293160896
train_oof,LV,moddrop_seed1111,0.7514714065,0.7514714065,0.7620795916,0.4556074766,0.4953271028,0.8302193339,0.8301129804
train_oof,L,moddrop_seed1111,0.7513692478,0.7513692478,0.7625829489,0.4431464174,0.4828660436,0.8334687246,0.8334545042
train_oof,Overall,moddrop_seed1111,0.7524237075,0.751830926,0.7628858074,0.4489875389,0.4889018692,0.8310316816,0.8309317164
train_oof,LAV,moddrop_seed1114,0.7721654031,0.7721654031,0.7516359378,0.4073208723,0.4509345794,0.8155970755,0.8158902484
train_oof,LA,moddrop_seed1114,0.7735586628,0.7735586628,0.7498429088,0.3987538941,0.441588785,0.8139723802,0.8142476881
train_oof,LV,moddrop_seed1114,0.7755347985,0.7755347985,0.7481056191,0.3964174455,0.441588785,0.8107229894,0.8110969829
train_oof,L,moddrop_seed1114,0.7777496463,0.7777496463,0.7459624526,0.4010903427,0.4439252336,0.8099106418,0.8103095651
train_oof,Overall,moddrop_seed1114,0.7738898862,0.7747521277,0.7488867296,0.4008956386,0.4445093458,0.8125507717,0.8128861211
train_oof,LAV,cfcompat_seed1111,0.7577157231,0.7577157231,0.7557201864,0.4392523364,0.4797507788,0.8229082047,0.822993876
train_oof,LA,cfcompat_seed1111,0.7531017071,0.7531017071,0.7572894089,0.449376947,0.4898753894,0.8229082047,0.822993876
train_oof,LV,cfcompat_seed1111,0.7546402947,0.7546402947,0.7556250384,0.445482866,0.4859813084,0.8204711617,0.8204558314
train_oof,L,cfcompat_seed1111,0.7517418956,0.7517418956,0.7564980279,0.4540498442,0.4929906542,0.822095857,0.8221108061
train_oof,Overall,cfcompat_seed1111,0.7554385111,0.7542999051,0.7562831654,0.4470404984,0.4871495327,0.822095857,0.8221385974
train_oof,LAV,cfcompat_seed1114,0.7580157748,0.7580157748,0.751754474,0.4353582555,0.4820872274,0.8180341186,0.818175894
train_oof,LA,cfcompat_seed1114,0.7571543084,0.7571543084,0.7511816511,0.437694704,0.4828660436,0.8172217709,0.8172671004
train_oof,LV,cfcompat_seed1114,0.7603452094,0.7603452094,0.7492178307,0.4299065421,0.4742990654,0.8155970755,0.8158487185
train_oof,L,cfcompat_seed1114,0.7600529445,0.7600529445,0.7481796605,0.4338006231,0.4820872274,0.8147847279,0.8149548836
train_oof,Overall,cfcompat_seed1114,0.7585999644,0.7588920592,0.7500834041,0.4341900312,0.480334891,0.8164094232,0.8165616491
train_oof,LAV,equal_average,0.716878929,0.716878929,0.7818346768,0.4517133956,0.492211838,0.8302193339,0.8302883561
train_oof,LA,equal_average,0.7141605424,0.7141605424,0.7821373844,0.4509345794,0.4906542056,0.8285946385,0.8286643212
train_oof,LV,equal_average,0.7161110331,0.7161110331,0.7801050497,0.4548286604,0.4953271028,0.8302193339,0.8303394235
train_oof,L,equal_average,0.7145652031,0.7145652031,0.7801776598,0.4540498442,0.4953271028,0.8285946385,0.8287158774
train_oof,Overall,equal_average,0.715912261,0.7154289269,0.7810636927,0.4528816199,0.4933800623,0.8294069862,0.8295019945
train_oof,LAV,global_fixed_stacking,0.7261871821,0.7261871821,0.7775833261,0.445482866,0.4867601246,0.8229082047,0.822993876
train_oof,LA,global_fixed_stacking,0.7234717233,0.7234717233,0.7778358494,0.4470404984,0.4875389408,0.8253452478,0.825468785
train_oof,LV,global_fixed_stacking,0.7264300218,0.7264300218,0.775612241,0.4431464174,0.4852024922,0.8204711617,0.8205716334
train_oof,L,global_fixed_stacking,0.7248522963,0.7248522963,0.7756674592,0.4439252336,0.484423676,0.8229082047,0.8230461825
train_oof,Overall,global_fixed_stacking,0.7255525979,0.7252353059,0.7766747189,0.4448987539,0.4859813084,0.8229082047,0.8230201192
train_oof,LAV,per_mode_fixed_stacking,0.7275050996,0.7275050996,0.7768045145,0.445482866,0.4859813084,0.8237205524,0.8237922166
train_oof,LA,per_mode_fixed_stacking,0.7239445403,0.7239445403,0.777367966,0.4470404984,0.4875389408,0.8237205524,0.8238452388
train_oof,LV,per_mode_fixed_stacking,0.7270330415,0.7270330415,0.7753909607,0.445482866,0.4875389408,0.8204711617,0.8205716334
train_oof,L,per_mode_fixed_stacking,0.724301706,0.724301706,0.7758134512,0.4439252336,0.4859813084,0.8237205524,0.8238452388
train_oof,Overall,per_mode_fixed_stacking,0.7262990978,0.7256960968,0.7763442231,0.445482866,0.4867601246,0.8229082047,0.8230135819
train_oof,LAV,oracle_expert_selection,0.4391441915,0.4391441915,0.8888413241,0.6487538941,0.687694704,0.9008935825,0.9009101031
train_oof,LA,oracle_expert_selection,0.4375052863,0.4375052863,0.8887341027,0.6378504673,0.6783489097,0.9008935825,0.9009101031
train_oof,LV,oracle_expert_selection,0.4392439336,0.4392439336,0.8878161295,0.6425233645,0.6814641745,0.8976441917,0.8977091016
train_oof,L,oracle_expert_selection,0.4389257,0.4389257,0.8878280157,0.6417445483,0.6814641745,0.9000812348,0.9001661245
train_oof,Overall,oracle_expert_selection,0.4388512491,0.4387047779,0.888304893,0.6427180685,0.6822429907,0.8998781478,0.8999238581
