mode,expert_left,expert_right,mean_absolute_disagreement,p90_absolute_disagreement
LAV,uniform_kd_seed1111,moddrop_seed1111,0.3530939971,0.7330205514
LAV,uniform_kd_seed1111,moddrop_seed1114,0.4454417948,0.8753582535
LAV,uniform_kd_seed1111,cfcompat_seed1111,0.263575017,0.5438883839
LAV,uniform_kd_seed1111,cfcompat_seed1114,0.4311044191,0.9238133993
LAV,moddrop_seed1111,moddrop_seed1114,0.4494854238,0.9471751064
LAV,moddrop_seed1111,cfcompat_seed1111,0.3348332616,0.7683520764
LAV,moddrop_seed1111,cfcompat_seed1114,0.4303456443,0.8870367244
LAV,moddrop_seed1114,cfcompat_seed1111,0.4223925852,0.855651444
LAV,moddrop_seed1114,cfcompat_seed1114,0.2503382454,0.5490154803
LAV,cfcompat_seed1111,cfcompat_seed1114,0.4287537625,0.8787174942
LA,uniform_kd_seed1111,moddrop_seed1111,0.3541081787,0.7308535727
LA,uniform_kd_seed1111,moddrop_seed1114,0.4527717184,0.8746815888
LA,uniform_kd_seed1111,cfcompat_seed1111,0.2649009034,0.5450934411
LA,uniform_kd_seed1111,cfcompat_seed1114,0.4258321767,0.9217202702
LA,moddrop_seed1111,moddrop_seed1114,0.455099028,0.9565392079
LA,moddrop_seed1111,cfcompat_seed1111,0.3331607958,0.7560956046
LA,moddrop_seed1111,cfcompat_seed1114,0.4277923894,0.888802153
LA,moddrop_seed1114,cfcompat_seed1111,0.4264379329,0.8522343723
LA,moddrop_seed1114,cfcompat_seed1114,0.2507354502,0.5507053969
LA,cfcompat_seed1111,cfcompat_seed1114,0.4195698433,0.8449230434
LV,uniform_kd_seed1111,moddrop_seed1111,0.3538078237,0.7244760861
LV,uniform_kd_seed1111,moddrop_seed1114,0.4519889825,0.8896842291
LV,uniform_kd_seed1111,cfcompat_seed1111,0.2565540054,0.5259792097
LV,uniform_kd_seed1111,cfcompat_seed1114,0.4291389051,0.9412680586
LV,moddrop_seed1111,moddrop_seed1114,0.4522427505,0.9191913784
LV,moddrop_seed1111,cfcompat_seed1111,0.3288149247,0.759674838
LV,moddrop_seed1111,cfcompat_seed1114,0.4263974892,0.8679129063
LV,moddrop_seed1114,cfcompat_seed1111,0.4310696629,0.8652994513
LV,moddrop_seed1114,cfcompat_seed1114,0.2498209899,0.5574018549
LV,cfcompat_seed1111,cfcompat_seed1114,0.4254071388,0.8600748657
L,uniform_kd_seed1111,moddrop_seed1111,0.355816124,0.7433886643
L,uniform_kd_seed1111,moddrop_seed1114,0.4615591088,0.8850580515
L,uniform_kd_seed1111,cfcompat_seed1111,0.2591460064,0.5304052593
L,uniform_kd_seed1111,cfcompat_seed1114,0.4274912607,0.9321475177
L,moddrop_seed1111,moddrop_seed1114,0.458608719,0.9404198945
L,moddrop_seed1111,cfcompat_seed1111,0.3298420686,0.7438953282
L,moddrop_seed1111,cfcompat_seed1114,0.4259059166,0.8653631269
L,moddrop_seed1114,cfcompat_seed1111,0.4389062809,0.8765170933
L,moddrop_seed1114,cfcompat_seed1114,0.2507603008,0.5545670657
L,cfcompat_seed1111,cfcompat_seed1114,0.4207374516,0.8354085859
Overall,uniform_kd_seed1111,moddrop_seed1111,0.3542065309,0.7326053011
Overall,uniform_kd_seed1111,moddrop_seed1114,0.4529404011,0.8805617388
Overall,uniform_kd_seed1111,cfcompat_seed1111,0.261043983,0.5389940143
Overall,uniform_kd_seed1111,cfcompat_seed1114,0.4283916904,0.9326255917
Overall,moddrop_seed1111,moddrop_seed1114,0.4538589803,0.9421157391
Overall,moddrop_seed1111,cfcompat_seed1111,0.3316627626,0.758418083
Overall,moddrop_seed1111,cfcompat_seed1114,0.4276103599,0.8771019838
Overall,moddrop_seed1114,cfcompat_seed1111,0.4297016155,0.8601390419
Overall,moddrop_seed1114,cfcompat_seed1114,0.2504137466,0.5539172964
Overall,cfcompat_seed1111,cfcompat_seed1114,0.423617049,0.856469989
