expert_id,outer_fold,near_best_0p05_fraction
uniform_kd_seed1111,0,0.2896995708
uniform_kd_seed1111,1,0.2688492063
uniform_kd_seed1111,2,0.2426778243
uniform_kd_seed1111,3,0.3155594406
uniform_kd_seed1111,4,0.2153284672
moddrop_seed1111,0,0.2553648069
moddrop_seed1111,1,0.2976190476
moddrop_seed1111,2,0.3828451883
moddrop_seed1111,3,0.2596153846
moddrop_seed1111,4,0.2837591241
moddrop_seed1114,0,0.3100858369
moddrop_seed1114,1,0.2589285714
moddrop_seed1114,2,0.2552301255
moddrop_seed1114,3,0.2342657343
moddrop_seed1114,4,0.2965328467
cfcompat_seed1111,0,0.224248927
cfcompat_seed1111,1,0.2867063492
cfcompat_seed1111,2,0.2405857741
cfcompat_seed1111,3,0.291958042
cfcompat_seed1111,4,0.2354014599
cfcompat_seed1114,0,0.321888412
cfcompat_seed1114,1,0.2361111111
cfcompat_seed1114,2,0.309623431
cfcompat_seed1114,3,0.270979021
cfcompat_seed1114,4,0.2983576642
