removed_expert,mode,oracle_J_without,delta_vs_full_oracle
uniform_kd_seed1111,LAV,0.4674446106,0.02830041917
uniform_kd_seed1111,LA,0.4663660227,0.02886073641
uniform_kd_seed1111,LV,0.467695717,0.02845178337
uniform_kd_seed1111,L,0.4669926418,0.02806694178
uniform_kd_seed1111,Overall,0.4672313689,0.02838011985
moddrop_seed1111,LAV,0.4789375372,0.03979334576
moddrop_seed1111,LA,0.4775760679,0.04007078165
moddrop_seed1111,LV,0.4788048151,0.03956088146
moddrop_seed1111,L,0.4772279381,0.03830223803
moddrop_seed1111,Overall,0.4784035721,0.03955232307
moddrop_seed1114,LAV,0.4666553811,0.02751118965
moddrop_seed1114,LA,0.4659679532,0.0284626669
moddrop_seed1114,LV,0.4684804879,0.02923655428
moddrop_seed1114,L,0.4692392629,0.03031356286
moddrop_seed1114,Overall,0.4672756412,0.02842439217
cfcompat_seed1111,LAV,0.4638478542,0.02470366272
cfcompat_seed1111,LA,0.461979361,0.0244740747
cfcompat_seed1111,LV,0.4635217166,0.02427778295
cfcompat_seed1111,L,0.4631825607,0.02425686062
cfcompat_seed1111,Overall,0.4633712001,0.02451995107
cfcompat_seed1114,LAV,0.4704091608,0.0312649693
cfcompat_seed1114,LA,0.4669253656,0.02942007933
cfcompat_seed1114,LV,0.4689916585,0.02974772492
cfcompat_seed1114,L,0.4674696196,0.02854391952
cfcompat_seed1114,Overall,0.4691023543,0.03025110528
