outer_fold,expert_id,mode,J,MAE,Corr,Acc7,Acc5,Acc2,F1
0,uniform_kd_seed1111,LAV,0.7218317009,0.7218317009,0.7897589188,0.4420600858,0.4892703863,0.8584070796,0.8589142094
0,uniform_kd_seed1111,LA,0.7227278051,0.7227278051,0.7888885982,0.4420600858,0.4892703863,0.8584070796,0.8589142094
0,uniform_kd_seed1111,LV,0.7165984196,0.7165984196,0.7911736804,0.4549356223,0.5021459227,0.8672566372,0.8675060732
0,uniform_kd_seed1111,L,0.717784338,0.717784338,0.7903534643,0.4506437768,0.4978540773,0.8584070796,0.8586731448
0,uniform_kd_seed1111,MissingMacro,0.7190368542,0.7190368542,0.790138581,0.4492131617,0.4964234621,0.8613569322,0.8616978091
0,moddrop_seed1111,LAV,0.7240312379,0.7240312379,0.7634778039,0.4377682403,0.4806866953,0.8495575221,0.8500963474
0,moddrop_seed1111,LA,0.7252150359,0.7252150359,0.7624227321,0.4291845494,0.4721030043,0.8451327434,0.8458091295
0,moddrop_seed1111,LV,0.7182879135,0.7182879135,0.7651019886,0.4334763948,0.4763948498,0.8495575221,0.8500963474
0,moddrop_seed1111,L,0.7203850124,0.7203850124,0.7642605324,0.4334763948,0.4763948498,0.8495575221,0.850326331
0,moddrop_seed1111,MissingMacro,0.7212959872,0.7212959872,0.7639284177,0.4320457797,0.4749642346,0.8480825959,0.848743936
0,moddrop_seed1114,LAV,0.7349127194,0.7349127194,0.7512635469,0.4120171674,0.4592274678,0.8407079646,0.8412784855
0,moddrop_seed1114,LA,0.7304326236,0.7304326236,0.7520057652,0.3991416309,0.4463519313,0.8407079646,0.8412784855
0,moddrop_seed1114,LV,0.7255946318,0.7255946318,0.7532113905,0.4077253219,0.4549356223,0.8185840708,0.8196381526
0,moddrop_seed1114,L,0.7243872079,0.7243872079,0.753717453,0.4163090129,0.4635193133,0.8185840708,0.8200695011
0,moddrop_seed1114,MissingMacro,0.7268048211,0.7268048211,0.7529782029,0.4077253219,0.4549356223,0.8259587021,0.8269953797
0,cfcompat_seed1111,LAV,0.7212554935,0.7212554935,0.7692684656,0.4463519313,0.4892703863,0.8628318584,0.8623989192
0,cfcompat_seed1111,LA,0.7227873963,0.7227873963,0.7683955413,0.4506437768,0.4935622318,0.8539823009,0.8531806208
0,cfcompat_seed1111,LV,0.7149740184,0.7149740184,0.7709562461,0.4506437768,0.4935622318,0.8539823009,0.8531806208
0,cfcompat_seed1111,L,0.7175458241,0.7175458241,0.7701755373,0.4549356223,0.4978540773,0.8539823009,0.8531806208
0,cfcompat_seed1111,MissingMacro,0.7184357463,0.7184357463,0.7698424416,0.452074392,0.4949928469,0.8539823009,0.8531806208
0,cfcompat_seed1114,LAV,0.730423073,0.730423073,0.7330130251,0.4377682403,0.4849785408,0.8362831858,0.8361183759
0,cfcompat_seed1114,LA,0.7264161572,0.7264161572,0.7341111589,0.4420600858,0.4849785408,0.8362831858,0.8361183759
0,cfcompat_seed1114,LV,0.7263158826,0.7263158826,0.7352566153,0.4334763948,0.4763948498,0.8318584071,0.8321743594
0,cfcompat_seed1114,L,0.7232322258,0.7232322258,0.7361710696,0.4420600858,0.4849785408,0.8318584071,0.8321743594
0,cfcompat_seed1114,MissingMacro,0.7253214219,0.7253214219,0.7351796146,0.4391988555,0.4821173104,0.8333333333,0.8334890316
1,uniform_kd_seed1111,LAV,0.7561076177,0.7561076177,0.7266779417,0.4404761905,0.4880952381,0.7890295359,0.7905676333
1,uniform_kd_seed1111,LA,0.7478207712,0.7478207712,0.7317036743,0.4444444444,0.4920634921,0.7890295359,0.7905676333
1,uniform_kd_seed1111,LV,0.7475152459,0.7475152459,0.7250403167,0.4444444444,0.4920634921,0.7890295359,0.7908671214
1,uniform_kd_seed1111,L,0.7421085059,0.7421085059,0.729980725,0.4484126984,0.496031746,0.7932489451,0.794907099
1,uniform_kd_seed1111,MissingMacro,0.745814841,0.745814841,0.7289082387,0.4457671958,0.4933862434,0.7904360056,0.7921139512
1,moddrop_seed1111,LAV,0.7278879537,0.7278879537,0.7554460981,0.4404761905,0.4880952381,0.8185654008,0.815932496
1,moddrop_seed1111,LA,0.7230095876,0.7230095876,0.7595128478,0.4444444444,0.4920634921,0.8101265823,0.8079498156
1,moddrop_seed1111,LV,0.7299823244,0.7299823244,0.7548147961,0.4563492063,0.503968254,0.8185654008,0.8170044633
1,moddrop_seed1111,L,0.7319363802,0.7319363802,0.7588969896,0.4523809524,0.5,0.8143459916,0.8130016005
1,moddrop_seed1111,MissingMacro,0.7283094307,0.7283094307,0.7577415445,0.4510582011,0.4986772487,0.8143459916,0.8126519598
1,moddrop_seed1114,LAV,0.7793099801,0.7793099801,0.7293505069,0.373015873,0.4126984127,0.8016877637,0.8032782378
1,moddrop_seed1114,LA,0.7798358737,0.7798358737,0.7359702119,0.3611111111,0.4007936508,0.8101265823,0.8116493766
1,moddrop_seed1114,LV,0.794501245,0.794501245,0.7311037532,0.3650793651,0.4047619048,0.8101265823,0.811904022
1,moddrop_seed1114,L,0.7986064444,0.7986064444,0.737774693,0.376984127,0.4166666667,0.8016877637,0.8037793795
1,moddrop_seed1114,MissingMacro,0.7909811877,0.7909811877,0.7349495527,0.3677248677,0.4074074074,0.8073136428,0.809110926
1,cfcompat_seed1111,LAV,0.7915388799,0.7915388799,0.7437485295,0.4166666667,0.4642857143,0.7848101266,0.7874916695
1,cfcompat_seed1111,LA,0.7862277324,0.7862277324,0.7479051281,0.4166666667,0.4642857143,0.7932489451,0.7958253295
1,cfcompat_seed1111,LV,0.7853641219,0.7853641219,0.7417687861,0.4126984127,0.4603174603,0.7890295359,0.7913676106
1,cfcompat_seed1111,L,0.7804323212,0.7804323212,0.7457807886,0.4246031746,0.4722222222,0.7932489451,0.7956430847
1,cfcompat_seed1111,MissingMacro,0.7840080585,0.7840080585,0.7451515676,0.417989418,0.4656084656,0.7918424754,0.7942786749
1,cfcompat_seed1114,LAV,0.7906274048,0.7906274048,0.7309419206,0.3888888889,0.4246031746,0.8101265823,0.8107041928
1,cfcompat_seed1114,LA,0.7884396075,0.7884396075,0.7380975186,0.373015873,0.4087301587,0.8101265823,0.8103270784
1,cfcompat_seed1114,LV,0.8021234077,0.8021234077,0.7331403035,0.3611111111,0.3968253968,0.7974683544,0.7992324366
1,cfcompat_seed1114,L,0.8029525828,0.8029525828,0.7404896087,0.373015873,0.4126984127,0.805907173,0.8073222226
1,cfcompat_seed1114,MissingMacro,0.7978385327,0.7978385327,0.7372424769,0.369047619,0.4060846561,0.8045007032,0.8056272459
2,uniform_kd_seed1111,LAV,0.6941229539,0.6941229539,0.793408145,0.4476987448,0.4853556485,0.8504273504,0.8494996448
2,uniform_kd_seed1111,LA,0.6943031592,0.6943031592,0.7932455135,0.4351464435,0.4811715481,0.858974359,0.8580996651
2,uniform_kd_seed1111,LV,0.6967255981,0.6967255981,0.7932732381,0.4393305439,0.4853556485,0.8547008547,0.8535994952
2,uniform_kd_seed1111,L,0.697349987,0.697349987,0.7931248838,0.4267782427,0.4769874477,0.8504273504,0.8490805424
2,uniform_kd_seed1111,MissingMacro,0.6961262481,0.6961262481,0.7932145451,0.4337517434,0.4811715481,0.8547008547,0.8535932342
2,moddrop_seed1111,LAV,0.6913748344,0.6913748344,0.790411448,0.4644351464,0.4937238494,0.8547008547,0.8553062678
2,moddrop_seed1111,LA,0.6913126782,0.6913126782,0.7905295385,0.4518828452,0.4811715481,0.858974359,0.8594241711
2,moddrop_seed1111,LV,0.6884206125,0.6884206125,0.7901080066,0.4644351464,0.4937238494,0.858974359,0.8594241711
2,moddrop_seed1111,L,0.6885770972,0.6885770972,0.7902402701,0.4518828452,0.4811715481,0.8632478632,0.8635445746
2,moddrop_seed1111,MissingMacro,0.689436796,0.689436796,0.7902926051,0.4560669456,0.4853556485,0.8603988604,0.8607976389
2,moddrop_seed1114,LAV,0.7057671647,0.7057671647,0.8126215719,0.4351464435,0.4937238494,0.8547008547,0.8550161105
2,moddrop_seed1114,LA,0.7063568846,0.7063568846,0.8130530732,0.4351464435,0.4937238494,0.8547008547,0.8550161105
2,moddrop_seed1114,LV,0.7031452604,0.7031452604,0.8123543354,0.4435146444,0.5020920502,0.8547008547,0.8550161105
2,moddrop_seed1114,L,0.7036811014,0.7036811014,0.8127515999,0.4393305439,0.4979079498,0.8547008547,0.8547008547
2,moddrop_seed1114,MissingMacro,0.7043944155,0.7043944155,0.8127196695,0.4393305439,0.4979079498,0.8547008547,0.8549110252
2,cfcompat_seed1111,LAV,0.7148695811,0.7148695811,0.7835552915,0.4728033473,0.5020920502,0.8290598291,0.8308523628
2,cfcompat_seed1111,LA,0.7149112055,0.7149112055,0.7834989501,0.4853556485,0.5146443515,0.8290598291,0.8306241409
2,cfcompat_seed1111,LV,0.7108706827,0.7108706827,0.7834817239,0.4853556485,0.5188284519,0.8333333333,0.8347372107
2,cfcompat_seed1111,L,0.7117504423,0.7117504423,0.7835041727,0.4769874477,0.510460251,0.8376068376,0.8388498961
2,cfcompat_seed1111,MissingMacro,0.7125107768,0.7125107768,0.7834949489,0.4825662483,0.5146443515,0.8333333333,0.8347370826
2,cfcompat_seed1114,LAV,0.7091065567,0.7091065567,0.8093493006,0.4393305439,0.5020920502,0.8547008547,0.8535994952
2,cfcompat_seed1114,LA,0.7104047577,0.7104047577,0.810012887,0.4309623431,0.4979079498,0.858974359,0.8577045114
2,cfcompat_seed1114,LV,0.7057601669,0.7057601669,0.8088249589,0.4518828452,0.5062761506,0.8547008547,0.8535994952
2,cfcompat_seed1114,L,0.7076105077,0.7076105077,0.8094148711,0.4393305439,0.5062761506,0.8504273504,0.8490805424
2,cfcompat_seed1114,MissingMacro,0.7079251441,0.7079251441,0.8094175723,0.4407252441,0.5034867503,0.8547008547,0.8534615163
3,uniform_kd_seed1111,LAV,0.7598842832,0.7598842832,0.7569620016,0.4195804196,0.4545454545,0.8487084871,0.8488197839
3,uniform_kd_seed1111,LA,0.7549010088,0.7549010088,0.7563523766,0.4125874126,0.4475524476,0.8450184502,0.845111456
3,uniform_kd_seed1111,LV,0.7567320799,0.7567320799,0.7536323858,0.4055944056,0.4405594406,0.852398524,0.8524508992
3,uniform_kd_seed1111,L,0.7550142436,0.7550142436,0.7529806661,0.4055944056,0.4405594406,0.852398524,0.8524508992
3,uniform_kd_seed1111,MissingMacro,0.7555491108,0.7555491108,0.7543218095,0.4079254079,0.4428904429,0.8499384994,0.8500044182
3,moddrop_seed1111,LAV,0.866673138,0.866673138,0.7488869378,0.4160839161,0.458041958,0.852398524,0.852398524
3,moddrop_seed1111,LA,0.8570051108,0.8570051108,0.7493889235,0.3846153846,0.4265734266,0.852398524,0.8522450249
3,moddrop_seed1111,LV,0.8612661046,0.8612661046,0.745242261,0.4125874126,0.4545454545,0.8413284133,0.8412937239
3,moddrop_seed1111,L,0.8563685794,0.8563685794,0.7457881387,0.3776223776,0.4195804196,0.8560885609,0.8558915326
3,moddrop_seed1111,MissingMacro,0.8582132649,0.8582132649,0.7468064411,0.3916083916,0.4335664336,0.8499384994,0.8498100938
3,moddrop_seed1114,LAV,0.7778931552,0.7778931552,0.7800417052,0.4265734266,0.4825174825,0.8450184502,0.8450479946
3,moddrop_seed1114,LA,0.7788276422,0.7788276422,0.7781268164,0.4160839161,0.4685314685,0.8376383764,0.8376693277
3,moddrop_seed1114,LV,0.7785900965,0.7785900965,0.7784445331,0.4090909091,0.472027972,0.8339483395,0.8340071292
3,moddrop_seed1114,L,0.7783346996,0.7783346996,0.7765904462,0.4125874126,0.465034965,0.8376383764,0.8376693277
3,moddrop_seed1114,MissingMacro,0.7785841461,0.7785841461,0.7777205986,0.4125874126,0.4685314685,0.8364083641,0.8364485949
3,cfcompat_seed1111,LAV,0.7531881821,0.7531881821,0.768649184,0.4265734266,0.4615384615,0.8708487085,0.8709472744
3,cfcompat_seed1111,LA,0.7328056824,0.7328056824,0.7687559219,0.4545454545,0.486013986,0.8708487085,0.8709121415
3,cfcompat_seed1111,LV,0.7446763731,0.7446763731,0.7650050461,0.4265734266,0.4615384615,0.8634686347,0.8635617145
3,cfcompat_seed1111,L,0.7288101867,0.7288101867,0.7650611846,0.458041958,0.4895104895,0.8671586716,0.8671586716
3,cfcompat_seed1111,MissingMacro,0.7354307474,0.7354307474,0.7662740509,0.4463869464,0.479020979,0.8671586716,0.8672108425
3,cfcompat_seed1114,LAV,0.7723488512,0.7723488512,0.7479759655,0.4160839161,0.4685314685,0.8339483395,0.8339120366
3,cfcompat_seed1114,LA,0.7748042149,0.7748042149,0.746378121,0.4195804196,0.4685314685,0.8339483395,0.8339120366
3,cfcompat_seed1114,LV,0.777227319,0.777227319,0.7462525503,0.4090909091,0.4615384615,0.8376383764,0.8376383764
