mode,expert_left,expert_right,residual_correlation
LAV,uniform_kd_seed1111,uniform_kd_seed1111,1
LAV,uniform_kd_seed1111,moddrop_seed1111,0.8649958
LAV,uniform_kd_seed1111,moddrop_seed1114,0.8134977455
LAV,uniform_kd_seed1111,cfcompat_seed1111,0.9290934918
LAV,uniform_kd_seed1111,cfcompat_seed1114,0.8096138495
LAV,moddrop_seed1111,uniform_kd_seed1111,0.8649958
LAV,moddrop_seed1111,moddrop_seed1111,1
LAV,moddrop_seed1111,moddrop_seed1114,0.8121190211
LAV,moddrop_seed1111,cfcompat_seed1111,0.8857157635
LAV,moddrop_seed1111,cfcompat_seed1114,0.8213285328
LAV,moddrop_seed1114,uniform_kd_seed1111,0.8134977455
LAV,moddrop_seed1114,moddrop_seed1111,0.8121190211
LAV,moddrop_seed1114,moddrop_seed1114,1
LAV,moddrop_seed1114,cfcompat_seed1111,0.8409605584
LAV,moddrop_seed1114,cfcompat_seed1114,0.9241040326
LAV,cfcompat_seed1111,uniform_kd_seed1111,0.9290934918
LAV,cfcompat_seed1111,moddrop_seed1111,0.8857157635
LAV,cfcompat_seed1111,moddrop_seed1114,0.8409605584
LAV,cfcompat_seed1111,cfcompat_seed1111,1
LAV,cfcompat_seed1111,cfcompat_seed1114,0.8266137044
LAV,cfcompat_seed1114,uniform_kd_seed1111,0.8096138495
LAV,cfcompat_seed1114,moddrop_seed1111,0.8213285328
LAV,cfcompat_seed1114,moddrop_seed1114,0.9241040326
LAV,cfcompat_seed1114,cfcompat_seed1111,0.8266137044
LAV,cfcompat_seed1114,cfcompat_seed1114,1
LA,uniform_kd_seed1111,uniform_kd_seed1111,1
LA,uniform_kd_seed1111,moddrop_seed1111,0.8651256294
LA,uniform_kd_seed1111,moddrop_seed1114,0.8110139278
LA,uniform_kd_seed1111,cfcompat_seed1111,0.9289342924
LA,uniform_kd_seed1111,cfcompat_seed1114,0.8124936618
LA,moddrop_seed1111,uniform_kd_seed1111,0.8651256294
LA,moddrop_seed1111,moddrop_seed1111,1
LA,moddrop_seed1111,moddrop_seed1114,0.8088174621
LA,moddrop_seed1111,cfcompat_seed1111,0.8875915775
LA,moddrop_seed1111,cfcompat_seed1114,0.8219118187
LA,moddrop_seed1114,uniform_kd_seed1111,0.8110139278
LA,moddrop_seed1114,moddrop_seed1111,0.8088174621
LA,moddrop_seed1114,moddrop_seed1114,1
LA,moddrop_seed1114,cfcompat_seed1111,0.8394577078
LA,moddrop_seed1114,cfcompat_seed1114,0.9239674669
LA,cfcompat_seed1111,uniform_kd_seed1111,0.9289342924
LA,cfcompat_seed1111,moddrop_seed1111,0.8875915775
LA,cfcompat_seed1111,moddrop_seed1114,0.8394577078
LA,cfcompat_seed1111,cfcompat_seed1111,1
LA,cfcompat_seed1111,cfcompat_seed1114,0.8307515938
LA,cfcompat_seed1114,uniform_kd_seed1111,0.8124936618
LA,cfcompat_seed1114,moddrop_seed1111,0.8219118187
LA,cfcompat_seed1114,moddrop_seed1114,0.9239674669
LA,cfcompat_seed1114,cfcompat_seed1111,0.8307515938
LA,cfcompat_seed1114,cfcompat_seed1114,1
LV,uniform_kd_seed1111,uniform_kd_seed1111,1
LV,uniform_kd_seed1111,moddrop_seed1111,0.8666865856
LV,uniform_kd_seed1111,moddrop_seed1114,0.8119203824
LV,uniform_kd_seed1111,cfcompat_seed1111,0.9326140638
LV,uniform_kd_seed1111,cfcompat_seed1114,0.8132329212
LV,moddrop_seed1111,uniform_kd_seed1111,0.8666865856
LV,moddrop_seed1111,moddrop_seed1111,1
LV,moddrop_seed1111,moddrop_seed1114,0.8126861994
LV,moddrop_seed1111,cfcompat_seed1111,0.8921348875
LV,moddrop_seed1111,cfcompat_seed1114,0.8245951064
LV,moddrop_seed1114,uniform_kd_seed1111,0.8119203824
LV,moddrop_seed1114,moddrop_seed1111,0.8126861994
LV,moddrop_seed1114,moddrop_seed1114,1
LV,moddrop_seed1114,cfcompat_seed1111,0.8387566293
LV,moddrop_seed1114,cfcompat_seed1114,0.92516224
LV,cfcompat_seed1111,uniform_kd_seed1111,0.9326140638
LV,cfcompat_seed1111,moddrop_seed1111,0.8921348875
LV,cfcompat_seed1111,moddrop_seed1114,0.8387566293
LV,cfcompat_seed1111,cfcompat_seed1111,1
LV,cfcompat_seed1111,cfcompat_seed1114,0.8318739803
LV,cfcompat_seed1114,uniform_kd_seed1111,0.8132329212
LV,cfcompat_seed1114,moddrop_seed1111,0.8245951064
LV,cfcompat_seed1114,moddrop_seed1114,0.92516224
LV,cfcompat_seed1114,cfcompat_seed1111,0.8318739803
LV,cfcompat_seed1114,cfcompat_seed1114,1
L,uniform_kd_seed1111,uniform_kd_seed1111,1
L,uniform_kd_seed1111,moddrop_seed1111,0.8668050082
L,uniform_kd_seed1111,moddrop_seed1114,0.8078523506
L,uniform_kd_seed1111,cfcompat_seed1111,0.9321661722
L,uniform_kd_seed1111,cfcompat_seed1114,0.814380597
L,moddrop_seed1111,uniform_kd_seed1111,0.8668050082
L,moddrop_seed1111,moddrop_seed1111,1
L,moddrop_seed1111,moddrop_seed1114,0.8086112234
L,moddrop_seed1111,cfcompat_seed1111,0.8935309973
L,moddrop_seed1111,cfcompat_seed1114,0.8245882568
L,moddrop_seed1114,uniform_kd_seed1111,0.8078523506
L,moddrop_seed1114,moddrop_seed1111,0.8086112234
L,moddrop_seed1114,moddrop_seed1114,1
L,moddrop_seed1114,cfcompat_seed1111,0.8345316
L,moddrop_seed1114,cfcompat_seed1114,0.9252731909
L,cfcompat_seed1111,uniform_kd_seed1111,0.9321661722
L,cfcompat_seed1111,moddrop_seed1111,0.8935309973
L,cfcompat_seed1111,moddrop_seed1114,0.8345316
L,cfcompat_seed1111,cfcompat_seed1111,1
L,cfcompat_seed1111,cfcompat_seed1114,0.8333098789
L,cfcompat_seed1114,uniform_kd_seed1111,0.814380597
L,cfcompat_seed1114,moddrop_seed1111,0.8245882568
L,cfcompat_seed1114,moddrop_seed1114,0.9252731909
L,cfcompat_seed1114,cfcompat_seed1111,0.8333098789
L,cfcompat_seed1114,cfcompat_seed1114,1
Overall,uniform_kd_seed1111,uniform_kd_seed1111,1
Overall,uniform_kd_seed1111,moddrop_seed1111,0.8658874638
Overall,uniform_kd_seed1111,moddrop_seed1114,0.8109665041
Overall,uniform_kd_seed1111,cfcompat_seed1111,0.9306613804
Overall,uniform_kd_seed1111,cfcompat_seed1114,0.8123306645
Overall,moddrop_seed1111,uniform_kd_seed1111,0.8658874638
Overall,moddrop_seed1111,moddrop_seed1111,1
Overall,moddrop_seed1111,moddrop_seed1114,0.8104750005
Overall,moddrop_seed1111,cfcompat_seed1111,0.8895650658
Overall,moddrop_seed1111,cfcompat_seed1114,0.8228922032
Overall,moddrop_seed1114,uniform_kd_seed1111,0.8109665041
Overall,moddrop_seed1114,moddrop_seed1111,0.8104750005
Overall,moddrop_seed1114,moddrop_seed1114,1
Overall,moddrop_seed1114,cfcompat_seed1111,0.838121298
Overall,moddrop_seed1114,cfcompat_seed1114,0.9245874771
Overall,cfcompat_seed1111,uniform_kd_seed1111,0.9306613804
Overall,cfcompat_seed1111,moddrop_seed1111,0.8895650658
Overall,cfcompat_seed1111,moddrop_seed1114,0.838121298
Overall,cfcompat_seed1111,cfcompat_seed1111,1
Overall,cfcompat_seed1111,cfcompat_seed1114,0.8304477242
Overall,cfcompat_seed1114,uniform_kd_seed1111,0.8123306645
Overall,cfcompat_seed1114,moddrop_seed1111,0.8228922032
Overall,cfcompat_seed1114,moddrop_seed1114,0.9245874771
Overall,cfcompat_seed1114,cfcompat_seed1111,0.8304477242
Overall,cfcompat_seed1114,cfcompat_seed1114,1
