rho,gamma,tune_J,trigger_rate,mean_predicted_gain,valid_split
0.001,0,0.733305326,1,0.1753611572,0
0.001,0.0001,0.733305326,1,0.1753611572,0
0.001,0.0005,0.733305326,1,0.1753611572,0
0.001,0.001,0.7332967255,0.9973404255,0.1753611572,0
0.001,0.002,0.7332967255,0.9973404255,0.1753611572,0
0.001,0.005,0.7331598191,0.9787234043,0.1753611572,0
0.01,0,0.7338125893,1,0.1747886754,0
0.01,0.0001,0.7338125893,1,0.1747886754,0
0.01,0.0005,0.7338125893,1,0.1747886754,0
0.01,0.001,0.7338053955,0.9973404255,0.1747886754,0
0.01,0.002,0.7338053955,0.9973404255,0.1747886754,0
0.01,0.005,0.7336775208,0.9787234043,0.1747886754,0
0.1,0,0.7427492259,1,0.1635057291,0
0.1,0.0001,0.7427492259,1,0.1635057291,0
0.1,0.0005,0.7427469703,0.9973404255,0.1635057291,0
0.1,0.001,0.7427417182,0.9946808511,0.1635057291,0
0.1,0.002,0.7427417182,0.9946808511,0.1635057291,0
0.1,0.005,0.7425628154,0.9574468085,0.1635057291,0
1,0,0.7364767345,1,0.09395778933,0
1,0.0001,0.7364764837,0.9973404255,0.09395778933,0
1,0.0005,0.7364650051,0.9787234043,0.09395778933,0
1,0.001,0.7364628203,0.960106383,0.09395778933,0
1,0.002,0.7364630164,0.9175531915,0.09395778933,0
1,0.005,0.7363459347,0.8005319149,0.09395778933,0
10,0,0.7149061051,1,0.02719312616,0
10,0.0001,0.7149040691,0.9654255319,0.02719312616,0
10,0.0005,0.7148980693,0.8191489362,0.02719312616,0
10,0.001,0.7149090619,0.704787234,0.02719312616,0
10,0.002,0.7148734497,0.4840425532,0.02719312616,0
10,0.005,0.7149376225,0.2765957447,0.02719312616,0
0.001,0,0.7301312016,1,0.07078604863,1
0.001,0.0001,0.7301312016,1,0.07078604863,1
0.001,0.0005,0.7301312016,1,0.07078604863,1
0.001,0.001,0.7301312016,1,0.07078604863,1
0.001,0.002,0.7301312016,1,0.07078604863,1
0.001,0.005,0.7301312016,1,0.07078604863,1
0.01,0,0.7303468573,1,0.0701769785,1
0.01,0.0001,0.7303468573,1,0.0701769785,1
0.01,0.0005,0.7303468573,1,0.0701769785,1
0.01,0.001,0.7303468573,1,0.0701769785,1
0.01,0.002,0.7303468573,1,0.0701769785,1
0.01,0.005,0.7303468573,1,0.0701769785,1
0.1,0,0.7331744656,1,0.05781449378,1
0.1,0.0001,0.7331744656,1,0.05781449378,1
0.1,0.0005,0.7331744656,1,0.05781449378,1
0.1,0.001,0.7331744656,1,0.05781449378,1
0.1,0.002,0.7331744656,1,0.05781449378,1
0.1,0.005,0.7333527536,0.9966216216,0.05781449378,1
1,0,0.7299915781,1,0.01882935317,1
1,0.0001,0.7299915781,1,0.01882935317,1
1,0.0005,0.7299915781,1,0.01882935317,1
1,0.001,0.7300281769,0.9932432432,0.01882935317,1
1,0.002,0.7300215343,0.9628378378,0.01882935317,1
1,0.005,0.7296876086,0.7297297297,0.01882935317,1
10,0,0.7233715042,1,0.00246396876,1
10,0.0001,0.7233753939,0.9932432432,0.00246396876,1
10,0.0005,0.723359466,0.7567567568,0.00246396876,1
10,0.001,0.7232607291,0.5202702703,0.00246396876,1
10,0.002,0.7231260477,0.3310810811,0.00246396876,1
10,0.005,0.7230913261,0.1351351351,0.00246396876,1
