split,mode,method,J,MAE,Corr,Acc7,Acc5,Acc2,F1
judge_valid_0,LAV,Best single,0.7257650895,0.7257650895,0.7885284616,0.4253075571,0.4850615114,0.8264014467,0.826683383
judge_valid_0,LA,Best single,0.723676754,0.723676754,0.7892525703,0.4288224956,0.4885764499,0.8318264014,0.8322949937
judge_valid_0,LV,Best single,0.7238533295,0.7238533295,0.7874486897,0.4305799649,0.4903339192,0.8372513562,0.8376692449
judge_valid_0,L,Best single,0.7229462591,0.7229462591,0.7879226725,0.4340949033,0.4956063269,0.8318264014,0.8322949937
judge_valid_0,Overall,Best single,0.7246286019,0.724060358,0.7882880985,0.4297012302,0.4898945518,0.8318264014,0.8322356538
judge_valid_0,LAV,Equal average,0.6830255074,0.6830255074,0.806864674,0.4586994728,0.4991212654,0.8517179024,0.852162476
judge_valid_0,LA,Equal average,0.6802423475,0.6802423475,0.8063874145,0.4569420035,0.4956063269,0.8481012658,0.8486179076
judge_valid_0,LV,Equal average,0.682016305,0.682016305,0.8056485315,0.4586994728,0.4991212654,0.8499095841,0.8504487862
judge_valid_0,L,Equal average,0.6797756742,0.6797756742,0.8050279346,0.4622144112,0.5061511424,0.8444846293,0.845013572
judge_valid_0,Overall,Equal average,0.6818518081,0.6812649585,0.8059821387,0.4591388401,0.5,0.8485533454,0.8490606854
judge_valid_0,LAV,Global fixed stacking,0.6927442063,0.6927442063,0.8031276505,0.446397188,0.4868189807,0.8499095841,0.8504487862
judge_valid_0,LA,Global fixed stacking,0.6895898302,0.6895898302,0.8029984856,0.4393673111,0.4797891037,0.8499095841,0.8504487862
judge_valid_0,LV,Global fixed stacking,0.6926538819,0.6926538819,0.8016965437,0.4428822496,0.4868189807,0.842676311,0.8432414988
judge_valid_0,L,Global fixed stacking,0.690386071,0.690386071,0.8014728406,0.4446397188,0.4850615114,0.8481012658,0.848674987
judge_valid_0,Overall,Global fixed stacking,0.6918104003,0.6913434973,0.8023238801,0.4433216169,0.4846221441,0.8476491863,0.8482035146
judge_valid_0,LAV,Per-mode fixed stacking,0.6922983645,0.6922983645,0.8031179817,0.4481546573,0.4868189807,0.8499095841,0.8504487862
judge_valid_0,LA,Per-mode fixed stacking,0.6884497884,0.6884497884,0.8033287424,0.4446397188,0.4850615114,0.8481012658,0.848674987
judge_valid_0,LV,Per-mode fixed stacking,0.6938271045,0.6938271045,0.8012166222,0.446397188,0.4903339192,0.842676311,0.8432414988
judge_valid_0,L,Per-mode fixed stacking,0.6910942764,0.6910942764,0.8011447948,0.4411247803,0.4850615114,0.8462929476,0.8469008104
judge_valid_0,Overall,Per-mode fixed stacking,0.6917110438,0.6914173834,0.8022020353,0.4450790861,0.4868189807,0.8467450271,0.8473165206
judge_valid_0,LAV,Mode-only weighting,0.6831198006,0.6831198006,0.8067740113,0.4622144112,0.5008787346,0.8517179024,0.852162476
judge_valid_0,LA,Mode-only weighting,0.6803286896,0.6803286896,0.8062900717,0.4586994728,0.4973637961,0.8499095841,0.8503903404
judge_valid_0,LV,Mode-only weighting,0.6820468639,0.6820468639,0.8055438518,0.460456942,0.5008787346,0.8499095841,0.8504487862
judge_valid_0,L,Mode-only weighting,0.6797471611,0.6797471611,0.8049257317,0.4622144112,0.5061511424,0.8462929476,0.8467852883
judge_valid_0,Overall,Mode-only weighting,0.6819136861,0.6813106288,0.8058834166,0.4608963093,0.5013181019,0.8494575045,0.8499467227
judge_valid_0,LAV,Scalar-risk weighting,0.6829895125,0.6829895125,0.8067093468,0.4622144112,0.5026362039,0.8535262206,0.85405243
judge_valid_0,LA,Scalar-risk weighting,0.680502872,0.680502872,0.8062121687,0.4551845343,0.4973637961,0.8517179024,0.8522222431
judge_valid_0,LV,Scalar-risk weighting,0.6817569238,0.6817569238,0.8053932443,0.4639718805,0.5043936731,0.8553345389,0.8558265786
