train_index,sample_id,video_id,outer_fold,judge_fold,inner_valid_outer0,inner_valid_outer1,inner_valid_outer2,inner_valid_outer3,inner_valid_outer4
0,03bSnISJMiM$_$11,03bSnISJMiM,0,1,0,0,0,0,0
1,03bSnISJMiM$_$10,03bSnISJMiM,0,1,0,0,0,0,0
2,03bSnISJMiM$_$13,03bSnISJMiM,0,1,0,0,0,0,0
3,03bSnISJMiM$_$12,03bSnISJMiM,0,1,0,0,0,0,0
4,03bSnISJMiM$_$1,03bSnISJMiM,0,1,0,0,0,0,0
5,03bSnISJMiM$_$3,03bSnISJMiM,0,1,0,0,0,0,0
6,03bSnISJMiM$_$2,03bSnISJMiM,0,1,0,0,0,0,0
7,03bSnISJMiM$_$5,03bSnISJMiM,0,1,0,0,0,0,0
8,03bSnISJMiM$_$4,03bSnISJMiM,0,1,0,0,0,0,0
9,03bSnISJMiM$_$7,03bSnISJMiM,0,1,0,0,0,0,0
10,03bSnISJMiM$_$6,03bSnISJMiM,0,1,0,0,0,0,0
11,03bSnISJMiM$_$9,03bSnISJMiM,0,1,0,0,0,0,0
12,03bSnISJMiM$_$8,03bSnISJMiM,0,1,0,0,0,0,0
13,0h-zjBukYpk$_$24,0h-zjBukYpk,2,1,0,0,0,0,0
14,0h-zjBukYpk$_$25,0h-zjBukYpk,2,1,0,0,0,0,0
15,0h-zjBukYpk$_$20,0h-zjBukYpk,2,1,0,0,0,0,0
16,0h-zjBukYpk$_$21,0h-zjBukYpk,2,1,0,0,0,0,0
17,0h-zjBukYpk$_$22,0h-zjBukYpk,2,1,0,0,0,0,0
18,0h-zjBukYpk$_$23,0h-zjBukYpk,2,1,0,0,0,0,0
19,0h-zjBukYpk$_$1,0h-zjBukYpk,2,1,0,0,0,0,0
20,0h-zjBukYpk$_$3,0h-zjBukYpk,2,1,0,0,0,0,0
21,0h-zjBukYpk$_$2,0h-zjBukYpk,2,1,0,0,0,0,0
22,0h-zjBukYpk$_$5,0h-zjBukYpk,2,1,0,0,0,0,0
23,0h-zjBukYpk$_$4,0h-zjBukYpk,2,1,0,0,0,0,0
24,0h-zjBukYpk$_$7,0h-zjBukYpk,2,1,0,0,0,0,0
25,0h-zjBukYpk$_$6,0h-zjBukYpk,2,1,0,0,0,0,0
26,0h-zjBukYpk$_$9,0h-zjBukYpk,2,1,0,0,0,0,0
27,0h-zjBukYpk$_$8,0h-zjBukYpk,2,1,0,0,0,0,0
28,0h-zjBukYpk$_$11,0h-zjBukYpk,2,1,0,0,0,0,0
29,0h-zjBukYpk$_$10,0h-zjBukYpk,2,1,0,0,0,0,0
30,0h-zjBukYpk$_$13,0h-zjBukYpk,2,1,0,0,0,0,0
31,0h-zjBukYpk$_$12,0h-zjBukYpk,2,1,0,0,0,0,0
32,0h-zjBukYpk$_$15,0h-zjBukYpk,2,1,0,0,0,0,0
33,0h-zjBukYpk$_$14,0h-zjBukYpk,2,1,0,0,0,0,0
34,0h-zjBukYpk$_$17,0h-zjBukYpk,2,1,0,0,0,0,0
35,0h-zjBukYpk$_$16,0h-zjBukYpk,2,1,0,0,0,0,0
36,0h-zjBukYpk$_$19,0h-zjBukYpk,2,1,0,0,0,0,0
37,0h-zjBukYpk$_$18,0h-zjBukYpk,2,1,0,0,0,0,0
38,1DmNV9C1hbY$_$11,1DmNV9C1hbY,3,1,1,0,0,0,0
39,1DmNV9C1hbY$_$10,1DmNV9C1hbY,3,1,1,0,0,0,0
40,1DmNV9C1hbY$_$13,1DmNV9C1hbY,3,1,1,0,0,0,0
41,1DmNV9C1hbY$_$12,1DmNV9C1hbY,3,1,1,0,0,0,0
42,1DmNV9C1hbY$_$14,1DmNV9C1hbY,3,1,1,0,0,0,0
43,1DmNV9C1hbY$_$1,1DmNV9C1hbY,3,1,1,0,0,0,0
44,1DmNV9C1hbY$_$3,1DmNV9C1hbY,3,1,1,0,0,0,0
45,1DmNV9C1hbY$_$2,1DmNV9C1hbY,3,1,1,0,0,0,0
46,1DmNV9C1hbY$_$5,1DmNV9C1hbY,3,1,1,0,0,0,0
47,1DmNV9C1hbY$_$4,1DmNV9C1hbY,3,1,1,0,0,0,0
48,1DmNV9C1hbY$_$7,1DmNV9C1hbY,3,1,1,0,0,0,0
49,1DmNV9C1hbY$_$6,1DmNV9C1hbY,3,1,1,0,0,0,0
50,1DmNV9C1hbY$_$9,1DmNV9C1hbY,3,1,1,0,0,0,0
51,1DmNV9C1hbY$_$8,1DmNV9C1hbY,3,1,1,0,0,0,0
52,1iG0909rllw$_$24,1iG0909rllw,0,1,0,0,0,1,0
53,1iG0909rllw$_$25,1iG0909rllw,0,1,0,0,0,1,0
54,1iG0909rllw$_$26,1iG0909rllw,0,1,0,0,0,1,0
55,1iG0909rllw$_$27,1iG0909rllw,0,1,0,0,0,1,0
56,1iG0909rllw$_$20,1iG0909rllw,0,1,0,0,0,1,0
57,1iG0909rllw$_$21,1iG0909rllw,0,1,0,0,0,1,0
58,1iG0909rllw$_$22,1iG0909rllw,0,1,0,0,0,1,0
59,1iG0909rllw$_$23,1iG0909rllw,0,1,0,0,0,1,0
60,1iG0909rllw$_$28,1iG0909rllw,0,1,0,0,0,1,0
61,1iG0909rllw$_$29,1iG0909rllw,0,1,0,0,0,1,0
62,1iG0909rllw$_$1,1iG0909rllw,0,1,0,0,0,1,0
63,1iG0909rllw$_$3,1iG0909rllw,0,1,0,0,0,1,0
64,1iG0909rllw$_$2,1iG0909rllw,0,1,0,0,0,1,0
65,1iG0909rllw$_$5,1iG0909rllw,0,1,0,0,0,1,0
66,1iG0909rllw$_$4,1iG0909rllw,0,1,0,0,0,1,0
67,1iG0909rllw$_$7,1iG0909rllw,0,1,0,0,0,1,0
68,1iG0909rllw$_$6,1iG0909rllw,0,1,0,0,0,1,0
69,1iG0909rllw$_$9,1iG0909rllw,0,1,0,0,0,1,0
70,1iG0909rllw$_$8,1iG0909rllw,0,1,0,0,0,1,0
71,1iG0909rllw$_$11,1iG0909rllw,0,1,0,0,0,1,0
72,1iG0909rllw$_$10,1iG0909rllw,0,1,0,0,0,1,0
73,1iG0909rllw$_$13,1iG0909rllw,0,1,0,0,0,1,0
74,1iG0909rllw$_$12,1iG0909rllw,0,1,0,0,0,1,0
75,1iG0909rllw$_$15,1iG0909rllw,0,1,0,0,0,1,0
76,1iG0909rllw$_$14,1iG0909rllw,0,1,0,0,0,1,0
77,1iG0909rllw$_$17,1iG0909rllw,0,1,0,0,0,1,0
78,1iG0909rllw$_$16,1iG0909rllw,0,1,0,0,0,1,0
79,1iG0909rllw$_$19,1iG0909rllw,0,1,0,0,0,1,0
80,1iG0909rllw$_$18,1iG0909rllw,0,1,0,0,0,1,0
81,1iG0909rllw$_$30,1iG0909rllw,0,1,0,0,0,1,0
82,2WGyTLYerpo$_$56,2WGyTLYerpo,3,1,0,0,0,1,0
83,2WGyTLYerpo$_$54,2WGyTLYerpo,3,1,0,0,0,1,0
