direction	control	metric	mean	std	strongest	seeds
A	cross_source_shuffle	regret_MAE	0.1241529584	7.027358009e-05	0.1240846123	23021|23022|23023
A	cross_source_shuffle	regret_Spearman	0.3380315271	0.0008568245285	0.3391099815	23021|23022|23023
A	cross_source_shuffle	ranking_accuracy	0.1539004362	0.000568387386	0.1547023351	23021|23022|23023
A	cross_source_shuffle	soft_preference_KL	0.2901352292	0.000451916979	0.289662452	23021|23022|23023
A	cross_source_shuffle	soft_expected_regret	0.1687315243	3.80394895e-05	0.168680559	23021|23022|23023
A	matched_noise	regret_MAE	0.1240434957	1.323944261e-05	0.1240288526	23121|23122|23123
A	matched_noise	regret_Spearman	0.3391629574	0.0001568583288	0.3393845534	23121|23122|23123
A	matched_noise	ranking_accuracy	0.1554507741	0.0005997050578	0.156274057	23121|23122|23123
A	matched_noise	soft_preference_KL	0.2894760463	4.653830845e-05	0.2894108456	23121|23122|23123
A	matched_noise	soft_expected_regret	0.1686892797	1.650364236e-05	0.1686748341	23121|23122|23123
B	cross_source_shuffle	regret_MAE	0.11973051	5.117566393e-05	0.1196941155	23021|23022|23023
B	cross_source_shuffle	regret_Spearman	0.3243513225	0.0005981578828	0.3249894889	23021|23022|23023
B	cross_source_shuffle	ranking_accuracy	0.1529633536	0.004263291537	0.1589896859	23021|23022|23023
B	cross_source_shuffle	soft_preference_KL	0.2579262727	0.0001725303426	0.2577916941	23021|23022|23023
B	cross_source_shuffle	soft_expected_regret	0.1621176576	4.965354666e-05	0.1620574939	23021|23022|23023
B	matched_noise	regret_MAE	0.1197338626	3.226942884e-05	0.1197035174	23121|23122|23123
B	matched_noise	regret_Spearman	0.3241892963	0.000617033982	0.3247228877	23121|23122|23123
B	matched_noise	ranking_accuracy	0.1495057822	0.001030237692	0.150726676	23121|23122|23123
B	matched_noise	soft_preference_KL	0.2579160001	0.0002127234164	0.257759717	23121|23122|23123
B	matched_noise	soft_expected_regret	0.1621415897	1.073185867e-05	0.1621338381	23121|23122|23123
