direction	role	method	seed	mean_spearman_error	mean_spearman_regret	mean_AUROC_exact_best	mean_outlier_rate
A	inner_train	cfcompat	1111	0.07714474371	0.05250413259	0.4999171078	0.01008335574
A	inner_train	cfcompat	1114	0.05669205094	0.03902423572	0.4996512012	0.01008335574
A	inner_train	moddrop	1111	0.08723344759	0.0545699733	0.4966680722	0.01008335574
A	inner_train	moddrop	1114	0.0624946659	0.04221785438	0.5011508148	0.01008335574
A	inner_train	uniform_kd	1111	0.05402074587	0.02762062679	0.4893727539	0.01008335574
A	inner_valid	cfcompat	1111	0.04953107608	0.1186448539	0.5449198055	0.01165447898
A	inner_valid	cfcompat	1114	0.03400740949	0.04424138893	0.5050400692	0.01416819013
A	inner_valid	moddrop	1111	0.04500368949	0.0661090413	0.5144265398	0.009140767824
A	inner_valid	moddrop	1114	0.04306969678	0.02205683478	0.4917832245	0.01462522852
A	inner_valid	uniform_kd	1111	0.04340664686	0.03888681783	0.4901864116	0.01393967093
A	outer_evaluation	cfcompat	1111	0.06219333321	0.07545767422	0.5188909324	0.06877084937
A	outer_evaluation	cfcompat	1114	0.07344723531	0.0733911938	0.5013285922	0.05003849115
A	outer_evaluation	moddrop	1111	0.05737181035	0.04878697376	0.4837586809	0.02152296638
A	outer_evaluation	moddrop	1114	0.05360287828	0.05296045545	0.5003641873	0.007377469849
A	outer_evaluation	uniform_kd	1111	0.05232911517	0.0554030985	0.5009850258	0.01225301514
B	inner_train	cfcompat	1111	0.05904959316	0.07252843494	0.5194318967	0.01009663926
B	inner_train	cfcompat	1114	0.0726706177	0.07931084484	0.5028319776	0.01009663926
B	inner_train	moddrop	1111	0.05509829027	0.04521274171	0.4812618537	0.01009663926
B	inner_train	moddrop	1114	0.05212050334	0.05394765869	0.5000501572	0.01009663926
B	inner_train	uniform_kd	1111	0.05202171535	0.05520822665	0.4980335712	0.01009663926
B	inner_valid	cfcompat	1111	0.08713416561	0.1034128525	0.5161904569	0.007259001161
B	inner_valid	cfcompat	1114	0.07673606887	0.02078857765	0.4878586298	0.005516840883
B	inner_valid	moddrop	1111	0.07474087357	0.07652553226	0.5042045708	0.005226480836
B	inner_valid	moddrop	1114	0.06403629104	0.04425337035	0.5030907229	0.006678281069
B	inner_valid	uniform_kd	1111	0.05289932497	0.05586216859	0.521882108	0.006968641115
B	outer_evaluation	cfcompat	1111	0.07357370063	0.06094046407	0.5053017997	0.0009083450539
B	outer_evaluation	cfcompat	1114	0.05408528754	0.04001409871	0.500280921	0.001142756681
B	outer_evaluation	moddrop	1111	0.08203025477	0.05606184683	0.4989037502	0.003838490389
B	outer_evaluation	moddrop	1114	0.05988002253	0.03949402419	0.4999955602	0.01550046882
B	outer_evaluation	uniform_kd	1111	0.05261052356	0.02925062319	0.4895113827	0.007764885138
