direction	role	mode	expert_id	method	seed	samples	spearman_consistency_error	spearman_consistency_regret	auroc_low_consistency_is_exact_best	auroc_consistency_high_error_top_vs_bottom20	consistency_mean	consistency_std	consistency_q05	consistency_q50	consistency_q95	inner_train_consistency_q99_threshold	consistency_outlier_rate_above_inner_q99	error_bottom20_consistency_mean	error_top20_consistency_mean
A	inner_train	LAV	uniform_kd_seed1111	uniform_kd	1111	7438	0.06544894195	0.02517236614	0.4846379906	0.5649388658	0.01456516765	0.01045592453	0.002794021368	0.01213283837	0.03425436914	0.04859854639	0.01008335574	0.01354117158	0.01589086592
A	inner_train	LAV	moddrop_seed1111	moddrop	1111	7438	0.09039725401	0.05094514076	0.4805073954	0.5708675678	0.01190210193	0.009044751332	0.002349718474	0.009812951088	0.02805020642	0.04362686276	0.01008335574	0.01102941375	0.01321684151
A	inner_train	LAV	moddrop_seed1114	moddrop	1114	7438	0.04308877393	0.02369730659	0.4990236553	0.5283364587	0.02578660132	0.01835954947	0.005330120027	0.02185489237	0.05855997801	0.09559255436	0.01008335574	0.02477114915	0.02641847643
A	inner_train	LAV	cfcompat_seed1111	cfcompat	1111	7438	0.09087605477	0.0472506523	0.5098211479	0.5776738098	0.00777638751	0.006085013919	0.001450777054	0.006340552121	0.0186987116	0.02955471396	0.01008335574	0.007279201205	0.008889290898
A	inner_train	LAV	cfcompat_seed1114	cfcompat	1114	7438	0.05032255831	0.0327387785	0.5010205781	0.5401520859	0.02041902996	0.01655364676	0.00401445888	0.01680397987	0.04799692631	0.07956988335	0.01008335574	0.01955619449	0.02127730031
A	inner_train	LA	uniform_kd_seed1111	uniform_kd	1111	7438	0.03970828188	0.02222777279	0.4838022352	0.5506681137	0.01361467966	0.009711016277	0.002648800611	0.01130757481	0.03189105988	0.04551313162	0.01008335574	0.01304181037	0.01483403219
A	inner_train	LA	moddrop_seed1111	moddrop	1111	7438	0.08513882323	0.05176448999	0.494219179	0.5644813526	0.01060801043	0.008497353975	0.002016149834	0.008497223258	0.02631224319	0.04065685928	0.01008335574	0.01004936144	0.01186550263
A	inner_train	LA	moddrop_seed1114	moddrop	1114	7438	0.08364046208	0.04939417601	0.4967832598	0.5611150404	0.02095451914	0.01952765315	0.003870331869	0.01652552187	0.05005747452	0.1105721986	0.01008335574	0.01944424422	0.02154619153
A	inner_train	LA	cfcompat_seed1111	cfcompat	1111	7438	0.07774479189	0.06966156983	0.5088138876	0.5748837926	0.006483411791	0.005506390484	0.001209169626	0.005174562335	0.01616501678	0.0253477259	0.01008335574	0.006042151614	0.007450748541
A	inner_train	LA	cfcompat_seed1114	cfcompat	1114	7438	0.06763284817	0.03716681478	0.4970304853	0.5503289307	0.01720305074	0.01766663429	0.003031206876	0.01309359446	0.04333599024	0.08862543888	0.01008335574	0.01601626528	0.01856773031
A	inner_train	LV	uniform_kd_seed1111	uniform_kd	1111	7438	0.08464943142	0.0400757663	0.5016588443	0.5736623273	0.01239858359	0.009854375318	0.002371670119	0.01018966641	0.02916128226	0.05002100494	0.01008335574	0.01141374693	0.013420295
A	inner_train	LV	moddrop_seed1111	moddrop	1111	7438	0.09153256357	0.05853741768	0.4959251149	0.5782426527	0.01158728702	0.00855098648	0.002424200997	0.009898394346	0.02572962791	0.04244330108	0.01008335574	0.0107830692	0.01257215316
A	inner_train	LV	moddrop_seed1114	moddrop	1114	7438	0.0431812802	0.04374215725	0.5102383662	0.5280415366	0.02434310348	0.01993680686	0.00451298207	0.01991821826	0.05635111406	0.1085809602	0.01008335574	0.0229883206	0.02445587008
