direction	grouping	group_value	expert_id	wins	total	proportion	record_type	mean_gain
A	mode	L	cfcompat_seed1111	1406	7794	0.1803951758	oracle_expert_win	
A	mode	L	cfcompat_seed1114	1784	7794	0.228894021	oracle_expert_win	
A	mode	L	moddrop_seed1111	1513	7794	0.1941236849	oracle_expert_win	
A	mode	L	moddrop_seed1114	1732	7794	0.2222222222	oracle_expert_win	
A	mode	L	uniform_kd_seed1111	1359	7794	0.1743648961	oracle_expert_win	
A	mode	LA	cfcompat_seed1111	1494	7794	0.1916859122	oracle_expert_win	
A	mode	LA	cfcompat_seed1114	1720	7794	0.2206825763	oracle_expert_win	
A	mode	LA	moddrop_seed1111	1534	7794	0.1968180652	oracle_expert_win	
A	mode	LA	moddrop_seed1114	1721	7794	0.2208108802	oracle_expert_win	
A	mode	LA	uniform_kd_seed1111	1325	7794	0.1700025661	oracle_expert_win	
A	mode	LAV	cfcompat_seed1111	1536	7794	0.1970746728	oracle_expert_win	
A	mode	LAV	cfcompat_seed1114	1725	7794	0.2213240955	oracle_expert_win	
A	mode	LAV	moddrop_seed1111	1524	7794	0.1955350269	oracle_expert_win	
A	mode	LAV	moddrop_seed1114	1682	7794	0.215807031	oracle_expert_win	
A	mode	LAV	uniform_kd_seed1111	1327	7794	0.1702591737	oracle_expert_win	
A	mode	LV	cfcompat_seed1111	1477	7794	0.1895047472	oracle_expert_win	
A	mode	LV	cfcompat_seed1114	1750	7794	0.224531691	oracle_expert_win	
A	mode	LV	moddrop_seed1111	1524	7794	0.1955350269	oracle_expert_win	
A	mode	LV	moddrop_seed1114	1704	7794	0.2186297152	oracle_expert_win	
A	mode	LV	uniform_kd_seed1111	1339	7794	0.1717988196	oracle_expert_win	
A	mode	L	ALL	6602	7794	0.8470618424	gain_gt_0p05_concentration	0.1551360486
A	mode	LA	ALL	6635	7794	0.8512958686	gain_gt_0p05_concentration	0.1557039623
A	mode	LAV	ALL	6625	7794	0.8500128304	gain_gt_0p05_concentration	0.1567595097
A	mode	LV	ALL	6587	7794	0.8451372851	gain_gt_0p05_concentration	0.1556970524
A	video_id	-HwX2H8Z4hY	cfcompat_seed1111	5	40	0.125	oracle_expert_win	
A	video_id	-HwX2H8Z4hY	cfcompat_seed1114	15	40	0.375	oracle_expert_win	
A	video_id	-HwX2H8Z4hY	moddrop_seed1111	13	40	0.325	oracle_expert_win	
A	video_id	-HwX2H8Z4hY	moddrop_seed1114	1	40	0.025	oracle_expert_win	
A	video_id	-HwX2H8Z4hY	uniform_kd_seed1111	6	40	0.15	oracle_expert_win	
A	video_id	-WXXTNIJcVM	cfcompat_seed1114	4	20	0.2	oracle_expert_win	
A	video_id	-WXXTNIJcVM	moddrop_seed1111	4	20	0.2	oracle_expert_win	
A	video_id	-WXXTNIJcVM	moddrop_seed1114	12	20	0.6	oracle_expert_win	
A	video_id	-aNfi7CP8vM	cfcompat_seed1114	2	8	0.25	oracle_expert_win	
A	video_id	-aNfi7CP8vM	moddrop_seed1111	4	8	0.5	oracle_expert_win	
A	video_id	-aNfi7CP8vM	moddrop_seed1114	2	8	0.25	oracle_expert_win	
A	video_id	-aqamKhZ1Ec	cfcompat_seed1111	1	12	0.08333333333	oracle_expert_win	
A	video_id	-aqamKhZ1Ec	cfcompat_seed1114	4	12	0.3333333333	oracle_expert_win	
A	video_id	-aqamKhZ1Ec	moddrop_seed1114	3	12	0.25	oracle_expert_win	
A	video_id	-aqamKhZ1Ec	uniform_kd_seed1111	4	12	0.3333333333	oracle_expert_win	
A	video_id	-dxfTGcXJoc	cfcompat_seed1111	11	32	0.34375	oracle_expert_win	
