direction	role	mode	strong_static_J_or_MAE	oracle_J_or_MAE	oracle_minus_strong_static	gain_mean	gain_std	gain_q10	gain_q25	gain_median	gain_q75	gain_q90	gain_q95	gain_q99	fraction_gain_gt_0	fraction_gain_gt_0p01	fraction_gain_gt_0p03	fraction_gain_gt_0p05	fraction_gain_gt_0p10	strong_static_strictly_better_fraction	exact_tie_fraction	best_second_gap_mean	near_tie_gap_le_0p001	near_tie_gap_le_0p005	near_tie_gap_le_0p01
A	outer_evaluation	LAV	0.5532460078	0.3964864981	-0.1567595097	0.1567595097	0.1321013283	0.03246349748	0.07560619507	0.1325511983	0.2078906865	0.3026426277	0.3792995504	0.6295409656	0.954965358	0.9403387221	0.904798563	0.8500128304	0.6398511676	0.04503464203	0	0.08875253979	0.01141904029	0.06030279702	0.1195791635
A	outer_evaluation	LA	0.5551326452	0.3994286829	-0.1557039623	0.1557039623	0.1320489222	0.0332332534	0.074532957	0.1309577614	0.2073999319	0.3018008605	0.3766626294	0.6216362768	0.9566333077	0.941108545	0.9067231203	0.8512958686	0.633692584	0.04336669233	0	0.08873981289	0.01308698999	0.05837823967	0.114831922
A	outer_evaluation	LV	0.5533229509	0.3976258984	-0.1556970524	0.1556970524	0.1311616964	0.03235502528	0.07422370403	0.1319522639	0.2070479643	0.3008137031	0.3758547085	0.6208199763	0.9577880421	0.9429047986	0.9056966898	0.8451372851	0.6369001796	0.04221195792	0	0.08863607657	0.01141904029	0.05555555556	0.1085450346
A	outer_evaluation	L	0.5551422593	0.4000062107	-0.1551360486	0.1551360486	0.1315744901	0.03256782587	0.07426018192	0.131107381	0.2071975385	0.3023742207	0.3753087737	0.6217382958	0.9558634847	0.941108545	0.9056966898	0.8470618424	0.633692584	0.04413651527	0	0.08879084406	0.008596356171	0.05735180908	0.114831922
A	outer_evaluation	Overall	0.5538893131	0.3977533811	-0.1561359321	0.1558241432	0.1317234744	0.03254429555	0.0745737151	0.1318377164	0.2073619484	0.3019235188	0.3772604589	0.6233177266	0.9563125481	0.9413651527	0.9057287657	0.8483769566	0.6360341288	0.04368745189	0	0.08872981833	0.01113035668	0.05789710033	0.1144470105
B	outer_evaluation	LAV	0.5545851748	0.4036115412	-0.1509736336	0.1509736336	0.1271590445	0.03603056231	0.0780619005	0.1292521197	0.1954945846	0.2848624414	0.3644391863	0.6040574142	0.9545241444	0.9410454759	0.9113924051	0.8616971402	0.639474918	0.0454758556	0	0.08001081947	0.01125175809	0.06024378809	0.1186122832
B	outer_evaluation	LA	0.5559157857	0.4059060768	-0.1500097089	0.1500097089	0.127084467	0.03385942878	0.07599751085	0.1276326703	0.1954812224	0.284363545	0.3626043671	0.6030357813	0.954758556	0.9406938584	0.9086966714	0.8585325832	0.6318565401	0.04524144398	0	0.0799538346	0.01230661041	0.06024378809	0.1210736053
B	outer_evaluation	LV	0.5546210657	0.4045832161	-0.1500378496	0.1500378496	0.1268024124	0.0346908517	0.07668194306	0.1275708484	0.1959555907	0.285704441	0.3632444203	0.597101339	0.9562822316	0.94092827	0.9097515237	0.858649789	0.6330285982	0.0437177684	0	0.07981269639	0.0131270511	0.06129864041	0.1231833099
B	outer_evaluation	L	0.5560012527	0.406636394	-0.1493648587	0.1493648587	0.1270874112	0.03419715614	0.07517794805	0.1267439852	0.1951037117	0.284584714	0.3603632093	0.6024322425	0.9542897328	0.9406938584	0.9086966714	0.8570089076	0.6255274262	0.04571026723	0	0.07993504157	0.01300984529	0.06575246132	0.1268166901
B	outer_evaluation	Overall	0.5550489381	0.4046600518	-0.1503888863	0.1500965127	0.1270347018	0.03457789767	0.07645088721	0.1278420272	0.1954810975	0.2849984504	0.3629429698	0.6030291031	0.9549636662	0.9408403657	0.9096343179	0.858972105	0.6324718706	0.0450363338	0	0.07992809801	0.01242381622	0.06188466948	0.1224214721
