direction	role	selected_alpha_inner_valid_only	selected_inner_valid_J	method	mode	MAE	Corr	Acc7	Acc5	Acc2	F1	J
A	inner_train	0.1	0.7567625871	content_sentiment_ridge	LAV	0.7103871525	0.5609911312	0.4362731917	0.4377520839	0.7779723341	0.7802740451	0.7103871525
A	inner_train	0.1	0.7567625871	content_sentiment_ridge	LA	0.71832331	0.5424519606	0.4354665233	0.4360043022	0.7693924006	0.7718985379	0.71832331
A	inner_train	0.1	0.7567625871	content_sentiment_ridge	LV	0.7111625014	0.5552064924	0.4345254101	0.4353320785	0.7700928034	0.7724550904	0.7111625014
A	inner_train	0.1	0.7567625871	content_sentiment_ridge	L	0.7237091826	0.5309640331	0.4401720893	0.4407098682	0.762563474	0.765214775	0.7237091826
A	inner_train	0.1	0.7567625871	content_sentiment_ridge	Overall	0.7158955366	0.5474034043	0.4366093036	0.4374495832	0.770005253	0.7724606121	0.7140594086
A	inner_valid	0.1	0.7567625871	content_sentiment_ridge	LAV	0.7493819102	0.6130153629	0.4268738574	0.4268738574	0.8013029316	0.8029932151	0.7493819102
A	inner_valid	0.1	0.7567625871	content_sentiment_ridge	LA	0.7712868388	0.5897531142	0.415904936	0.415904936	0.8089033659	0.8106150434	0.7712868388
A	inner_valid	0.1	0.7567625871	content_sentiment_ridge	LV	0.7464606013	0.6223381422	0.4277879342	0.4277879342	0.7991313789	0.801016452	0.7464606013
A	inner_valid	0.1	0.7567625871	content_sentiment_ridge	L	0.7746823515	0.5939554397	0.4085923218	0.4085923218	0.7969598263	0.7990742505	0.7746823515
A	inner_valid	0.1	0.7567625871	content_sentiment_ridge	Overall	0.7604529255	0.6047655147	0.4197897623	0.4197897623	0.8015743757	0.8034247402	0.7567625871
A	outer_evaluation	0.1	0.7567625871	content_sentiment_ridge	LAV	0.7149590668	0.5294531005	0.4421349756	0.4425198871	0.7752681183	0.7782145653	0.7149590668
A	outer_evaluation	0.1	0.7567625871	content_sentiment_ridge	LA	0.7213668213	0.5150146103	0.4377726456	0.4379009494	0.7692557686	0.7725857318	0.7213668213
A	outer_evaluation	0.1	0.7567625871	content_sentiment_ridge	LV	0.7127317999	0.5298839535	0.4427764947	0.4430331024	0.770880728	0.7742933202	0.7127317999
A	outer_evaluation	0.1	0.7567625871	content_sentiment_ridge	L	0.7238995999	0.509232126	0.4403387221	0.4404670259	0.7637309067	0.76754448	0.7238995999
A	outer_evaluation	0.1	0.7567625871	content_sentiment_ridge	Overall	0.718239322	0.5208959476	0.4407557095	0.4409802412	0.7697838804	0.7731595243	0.7171459036
B	inner_train	100	0.6694854913	content_sentiment_ridge	LAV	0.7162988515	0.5360200554	0.4412231357	0.4415116111	0.7780014641	0.7802904111	0.7162988515
B	inner_train	100	0.6694854913	content_sentiment_ridge	LA	0.7238312342	0.5210888806	0.4386268571	0.4389153325	0.775988287	0.7781457884	0.7238312342
B	inner_train	100	0.6694854913	content_sentiment_ridge	LV	0.7190763801	0.5307462739	0.4415116111	0.4415116111	0.7787335286	0.7809800046	0.7190763801
B	inner_train	100	0.6694854913	content_sentiment_ridge	L	0.7301103502	0.5099185273	0.4355978653	0.4355978653	0.7772693997	0.7794055032	0.7301103502
B	inner_train	100	0.6694854913	content_sentiment_ridge	Overall	0.722329204	0.5244434343	0.4392398673	0.439384105	0.7774981698	0.7797054268	0.7203190865
B	inner_valid	100	0.6694854913	content_sentiment_ridge	LAV	0.6670749032	0.5297749709	0.4668989547	0.4668989547	0.7971014493	0.8003304438	0.6670749032
B	inner_valid	100	0.6694854913	content_sentiment_ridge	LA	0.6819432797	0.5062047594	0.4541231127	0.4541231127	0.7927536232	0.7956158895	0.6819432797
B	inner_valid	100	0.6694854913	content_sentiment_ridge	LV	0.6594800849	0.5402550304	0.475029036	0.475029036	0.7927536232	0.7962999368	0.6594800849
B	inner_valid	100	0.6694854913	content_sentiment_ridge	L	0.6742648737	0.5143746574	0.4518002323	0.4518002323	0.7985507246	0.8015057078	0.6742648737
B	inner_valid	100	0.6694854913	content_sentiment_ridge	Overall	0.6706907854	0.5226523545	0.4619628339	0.4619628339	0.7952898551	0.7984379945	0.6694854913
B	outer_evaluation	100	0.6694854913	content_sentiment_ridge	LAV	0.7227804579	0.5485996332	0.435302391	0.4357712143	0.7784981906	0.7803745924	0.7227804579
B	outer_evaluation	100	0.6694854913	content_sentiment_ridge	LA	0.7331734648	0.5313044631	0.4341303329	0.4343647445	0.7736731001	0.7755426963	0.7331734648
B	outer_evaluation	100	0.6694854913	content_sentiment_ridge	LV	0.7232142043	0.5496609247	0.4355368026	0.4357712143	0.781212304	0.7830748035	0.7232142043
B	outer_evaluation	100	0.6694854913	content_sentiment_ridge	L	0.7373799085	0.5277018938	0.4295593061	0.4297937178	0.7741254524	0.7760247376	0.7373799085
B	outer_evaluation	100	0.6694854913	content_sentiment_ridge	Overall	0.7291370089	0.5393167287	0.4336322082	0.4339252227	0.7768772618	0.7787542075	0.7270181586
