direction	feature_set	role	expert_id	selected_alpha_inner_valid_only	soft_temperature_inner_train_only	regret_MAE	regret_Spearman	ranking_accuracy	soft_preference_KL	soft_expected_regret
A	C0_predictions_mode	inner_train	All	100	0.1547543108	0.1329642284	0.05993625564	0.1853656897	0.2589006065	0.1611762164
A	C0_predictions_mode	inner_valid	All	100	0.1547543108	0.1359814506	0.06840514808	0.1814442413	0.2749159269	0.1688236472
A	C0_predictions_mode	outer_evaluation	All	100	0.1547543108	0.1383778522	-0.03637473869	0.2284128817	0.2751628957	0.1699189655
A	C0_predictions_mode	outer_evaluation	uniform_kd_seed1111	100	0.1547543108	0.1289070865	0.01011084575			
A	C0_predictions_mode	outer_evaluation	moddrop_seed1111	100	0.1547543108	0.138302541	0.01517331262			
A	C0_predictions_mode	outer_evaluation	moddrop_seed1114	100	0.1547543108	0.1442129905	-0.04936586003			
A	C0_predictions_mode	outer_evaluation	cfcompat_seed1111	100	0.1547543108	0.1347924118	-0.09092760389			
A	C0_predictions_mode	outer_evaluation	cfcompat_seed1114	100	0.1547543108	0.1456742312	-0.05259987979			
A	C1_plus_disagreement_outlier	inner_train	All	100	0.1547543108	0.1186291179	0.334654798	0.1080599624	0.2682931622	0.1602919884
A	C1_plus_disagreement_outlier	inner_valid	All	100	0.1547543108	0.1236101983	0.329971615	0.1000914077	0.2870723412	0.1684995842
A	C1_plus_disagreement_outlier	outer_evaluation	All	100	0.1547543108	0.1239366893	0.3425653889	0.1522645625	0.2873443838	0.1687498203
A	C1_plus_disagreement_outlier	outer_evaluation	uniform_kd_seed1111	100	0.1547543108	0.1152641409	0.3796717247			
A	C1_plus_disagreement_outlier	outer_evaluation	moddrop_seed1111	100	0.1547543108	0.1241856914	0.3465733849			
A	C1_plus_disagreement_outlier	outer_evaluation	moddrop_seed1114	100	0.1547543108	0.128578027	0.3396487737			
A	C1_plus_disagreement_outlier	outer_evaluation	cfcompat_seed1111	100	0.1547543108	0.1210357562	0.3632358445			
A	C1_plus_disagreement_outlier	outer_evaluation	cfcompat_seed1114	100	0.1547543108	0.1306198311	0.3092954007			
A	C2_plus_consistency	inner_train	All	100	0.1547543108	0.1185796598	0.3347006592	0.1080263512	0.2682865436	0.1601753534
A	C2_plus_consistency	inner_valid	All	100	0.1547543108	0.1237527579	0.3279109418	0.1046617916	0.288495369	0.1685577791
A	C2_plus_consistency	outer_evaluation	All	100	0.1547543108	0.1239628354	0.3403353112	0.1532589171	0.2888603254	0.1686907016
A	C2_plus_consistency	outer_evaluation	uniform_kd_seed1111	100	0.1547543108	0.1151539557	0.3779213386			
A	C2_plus_consistency	outer_evaluation	moddrop_seed1111	100	0.1547543108	0.1238946394	0.3459700015			
A	C2_plus_consistency	outer_evaluation	moddrop_seed1114	100	0.1547543108	0.1288516077	0.3388131308			
A	C2_plus_consistency	outer_evaluation	cfcompat_seed1111	100	0.1547543108	0.1213126748	0.3589534142			
A	C2_plus_consistency	outer_evaluation	cfcompat_seed1114	100	0.1547543108	0.1306012996	0.3086026586			
A	C3_plus_content_effective_mask	inner_train	All	100	0.1547543108	0.1183256796	0.3365751857	0.1306802904	0.2676810818	0.1595656982
A	C3_plus_content_effective_mask	inner_valid	All	100	0.1547543108	0.1237671886	0.3281942018	0.1304844607	0.2889727613	0.1683187151
A	C3_plus_content_effective_mask	outer_evaluation	All	100	0.1547543108	0.1241640928	0.3376740864	0.1589363613	0.2900818571	0.1686697505
A	C3_plus_content_effective_mask	outer_evaluation	uniform_kd_seed1111	100	0.1547543108	0.1156862021	0.3723243407			
A	C3_plus_content_effective_mask	outer_evaluation	moddrop_seed1111	100	0.1547543108	0.1239262346	0.3448475113			
A	C3_plus_content_effective_mask	outer_evaluation	moddrop_seed1114	100	0.1547543108	0.1289123429	0.3364014866			
A	C3_plus_content_effective_mask	outer_evaluation	cfcompat_seed1111	100	0.1547543108	0.1216611606	0.3553402534			
A	C3_plus_content_effective_mask	outer_evaluation	cfcompat_seed1114	100	0.1547543108	0.1306345239	0.3069110956			
B	C0_predictions_mode	inner_train	All	0.1	0.1625877023	0.1370608055	0.1220134014	0.159923554	0.2637515099	0.1679933833
B	C0_predictions_mode	inner_valid	All	0.1	0.1625877023	0.1363068004	0.102018131	0.1596980256	0.2585871771	0.1657010346
B	C0_predictions_mode	outer_evaluation	All	0.1	0.1625877023	0.132578938	-0.01423506867	0.257882091	0.2448966336	0.1630406065
B	C0_predictions_mode	outer_evaluation	uniform_kd_seed1111	0.1	0.1625877023	0.1328714149	-0.04911959415			
B	C0_predictions_mode	outer_evaluation	moddrop_seed1111	0.1	0.1625877023	0.1258937288	0.005072549555			
B	C0_predictions_mode	outer_evaluation	moddrop_seed1114	0.1	0.1625877023	0.1441290688	-0.003282062924			
B	C0_predictions_mode	outer_evaluation	cfcompat_seed1111	0.1	0.1625877023	0.1245877478	-0.008715324232			
B	C0_predictions_mode	outer_evaluation	cfcompat_seed1114	0.1	0.1625877023	0.1354127296	-0.02878564144			
B	C1_plus_disagreement_outlier	inner_train	All	0.1	0.1625877023	0.1231551178	0.3389710726	0.09800951969	0.2753665137	0.1669548621
B	C1_plus_disagreement_outlier	inner_valid	All	0.1	0.1625877023	0.1205869096	0.3446053711	0.1106271777	0.2718540869	0.1654352739
B	C1_plus_disagreement_outlier	outer_evaluation	All	0.1	0.1625877023	0.1196864687	0.3276876736	0.1424050633	0.2565259813	0.1622155734
B	C1_plus_disagreement_outlier	outer_evaluation	uniform_kd_seed1111	0.1	0.1625877023	0.121705455	0.2975654499			
B	C1_plus_disagreement_outlier	outer_evaluation	moddrop_seed1111	0.1	0.1625877023	0.1130579971	0.3430402384			
B	C1_plus_disagreement_outlier	outer_evaluation	moddrop_seed1114	0.1	0.1625877023	0.1297884664	0.3206987542			
B	C1_plus_disagreement_outlier	outer_evaluation	cfcompat_seed1111	0.1	0.1625877023	0.1120993743	0.3638828829			
B	C1_plus_disagreement_outlier	outer_evaluation	cfcompat_seed1114	0.1	0.1625877023	0.1217810507	0.3213758764			
B	C2_plus_consistency	inner_train	All	0.1	0.1625877023	0.1231383599	0.3389574884	0.1031660176	0.2755468079	0.1668522552
B	C2_plus_consistency	inner_valid	All	0.1	0.1625877023	0.1207027611	0.3434601782	0.1135307782	0.2719977323	0.165404611
B	C2_plus_consistency	outer_evaluation	All	0.1	0.1625877023	0.119617429	0.326265195	0.1464779653	0.257298927	0.1621437463
B	C2_plus_consistency	outer_evaluation	uniform_kd_seed1111	0.1	0.1625877023	0.121495267	0.297697695			
B	C2_plus_consistency	outer_evaluation	moddrop_seed1111	0.1	0.1625877023	0.1130640756	0.3425516363			
B	C2_plus_consistency	outer_evaluation	moddrop_seed1114	0.1	0.1625877023	0.129924822	0.3204841581			
B	C2_plus_consistency	outer_evaluation	cfcompat_seed1111	0.1	0.1625877023	0.1118555688	0.3631695674			
B	C2_plus_consistency	outer_evaluation	cfcompat_seed1114	0.1	0.1625877023	0.1217474114	0.321356801			
B	C3_plus_content_effective_mask	inner_train	All	0.1	0.1625877023	0.1227524763	0.3417516765	0.1267128227	0.2745568975	0.1661398526
B	C3_plus_content_effective_mask	inner_valid	All	0.1	0.1625877023	0.12043787	0.3464855077	0.1263066202	0.271915441	0.1648447198
B	C3_plus_content_effective_mask	outer_evaluation	All	0.1	0.1625877023	0.1201242813	0.3184652029	0.1619491327	0.2594675623	0.1621576767
B	C3_plus_content_effective_mask	outer_evaluation	uniform_kd_seed1111	0.1	0.1625877023	0.1220824782	0.2885937227			
B	C3_plus_content_effective_mask	outer_evaluation	moddrop_seed1111	0.1	0.1625877023	0.1132714585	0.3390920535			
B	C3_plus_content_effective_mask	outer_evaluation	moddrop_seed1114	0.1	0.1625877023	0.1302874066	0.3144053349			
B	C3_plus_content_effective_mask	outer_evaluation	cfcompat_seed1111	0.1	0.1625877023	0.112990065	0.3449741976			
B	C3_plus_content_effective_mask	outer_evaluation	cfcompat_seed1114	0.1	0.1625877023	0.1219899982	0.3162886575			
