mode,metric,reference,oracle,reference_value,oracle_minus_reference
LAV,MAE,per_mode_fixed_stacking,0.4002100598,0.5543209051,-0.1541108453
LAV,MAE,moddrop_seed1111,0.4002100598,0.5638540161,-0.1636439563
LAV,MAE,equal_average,0.4002100598,0.5539128114,-0.1537027516
LA,MAE,per_mode_fixed_stacking,0.4028137818,0.5561819348,-0.153368153
LA,MAE,moddrop_seed1111,0.4028137818,0.5647679765,-0.1619541947
LA,MAE,equal_average,0.4028137818,0.5556121939,-0.152798412
LV,MAE,per_mode_fixed_stacking,0.4012618064,0.5544670933,-0.1532052869
LV,MAE,moddrop_seed1111,0.4012618064,0.5642332485,-0.1629714421
LV,MAE,equal_average,0.4012618064,0.5539741771,-0.1527123707
L,MAE,per_mode_fixed_stacking,0.4034711576,0.556239021,-0.1527678633
L,MAE,moddrop_seed1111,0.4034711576,0.5650689173,-0.1615977597
L,MAE,equal_average,0.4034711576,0.5556732036,-0.152202046
Overall,J,per_mode_fixed_stacking,0.4013628209,0.5549751274,-0.1536123065
Overall,J,moddrop_seed1111,0.4013628209,0.5642720318,-0.1629092109
Overall,J,equal_average,0.4013628209,0.5544996681,-0.1531368473
