method,mode,MAE,Corr,Acc7,Acc5,Acc2,F1,J
uniform_kd_seed1111,LAV,0.5649748215,0.7431920882,0.5178855813,0.5382212422,0.8471765994,0.8461961546,0.5649748215
uniform_kd_seed1111,LA,0.5663533611,0.7418707104,0.5161705255,0.5362611785,0.8459252307,0.8449606185,0.5663533611
uniform_kd_seed1111,LV,0.5647084798,0.7429820896,0.5183755972,0.5390787701,0.8470983889,0.8461843072,0.5647084798
uniform_kd_seed1111,L,0.566003515,0.7417374974,0.5162317775,0.5366899424,0.8466291256,0.8456728704,0.566003515
uniform_kd_seed1111,Overall,0.5655100443,0.7424455964,0.5171658704,0.5375627833,0.8467073361,0.8457534877,0.5653316367
moddrop_seed1111,LAV,0.5638540161,0.7381436632,0.5213156928,0.53969129,0.8424839668,0.841876,0.5638540161
moddrop_seed1111,LA,0.5647679765,0.737333299,0.5207031729,0.5389562661,0.8406069138,0.8399529073,0.5647679765
moddrop_seed1111,LV,0.5642332485,0.7376672238,0.5211931888,0.5399362979,0.8411543876,0.8406746699,0.5642332485
moddrop_seed1111,L,0.5650689173,0.7369217093,0.5207031729,0.539262526,0.8402158611,0.839733309,0.5650689173
moddrop_seed1111,Overall,0.5644810396,0.7375164738,0.5209788068,0.539461595,0.8411152823,0.8405592215,0.5642720318
moddrop_seed1114,LAV,0.5726299621,0.733170539,0.513475438,0.5338110989,0.8323948068,0.8324992319,0.5726299621
moddrop_seed1114,LA,0.5744304276,0.7311256763,0.5107803504,0.5307484993,0.8317691225,0.831809129,0.5744304276
moddrop_seed1114,LV,0.5717511958,0.7333976328,0.5147617298,0.5347298787,0.8340372282,0.8340372282,0.5717511958
moddrop_seed1114,L,0.5737623058,0.7314460309,0.5110866103,0.5310547593,0.8330987017,0.8330769248,0.5737623058
moddrop_seed1114,Overall,0.5731434728,0.7322849697,0.5125260321,0.532586059,0.8328249648,0.8328556285,0.5729723026
cfcompat_seed1111,LAV,0.5666996262,0.7374363415,0.5173955654,0.5359549185,0.8391209135,0.839268814,0.5666996262
cfcompat_seed1111,LA,0.5677352833,0.7361932069,0.5168442974,0.5354036506,0.8382605975,0.8383510377,0.5677352833
cfcompat_seed1111,LV,0.5667462471,0.7374027917,0.5170280534,0.5356486586,0.8384170186,0.8385757637,0.5667462471
cfcompat_seed1111,L,0.5676330865,0.7361761148,0.5165992895,0.5351586427,0.837322071,0.8374475851,0.5676330865
cfcompat_seed1111,Overall,0.5672035608,0.7368021137,0.5169668014,0.5355414676,0.8382801502,0.8384108001,0.5670355826
cfcompat_seed1114,LAV,0.5698640482,0.7343876745,0.5156192576,0.5354036506,0.8340372282,0.8343850207,0.5698640482
cfcompat_seed1114,LA,0.5721369662,0.7312790024,0.512862918,0.5322185471,0.8360707023,0.8361132151,0.5721369662
cfcompat_seed1114,LV,0.5697365361,0.733967496,0.5147617298,0.5343011148,0.8356796496,0.8358994339,0.5697365361
cfcompat_seed1114,L,0.5727295942,0.7306882007,0.5117603822,0.5308097513,0.834584702,0.8346311589,0.5727295942
cfcompat_seed1114,Overall,0.5711167862,0.7325805934,0.5137510719,0.533183266,0.8350930705,0.8352572072,0.5706992069
equal_average,LAV,0.5539128114,0.7510917763,0.5241332843,0.5442239373,0.8458470202,0.8455044345,0.5539128114
equal_average,LA,0.5556121939,0.7493727554,0.5230307485,0.5426926375,0.8456123885,0.8452008012,0.5556121939
equal_average,LV,0.5539741771,0.7508808765,0.5241945363,0.5440401813,0.846394494,0.846092183,0.5539741771
equal_average,L,0.5556732036,0.7492181618,0.5226019846,0.5422638736,0.8457688096,0.845415305,0.5556732036
equal_average,Overall,0.5547930965,0.7501408925,0.5234901384,0.5433051574,0.8459056781,0.8455531809,0.5544996681
per_mode_fixed_stacking,LAV,0.5543209051,0.7506283709,0.5238882764,0.5442851893,0.8459252307,0.8454927187,0.5543209051
per_mode_fixed_stacking,LA,0.5561819348,0.7486997737,0.5229694965,0.5429988975,0.8465509151,0.8460399753,0.5561819348
per_mode_fixed_stacking,LV,0.5544670933,0.7504034978,0.5236432684,0.5437951733,0.8456905991,0.8452973149,0.5544670933
per_mode_fixed_stacking,L,0.556239021,0.7486656187,0.5222344726,0.5421413696,0.845534178,0.8450750108,0.556239021
per_mode_fixed_stacking,Overall,0.5553022385,0.7495993153,0.5231838785,0.5433051574,0.8459252307,0.8454762549,0.5549751274
oracle_expert_selection,LAV,0.4002100598,0.8457836545,0.6550287884,0.6745681735,0.9060691381,0.9057586225,0.4002100598
oracle_expert_selection,LA,0.4028137818,0.8443656885,0.6534362367,0.6729143697,0.9038792429,0.9035338067,0.4028137818
oracle_expert_selection,LV,0.4012618064,0.8454641285,0.6529462208,0.6730368737,0.9059909276,0.9056824001,0.4012618064
oracle_expert_selection,L,0.4034711576,0.8442177391,0.6523337008,0.6722405978,0.903175348,0.9028250488,0.4034711576
oracle_expert_selection,Overall,0.4019392014,0.8449578027,0.6534362367,0.6731900037,0.9047786642,0.9044499696,0.4013628209
