sample_id,video_id,mode,expert_fold,label,prediction__uniform_kd_seed1111,absolute_error__uniform_kd_seed1111,prediction__moddrop_seed1111,absolute_error__moddrop_seed1111,prediction__moddrop_seed1114,absolute_error__moddrop_seed1114,prediction__cfcompat_seed1111,absolute_error__cfcompat_seed1111,prediction__cfcompat_seed1114,absolute_error__cfcompat_seed1114,oracle_selected_expert,fixed_prediction,oracle_prediction
25271$_$5,25271,L,0,0.6666666865,-0.04863823578,0.7153049223,-0.2714146972,0.9380813837,-0.05823023617,0.7248969227,-0.05551826954,0.722184956,0.1311302334,0.5355364531,cfcompat_seed1114,-0.08090129779,0.1311302334
261902$_$26,261902,L,0,-0.3333333433,-2.014518023,1.68118468,-1.856252074,1.522918731,-1.3463974,1.013064057,-1.426082492,1.092749149,-1.365088582,1.031755239,moddrop_seed1114,-1.63090091,-1.3463974
_bIJOxiIJFk$_$1,_bIJOxiIJFk,L,0,1,0.8816911578,0.1183088422,0.8741180897,0.1258819103,0.9982247353,0.0017752647,0.8989249468,0.1010750532,1.226974487,0.226974487,moddrop_seed1114,0.9872295744,0.9982247353
2RC_DXV_dPQ$_$10,2RC_DXV_dPQ,LA,0,0,0.3865121901,0.3865121901,0.3190446198,0.3190446198,0.1466234326,0.1466234326,0.3376711905,0.3376711905,0.4024065435,0.4024065435,moddrop_seed1114,0.309658917,0.1466234326
nw6Kf3AtCz4$_$17,nw6Kf3AtCz4,LA,0,0.3333333433,0.8163395524,0.4830062091,0.4582067132,0.1248733699,0.542303443,0.2089700997,0.6707639694,0.3374306261,0.6359323859,0.3025990426,moddrop_seed1111,0.6006276369,0.4582067132
-iRBcNs9oI8$_$1,-iRBcNs9oI8,LA,0,1.666666627,0.9321468472,0.7345197798,0.8507357836,0.8159308434,1.314370155,0.352296472,0.9500690699,0.7165975571,1.276498795,0.390167832,moddrop_seed1114,1.029745711,1.314370155
amem5EmRG3s$_$5,amem5EmRG3s,LAV,0,1.666666627,1.149703264,0.516963363,0.9560161829,0.7106504441,0.7584007978,0.9082658292,1.027788281,0.638878346,1.116595626,0.550071001,uniform_kd_seed1111,1.007467224,1.149703264
5qxZFmIaynE$_$14,5qxZFmIaynE,LAV,0,0.3333333433,0.4240671992,0.0907338559,0.2897103131,0.0436230302,0.2606487274,0.0726846159,0.5827891231,0.2494557798,0.4287650883,0.095431745,moddrop_seed1111,0.3706745288,0.2897103131
Ve-mmCM8TI0$_$11,Ve-mmCM8TI0,LAV,0,0,0.3270899951,0.3270899951,0.2507331371,0.2507331371,0.2331887484,0.2331887484,0.4289023876,0.4289023876,0.2569995821,0.2569995821,moddrop_seed1114,0.2754948511,0.2331887484
4iG0ffmnCOw$_$1,4iG0ffmnCOw,LV,0,0.6666666865,0.4382397234,0.2284269631,0.2643142343,0.4023524522,0.3995184302,0.2671482563,0.3753584325,0.291308254,0.3188650012,0.3478016853,uniform_kd_seed1111,0.3392652519,0.4382397234
luQfWSfb1s0$_$9,luQfWSfb1s0,LV,0,1.666666627,0.4584303498,1.208236277,0.3634248674,1.30324176,0.4696105421,1.197056085,0.4326765537,1.233990073,0.5657542944,1.100912333,cfcompat_seed1114,0.45996243,0.5657542944
47472$_$10,47472,LV,0,0,0.2089190334,0.2089190334,0.2801205218,0.2801205218,0.08734501153,0.08734501153,0.3924600184,0.3924600184,0.08233185858,0.08233185858,cfcompat_seed1114,0.1872256581,0.08233185858
238645$_$12,238645,L,1,0,0.208475098,0.208475098,0.172570318,0.172570318,0.6508309245,0.6508309245,0.02723667026,0.02723667026,0.2647977769,0.2647977769,cfcompat_seed1111,0.2564665307,0.02723667026
jlCFLG6rKKY$_$6,jlCFLG6rKKY,L,1,-0.3333333433,-0.1267214417,0.2066119016,-0.03223767132,0.301095672,0.04252958298,0.3758629263,-0.1855353713,0.147797972,-0.08884424716,0.2444890961,cfcompat_seed1111,-0.07285984083,-0.1855353713
243341$_$22,243341,L,1,-2.333333254,-1.611683607,0.721649647,-1.392279625,0.941053629,-1.774847269,0.558485985,-1.692620039,0.640713215,-1.920240402,0.413092852,cfcompat_seed1114,-1.634320754,-1.920240402
2-4autDbHVQ$_$17,2-4autDbHVQ,LA,1,2,1.006176233,0.993823767,0.5453142524,1.454685748,1.079984903,0.920015097,0.9727649689,1.027235031,1.134548306,0.865451694,cfcompat_seed1114,0.8677403318,1.134548306
