validation_judge_fold,fit_judge_fold,mode,expert_id,weight
0,1,LAV,uniform_kd_seed1111,0.244871027
0,1,LAV,moddrop_seed1111,0.3444655073
0,1,LAV,moddrop_seed1114,0.08290041472
0,1,LAV,cfcompat_seed1111,0.03178924124
0,1,LAV,cfcompat_seed1114,0.2959738097
0,1,LA,uniform_kd_seed1111,0.232049143
0,1,LA,moddrop_seed1111,0.3916490728
0,1,LA,moddrop_seed1114,0.08452385256
0,1,LA,cfcompat_seed1111,0.01010280119
0,1,LA,cfcompat_seed1114,0.2816751304
0,1,LV,uniform_kd_seed1111,0.2502689048
0,1,LV,moddrop_seed1111,0.3318300669
0,1,LV,moddrop_seed1114,0.09085922078
0,1,LV,cfcompat_seed1111,0.02297517695
0,1,LV,cfcompat_seed1114,0.3040666305
0,1,L,uniform_kd_seed1111,0.2527587385
0,1,L,moddrop_seed1111,0.3655703907
0,1,L,moddrop_seed1114,0.1026347905
0,1,L,cfcompat_seed1111,1.326145331e-18
0,1,L,cfcompat_seed1114,0.2790360802
1,0,LAV,uniform_kd_seed1111,0.2602121063
1,0,LAV,moddrop_seed1111,0.179659226
1,0,LAV,moddrop_seed1114,0.2112484989
1,0,LAV,cfcompat_seed1111,0.148925881
1,0,LAV,cfcompat_seed1114,0.1999542878
1,0,LA,uniform_kd_seed1111,0.2378723454
1,0,LA,moddrop_seed1111,0.2109421088
1,0,LA,moddrop_seed1114,0.2337688954
1,0,LA,cfcompat_seed1111,0.1790076603
1,0,LA,cfcompat_seed1114,0.1384089901
1,0,LV,uniform_kd_seed1111,0.2796377275
1,0,LV,moddrop_seed1111,0.1603988572
1,0,LV,moddrop_seed1114,0.2331211232
1,0,LV,cfcompat_seed1111,0.1469934563
1,0,LV,cfcompat_seed1114,0.1798488357
1,0,L,uniform_kd_seed1111,0.2566681183
1,0,L,moddrop_seed1111,0.1891389478
1,0,L,moddrop_seed1114,0.244439663
1,0,L,cfcompat_seed1111,0.1769884105
1,0,L,cfcompat_seed1114,0.1327648604
