sample_id,video_id,train_index,mode,label,prediction__cfcompat_seed1111,prediction__cfcompat_seed1114,prediction__moddrop_seed1111,prediction__moddrop_seed1114,prediction__uniform_kd_seed1111,expert_fold,judge_fold,meta_row_id,content_binding_key,hierarchical_binding_key
-3g5yACwYnA$_$10,-3g5yACwYnA,0,L,1,0.5822642446,0.7648508549,0.5380157232,0.5449711084,0.5026363134,0,1,dcb4579582b9a73a45fd295172af27b6ea1d0062ae41e49af041472e336b6903,-3g5yACwYnA$_$10,dcb4579582b9a73a45fd295172af27b6ea1d0062ae41e49af041472e336b6903
-3g5yACwYnA$_$10,-3g5yACwYnA,0,LA,1,0.5751802921,0.7692653537,0.5119906068,0.5645987988,0.4762450755,0,1,595078a630dd86f928511cad3f1f3e83fd74a5b9abb161bb6fb5d6904617d08d,-3g5yACwYnA$_$10,595078a630dd86f928511cad3f1f3e83fd74a5b9abb161bb6fb5d6904617d08d
-3g5yACwYnA$_$10,-3g5yACwYnA,0,LAV,1,0.5605568886,0.7941527367,0.5347473025,0.5961405635,0.4877165258,0,1,a8cc3602bc8ff8e511694e124ae3c841d520725e802123a6aee71e4d1ab2fbb6,-3g5yACwYnA$_$10,a8cc3602bc8ff8e511694e124ae3c841d520725e802123a6aee71e4d1ab2fbb6
-3g5yACwYnA$_$10,-3g5yACwYnA,0,LV,1,0.5767620206,0.7838433981,0.5501013398,0.5786850452,0.5095688105,0,1,42f5971506f4bc170f212a55738b03a2667bad227b7b918e707cb80fcb99b604,-3g5yACwYnA$_$10,42f5971506f4bc170f212a55738b03a2667bad227b7b918e707cb80fcb99b604
-3g5yACwYnA$_$13,-3g5yACwYnA,1,L,0.6666666865,0.7043636441,1.050498247,0.495985806,1.072532773,0.5454237461,0,1,66578117301702b14b792a3b8d93d3c772198d924f52539c0ccbf9affe1fd655,-3g5yACwYnA$_$13,66578117301702b14b792a3b8d93d3c772198d924f52539c0ccbf9affe1fd655
-3g5yACwYnA$_$13,-3g5yACwYnA,1,LA,0.6666666865,0.704266727,1.043632269,0.49339661,1.080631733,0.5399699807,0,1,2890dc747a89bf824a9b204f46463e7588aa6ec6ef638b7fcd06c3476e227ab4,-3g5yACwYnA$_$13,2890dc747a89bf824a9b204f46463e7588aa6ec6ef638b7fcd06c3476e227ab4
-3g5yACwYnA$_$13,-3g5yACwYnA,1,LAV,0.6666666865,0.6975502968,1.036932707,0.4848179221,1.075812221,0.5319496393,0,1,4fdf21406f9199176795377bd032ddf2aacdfdb553c1623d363b074a848011da,-3g5yACwYnA$_$13,4fdf21406f9199176795377bd032ddf2aacdfdb553c1623d363b074a848011da
-3g5yACwYnA$_$13,-3g5yACwYnA,1,LV,0.6666666865,0.6991556883,1.038862467,0.4844191074,1.062662244,0.537514627,0,1,a4be6d7c8c80dce685b95f5af805959bab4e1b917ee635d5c1eef5c5eaca64a4,-3g5yACwYnA$_$13,a4be6d7c8c80dce685b95f5af805959bab4e1b917ee635d5c1eef5c5eaca64a4
-3g5yACwYnA$_$3,-3g5yACwYnA,2,L,0,0.1573093086,0.2089387923,-0.104215011,-0.034762308,0.2532178164,0,1,54d2cbfb67e3caa1e7be6004328768291b0f2c12a6ba8e51ad96afa29a3fa205,-3g5yACwYnA$_$3,54d2cbfb67e3caa1e7be6004328768291b0f2c12a6ba8e51ad96afa29a3fa205
-3g5yACwYnA$_$3,-3g5yACwYnA,2,LA,0,0.1549698561,0.2038215548,-0.1051580012,-0.04923193902,0.2481792271,0,1,d6c0c06eb5a2168a1206dbf1d4bd454e81f00d55aa80c18f918584d74c3413f9,-3g5yACwYnA$_$3,d6c0c06eb5a2168a1206dbf1d4bd454e81f00d55aa80c18f918584d74c3413f9
-3g5yACwYnA$_$3,-3g5yACwYnA,2,LAV,0,0.151424095,0.1727600992,-0.1008882225,-0.08641989529,0.2537596524,0,1,fb30bd45390ca6214882f8cccf554858364735cef58416c30d7ff958cd8d4f14,-3g5yACwYnA$_$3,fb30bd45390ca6214882f8cccf554858364735cef58416c30d7ff958cd8d4f14
-3g5yACwYnA$_$3,-3g5yACwYnA,2,LV,0,0.1547302753,0.1787409037,-0.0963588804,-0.07361695915,0.2559266984,0,1,86336ff5951ce58ae357425b643999c6501c0a4687ada793f7f26e3e8edf3b8c,-3g5yACwYnA$_$3,86336ff5951ce58ae357425b643999c6501c0a4687ada793f7f26e3e8edf3b8c
-3g5yACwYnA$_$2,-3g5yACwYnA,3,L,0,0.4777589738,0.6545120478,0.4566626549,0.6727656722,0.5262338519,0,1,9c0763801bf69916ecfa98247a103afbc262b72e7dc4c0e30ccd526008dd25c6,-3g5yACwYnA$_$2,9c0763801bf69916ecfa98247a103afbc262b72e7dc4c0e30ccd526008dd25c6
-3g5yACwYnA$_$2,-3g5yACwYnA,3,LA,0,0.4746084213,0.6442186236,0.4591112733,0.67357862,0.5237101912,0,1,53b103c2c63ec0fea4c7fa96677eeb37747d39b6f236d89c400bc1616a7732ff,-3g5yACwYnA$_$2,53b103c2c63ec0fea4c7fa96677eeb37747d39b6f236d89c400bc1616a7732ff
-3g5yACwYnA$_$2,-3g5yACwYnA,3,LAV,0,0.4691440463,0.6314477324,0.4502590299,0.6675271988,0.5179060102,0,1,3edd62e02621dc756eb945d07c5d106a5d49b18493616e28e47bdccc0ac69b29,-3g5yACwYnA$_$2,3edd62e02621dc756eb945d07c5d106a5d49b18493616e28e47bdccc0ac69b29
-3g5yACwYnA$_$2,-3g5yACwYnA,3,LV,0,0.4729209244,0.6373556852,0.4446418881,0.6603360176,0.5184090734,0,1,a1d5083f1887a8b801fe136402ec019337734e935f85802615ca8a547652b35b,-3g5yACwYnA$_$2,a1d5083f1887a8b801fe136402ec019337734e935f85802615ca8a547652b35b
-3g5yACwYnA$_$4,-3g5yACwYnA,4,L,1,0.9552592635,0.8771432042,0.9891913533,0.7719677687,0.9883176684,0,1,d594833d0dadde512c9bbf25262124c6ec1dbbca75a860b4693e5b4ec0188d51,-3g5yACwYnA$_$4,d594833d0dadde512c9bbf25262124c6ec1dbbca75a860b4693e5b4ec0188d51
