direction,mode,expert_id,weight
A,LAV,uniform_kd_seed1111,0.2278452003
A,LAV,moddrop_seed1111,0.2782153324
A,LAV,moddrop_seed1114,0.179496674
A,LAV,cfcompat_seed1111,0.1334239307
A,LAV,cfcompat_seed1114,0.1810188627
A,LA,uniform_kd_seed1111,0.2193005756
A,LA,moddrop_seed1111,0.3123914478
A,LA,moddrop_seed1114,0.1654570729
A,LA,cfcompat_seed1111,0.1175060299
A,LA,cfcompat_seed1114,0.1853448739
A,LV,uniform_kd_seed1111,0.2278819622
A,LV,moddrop_seed1111,0.2805360371
A,LV,moddrop_seed1114,0.1839132054
A,LV,cfcompat_seed1111,0.1274934195
A,LV,cfcompat_seed1114,0.1801753759
A,L,uniform_kd_seed1111,0.2100807472
A,L,moddrop_seed1111,0.3126395443
A,L,moddrop_seed1114,0.1830035452
A,L,cfcompat_seed1111,0.123200383
A,L,cfcompat_seed1114,0.1710757803
