direction,mode,expert_id,weight
B,LAV,uniform_kd_seed1111,0.1646349377
B,LAV,moddrop_seed1111,0.2730578326
B,LAV,moddrop_seed1114,0.2088196699
B,LAV,cfcompat_seed1111,0.1340541813
B,LAV,cfcompat_seed1114,0.2194333785
B,LA,uniform_kd_seed1111,0.1736560918
B,LA,moddrop_seed1111,0.2866246938
B,LA,moddrop_seed1114,0.2221252002
B,LA,cfcompat_seed1111,0.1336063665
B,LA,cfcompat_seed1114,0.1839876477
B,LV,uniform_kd_seed1111,0.1871806021
B,LV,moddrop_seed1111,0.2391463813
B,LV,moddrop_seed1114,0.2338601405
B,LV,cfcompat_seed1111,0.1367182213
B,LV,cfcompat_seed1114,0.2030946549
B,L,uniform_kd_seed1111,0.2098824968
B,L,moddrop_seed1111,0.2736377816
B,L,moddrop_seed1114,0.2312686074
B,L,cfcompat_seed1111,0.105904044
B,L,cfcompat_seed1114,0.1793070701
