sample_id,video_id,train_index
-3g5yACwYnA$_$10,-3g5yACwYnA,0
-3g5yACwYnA$_$13,-3g5yACwYnA,1
-3g5yACwYnA$_$3,-3g5yACwYnA,2
-3g5yACwYnA$_$2,-3g5yACwYnA,3
-3g5yACwYnA$_$4,-3g5yACwYnA,4
-3g5yACwYnA$_$9,-3g5yACwYnA,5
-3nNcZdcdvU$_$0,-3nNcZdcdvU,6
-3nNcZdcdvU$_$2,-3nNcZdcdvU,7
-3nNcZdcdvU$_$5,-3nNcZdcdvU,8
-NFrJFQijFE$_$1,-NFrJFQijFE,19
-NFrJFQijFE$_$8,-NFrJFQijFE,20
-NFrJFQijFE$_$2,-NFrJFQijFE,21
-NFrJFQijFE$_$0,-NFrJFQijFE,22
-UuX1xuaiiE$_$1,-UuX1xuaiiE,31
-UuX1xuaiiE$_$0,-UuX1xuaiiE,32
-UuX1xuaiiE$_$3,-UuX1xuaiiE,33
-UuX1xuaiiE$_$2,-UuX1xuaiiE,34
-UuX1xuaiiE$_$5,-UuX1xuaiiE,35
-UuX1xuaiiE$_$4,-UuX1xuaiiE,36
-UuX1xuaiiE$_$7,-UuX1xuaiiE,37
-UuX1xuaiiE$_$6,-UuX1xuaiiE,38
-UuX1xuaiiE$_$9,-UuX1xuaiiE,39
-UuX1xuaiiE$_$8,-UuX1xuaiiE,40
-ZgjBOA1Yhw$_$1,-ZgjBOA1Yhw,46
-ZgjBOA1Yhw$_$2,-ZgjBOA1Yhw,47
-ZgjBOA1Yhw$_$5,-ZgjBOA1Yhw,48
-ZgjBOA1Yhw$_$4,-ZgjBOA1Yhw,49
-ZgjBOA1Yhw$_$7,-ZgjBOA1Yhw,50
-ZgjBOA1Yhw$_$8,-ZgjBOA1Yhw,51
-a55Q6RWvTA$_$3,-a55Q6RWvTA,52
-egA8-b7-3M$_$24,-egA8-b7-3M,66
-egA8-b7-3M$_$10,-egA8-b7-3M,67
-egA8-b7-3M$_$26,-egA8-b7-3M,68
-egA8-b7-3M$_$15,-egA8-b7-3M,69
-egA8-b7-3M$_$17,-egA8-b7-3M,70
-egA8-b7-3M$_$23,-egA8-b7-3M,71
-egA8-b7-3M$_$18,-egA8-b7-3M,72
-egA8-b7-3M$_$16,-egA8-b7-3M,73
-egA8-b7-3M$_$13,-egA8-b7-3M,74
-egA8-b7-3M$_$1,-egA8-b7-3M,75
-egA8-b7-3M$_$3,-egA8-b7-3M,76
-egA8-b7-3M$_$2,-egA8-b7-3M,77
-egA8-b7-3M$_$5,-egA8-b7-3M,78
-egA8-b7-3M$_$25,-egA8-b7-3M,79
-egA8-b7-3M$_$6,-egA8-b7-3M,80
-egA8-b7-3M$_$9,-egA8-b7-3M,81
-egA8-b7-3M$_$20,-egA8-b7-3M,82
-iRBcNs9oI8$_$11,-iRBcNs9oI8,83
-iRBcNs9oI8$_$10,-iRBcNs9oI8,84
-iRBcNs9oI8$_$1,-iRBcNs9oI8,85
-iRBcNs9oI8$_$3,-iRBcNs9oI8,86
-iRBcNs9oI8$_$2,-iRBcNs9oI8,87
-iRBcNs9oI8$_$5,-iRBcNs9oI8,88
-iRBcNs9oI8$_$7,-iRBcNs9oI8,89
-iRBcNs9oI8$_$6,-iRBcNs9oI8,90
-iRBcNs9oI8$_$9,-iRBcNs9oI8,91
-iRBcNs9oI8$_$8,-iRBcNs9oI8,92
-lqc32Zpr7M$_$0,-lqc32Zpr7M,93
-lqc32Zpr7M$_$5,-lqc32Zpr7M,94
-lqc32Zpr7M$_$10,-lqc32Zpr7M,95
-lqc32Zpr7M$_$18,-lqc32Zpr7M,96
-tPCytz4rww$_$11,-tPCytz4rww,119
-tPCytz4rww$_$10,-tPCytz4rww,120
