sample_id,video_id,train_index
-HwX2H8Z4hY$_$1,-HwX2H8Z4hY,9
-HwX2H8Z4hY$_$0,-HwX2H8Z4hY,10
-HwX2H8Z4hY$_$3,-HwX2H8Z4hY,11
-HwX2H8Z4hY$_$2,-HwX2H8Z4hY,12
-HwX2H8Z4hY$_$5,-HwX2H8Z4hY,13
-HwX2H8Z4hY$_$4,-HwX2H8Z4hY,14
-HwX2H8Z4hY$_$7,-HwX2H8Z4hY,15
-HwX2H8Z4hY$_$6,-HwX2H8Z4hY,16
-HwX2H8Z4hY$_$9,-HwX2H8Z4hY,17
-HwX2H8Z4hY$_$8,-HwX2H8Z4hY,18
-WXXTNIJcVM$_$1,-WXXTNIJcVM,41
-WXXTNIJcVM$_$0,-WXXTNIJcVM,42
-WXXTNIJcVM$_$3,-WXXTNIJcVM,43
-WXXTNIJcVM$_$2,-WXXTNIJcVM,44
-WXXTNIJcVM$_$5,-WXXTNIJcVM,45
-aNfi7CP8vM$_$10,-aNfi7CP8vM,53
-aNfi7CP8vM$_$7,-aNfi7CP8vM,54
-aqamKhZ1Ec$_$1,-aqamKhZ1Ec,55
-aqamKhZ1Ec$_$0,-aqamKhZ1Ec,56
-aqamKhZ1Ec$_$5,-aqamKhZ1Ec,57
-dxfTGcXJoc$_$1,-dxfTGcXJoc,58
-dxfTGcXJoc$_$0,-dxfTGcXJoc,59
-dxfTGcXJoc$_$3,-dxfTGcXJoc,60
-dxfTGcXJoc$_$2,-dxfTGcXJoc,61
-dxfTGcXJoc$_$5,-dxfTGcXJoc,62
-dxfTGcXJoc$_$4,-dxfTGcXJoc,63
-dxfTGcXJoc$_$7,-dxfTGcXJoc,64
-dxfTGcXJoc$_$6,-dxfTGcXJoc,65
-lzEya4AM_4$_$9,-lzEya4AM_4,97
-lzEya4AM_4$_$10,-lzEya4AM_4,98
-lzEya4AM_4$_$5,-lzEya4AM_4,99
-lzEya4AM_4$_$7,-lzEya4AM_4,100
-lzEya4AM_4$_$6,-lzEya4AM_4,101
-mJ2ud6oKI8$_$1,-mJ2ud6oKI8,102
-mJ2ud6oKI8$_$3,-mJ2ud6oKI8,103
-mJ2ud6oKI8$_$2,-mJ2ud6oKI8,104
-mJ2ud6oKI8$_$5,-mJ2ud6oKI8,105
-mJ2ud6oKI8$_$4,-mJ2ud6oKI8,106
-mJ2ud6oKI8$_$7,-mJ2ud6oKI8,107
-mJ2ud6oKI8$_$6,-mJ2ud6oKI8,108
-mJ2ud6oKI8$_$9,-mJ2ud6oKI8,109
-mJ2ud6oKI8$_$8,-mJ2ud6oKI8,110
-tANM6ETl_M$_$0,-tANM6ETl_M,116
-tANM6ETl_M$_$3,-tANM6ETl_M,117
-tANM6ETl_M$_$4,-tANM6ETl_M,118
-vxjVxOeScU$_$2,-vxjVxOeScU,125
-vxjVxOeScU$_$4,-vxjVxOeScU,126
-vxjVxOeScU$_$7,-vxjVxOeScU,127
-wMB_hJL-3o$_$0,-wMB_hJL-3o,128
-wMB_hJL-3o$_$4,-wMB_hJL-3o,129
-wMB_hJL-3o$_$7,-wMB_hJL-3o,130
-wMB_hJL-3o$_$6,-wMB_hJL-3o,131
07Z16yRBFUQ$_$3,07Z16yRBFUQ,148
07Z16yRBFUQ$_$5,07Z16yRBFUQ,149
07Z16yRBFUQ$_$6,07Z16yRBFUQ,150
0EphpADwdPg$_$1,0EphpADwdPg,179
0EphpADwdPg$_$0,0EphpADwdPg,180
0EphpADwdPg$_$2,0EphpADwdPg,181
0EphpADwdPg$_$7,0EphpADwdPg,182
0EphpADwdPg$_$6,0EphpADwdPg,183
0EphpADwdPg$_$8,0EphpADwdPg,184
0JuRmhhgMw8$_$1,0JuRmhhgMw8,214
0JuRmhhgMw8$_$0,0JuRmhhgMw8,215
0JuRmhhgMw8$_$3,0JuRmhhgMw8,216
0JuRmhhgMw8$_$2,0JuRmhhgMw8,217
0JuRmhhgMw8$_$5,0JuRmhhgMw8,218
0JuRmhhgMw8$_$4,0JuRmhhgMw8,219
0JuRmhhgMw8$_$7,0JuRmhhgMw8,220
0JuRmhhgMw8$_$6,0JuRmhhgMw8,221
0Svu5BldR5A$_$11,0Svu5BldR5A,248
0Svu5BldR5A$_$0,0Svu5BldR5A,249
0W4WsjhDgUI$_$3,0W4WsjhDgUI,250
0Xs8wJrAmxs$_$2,0Xs8wJrAmxs,257
0Xs8wJrAmxs$_$5,0Xs8wJrAmxs,258
0Xs8wJrAmxs$_$4,0Xs8wJrAmxs,259
0Xs8wJrAmxs$_$6,0Xs8wJrAmxs,260
0YdYFtVdlWE$_$20,0YdYFtVdlWE,261
0YdYFtVdlWE$_$21,0YdYFtVdlWE,262
0YdYFtVdlWE$_$22,0YdYFtVdlWE,263
0YdYFtVdlWE$_$23,0YdYFtVdlWE,264
0YdYFtVdlWE$_$0,0YdYFtVdlWE,265
0YdYFtVdlWE$_$2,0YdYFtVdlWE,266
0YdYFtVdlWE$_$5,0YdYFtVdlWE,267
0YdYFtVdlWE$_$4,0YdYFtVdlWE,268
0YdYFtVdlWE$_$7,0YdYFtVdlWE,269
0YdYFtVdlWE$_$6,0YdYFtVdlWE,270
0YdYFtVdlWE$_$9,0YdYFtVdlWE,271
0YdYFtVdlWE$_$8,0YdYFtVdlWE,272
0YdYFtVdlWE$_$11,0YdYFtVdlWE,273
0YdYFtVdlWE$_$10,0YdYFtVdlWE,274
0YdYFtVdlWE$_$13,0YdYFtVdlWE,275
0YdYFtVdlWE$_$12,0YdYFtVdlWE,276
0YdYFtVdlWE$_$15,0YdYFtVdlWE,277
0YdYFtVdlWE$_$14,0YdYFtVdlWE,278
0YdYFtVdlWE$_$17,0YdYFtVdlWE,279
0YdYFtVdlWE$_$16,0YdYFtVdlWE,280
0YdYFtVdlWE$_$19,0YdYFtVdlWE,281
0YdYFtVdlWE$_$18,0YdYFtVdlWE,282
0mXv97u2OCM$_$8,0mXv97u2OCM,309
0mXv97u2OCM$_$7,0mXv97u2OCM,310
0p9XKC_J3hU$_$2,0p9XKC_J3hU,317
0rE8jEvQW_I$_$0,0rE8jEvQW_I,322
0rE8jEvQW_I$_$3,0rE8jEvQW_I,323
0rE8jEvQW_I$_$2,0rE8jEvQW_I,324
0rE8jEvQW_I$_$5,0rE8jEvQW_I,325
0rE8jEvQW_I$_$4,0rE8jEvQW_I,326
0rE8jEvQW_I$_$7,0rE8jEvQW_I,327
0rE8jEvQW_I$_$6,0rE8jEvQW_I,328
0rE8jEvQW_I$_$9,0rE8jEvQW_I,329
0rE8jEvQW_I$_$8,0rE8jEvQW_I,330
0tkWa2skSmA$_$8,0tkWa2skSmA,331
0tkWa2skSmA$_$6,0tkWa2skSmA,332
100499$_$1,100499,341
100499$_$0,100499,342
100499$_$3,100499,343
100499$_$2,100499,344
100499$_$5,100499,345
100499$_$4,100499,346
100499$_$6,100499,347
101851$_$11,101851,348
101851$_$10,101851,349
101851$_$13,101851,350
101851$_$12,101851,351
101851$_$20,101851,352
101851$_$14,101851,353
101851$_$17,101851,354
101851$_$16,101851,355
101851$_$19,101851,356
101851$_$18,101851,357
101851$_$1,101851,358
101851$_$0,101851,359
101851$_$3,101851,360
101851$_$2,101851,361
101851$_$5,101851,362
101851$_$4,101851,363
101851$_$7,101851,364
101851$_$6,101851,365
101851$_$9,101851,366
101851$_$15,101851,367
101851$_$8,101851,368
10223$_$1,10223,388
10223$_$0,10223,389
10223$_$3,10223,390
10223$_$2,10223,391
10223$_$5,10223,392
10223$_$4,10223,393
10223$_$7,10223,394
10223$_$6,10223,395
10223$_$9,10223,396
10223$_$8,10223,397
106077$_$11,106077,398
106077$_$10,106077,399
106077$_$13,106077,400
106077$_$12,106077,401
106077$_$14,106077,402
106077$_$1,106077,403
106077$_$0,106077,404
106077$_$3,106077,405
106077$_$2,106077,406
106077$_$5,106077,407
106077$_$4,106077,408
106077$_$7,106077,409
106077$_$6,106077,410
106077$_$9,106077,411
106077$_$8,106077,412
110788$_$1,110788,510
110788$_$0,110788,511
110788$_$3,110788,512
110788$_$2,110788,513
110788$_$5,110788,514
110788$_$4,110788,515
110788$_$6,110788,516
112604$_$1,112604,557
112604$_$0,112604,558
112604$_$3,112604,559
112604$_$2,112604,560
112604$_$4,112604,561
113265$_$1,113265,579
113265$_$0,113265,580
113265$_$3,113265,581
113265$_$2,113265,582
113265$_$5,113265,583
113265$_$4,113265,584
113265$_$7,113265,585
113265$_$6,113265,586
113265$_$9,113265,587
113265$_$8,113265,588
120vnZnmhq4$_$2,120vnZnmhq4,641
125708$_$0,125708,707
125730$_$11,125730,708
125730$_$10,125730,709
125730$_$13,125730,710
125730$_$12,125730,711
125730$_$15,125730,712
125730$_$14,125730,713
125730$_$1,125730,714
125730$_$0,125730,715
125730$_$3,125730,716
125730$_$2,125730,717
125730$_$5,125730,718
125730$_$4,125730,719
125730$_$7,125730,720
125730$_$6,125730,721
125730$_$9,125730,722
125730$_$8,125730,723
125895$_$1,125895,735
125895$_$0,125895,736
125895$_$3,125895,737
125895$_$2,125895,738
125895$_$5,125895,739
125895$_$4,125895,740
125895$_$7,125895,741
125895$_$6,125895,742
125895$_$9,125895,743
125895$_$8,125895,744
128752$_$11,128752,826
128752$_$10,128752,827
128752$_$13,128752,828
128752$_$12,128752,829
128752$_$15,128752,830
128752$_$14,128752,831
128752$_$16,128752,832
128752$_$1,128752,833
128752$_$0,128752,834
128752$_$3,128752,835
128752$_$2,128752,836
128752$_$5,128752,837
128752$_$4,128752,838
128752$_$7,128752,839
128752$_$6,128752,840
128752$_$9,128752,841
128752$_$8,128752,842
130149$_$1,130149,864
130149$_$0,130149,865
130149$_$3,130149,866
130149$_$2,130149,867
130149$_$5,130149,868
130149$_$4,130149,869
130149$_$6,130149,870
130426$_$1,130426,871
130426$_$0,130426,872
130426$_$3,130426,873
130426$_$2,130426,874
130426$_$5,130426,875
130426$_$4,130426,876
130426$_$7,130426,877
130426$_$6,130426,878
130426$_$8,130426,879
130633$_$10,130633,890
130633$_$1,130633,891
130633$_$0,130633,892
130633$_$3,130633,893
130633$_$2,130633,894
130633$_$5,130633,895
130633$_$4,130633,896
130633$_$7,130633,897
130633$_$6,130633,898
130633$_$9,130633,899
130633$_$8,130633,900
131650$_$10,131650,901
131650$_$1,131650,902
131650$_$0,131650,903
131650$_$3,131650,904
131650$_$2,131650,905
131650$_$5,131650,906
131650$_$4,131650,907
131650$_$7,131650,908
131650$_$6,131650,909
131650$_$9,131650,910
131650$_$8,131650,911
131936$_$1,131936,921
131936$_$0,131936,922
131936$_$3,131936,923
131936$_$2,131936,924
131936$_$5,131936,925
131936$_$4,131936,926
131936$_$7,131936,927
131936$_$6,131936,928
134252$_$1,134252,929
134252$_$0,134252,930
134252$_$3,134252,931
134252$_$2,134252,932
134252$_$5,134252,933
134252$_$4,134252,934
134252$_$7,134252,935
134252$_$6,134252,936
134252$_$9,134252,937
134252$_$8,134252,938
136211$_$1,136211,955
136211$_$0,136211,956
136211$_$3,136211,957
136211$_$2,136211,958
136211$_$5,136211,959
136211$_$4,136211,960
136211$_$7,136211,961
136211$_$6,136211,962
139006$_$11,139006,985
139006$_$10,139006,986
139006$_$12,139006,987
139006$_$1,139006,988
139006$_$0,139006,989
139006$_$3,139006,990
139006$_$2,139006,991
139006$_$5,139006,992
139006$_$4,139006,993
139006$_$7,139006,994
139006$_$6,139006,995
139006$_$9,139006,996
139006$_$8,139006,997
154449$_$11,154449,1041
154449$_$10,154449,1042
154449$_$13,154449,1043
154449$_$12,154449,1044
154449$_$1,154449,1045
154449$_$0,154449,1046
154449$_$3,154449,1047
154449$_$2,154449,1048
154449$_$5,154449,1049
154449$_$4,154449,1050
154449$_$7,154449,1051
154449$_$6,154449,1052
154449$_$9,154449,1053
154449$_$8,154449,1054
15Wu4U2VPLw$_$1,15Wu4U2VPLw,1069
15Wu4U2VPLw$_$2,15Wu4U2VPLw,1070
15Wu4U2VPLw$_$5,15Wu4U2VPLw,1071
15Wu4U2VPLw$_$4,15Wu4U2VPLw,1072
15Wu4U2VPLw$_$7,15Wu4U2VPLw,1073
15Wu4U2VPLw$_$6,15Wu4U2VPLw,1074
15Wu4U2VPLw$_$9,15Wu4U2VPLw,1075
15Wu4U2VPLw$_$8,15Wu4U2VPLw,1076
180923$_$11,180923,1084
180923$_$10,180923,1085
180923$_$13,180923,1086
180923$_$12,180923,1087
180923$_$14,180923,1088
180923$_$1,180923,1089
180923$_$0,180923,1090
180923$_$3,180923,1091
180923$_$2,180923,1092
180923$_$5,180923,1093
180923$_$4,180923,1094
180923$_$7,180923,1095
180923$_$6,180923,1096
180923$_$9,180923,1097
180923$_$8,180923,1098
184784$_$1,184784,1099
184784$_$0,184784,1100
184784$_$3,184784,1101
184784$_$2,184784,1102
184784$_$5,184784,1103
184784$_$4,184784,1104
184784$_$6,184784,1105
18QjfdhJEM4$_$11,18QjfdhJEM4,1167
18QjfdhJEM4$_$10,18QjfdhJEM4,1168
18QjfdhJEM4$_$13,18QjfdhJEM4,1169
18QjfdhJEM4$_$12,18QjfdhJEM4,1170
18QjfdhJEM4$_$20,18QjfdhJEM4,1171
18QjfdhJEM4$_$14,18QjfdhJEM4,1172
18QjfdhJEM4$_$17,18QjfdhJEM4,1173
18QjfdhJEM4$_$23,18QjfdhJEM4,1174
18QjfdhJEM4$_$22,18QjfdhJEM4,1175
18QjfdhJEM4$_$1,18QjfdhJEM4,1176
18QjfdhJEM4$_$0,18QjfdhJEM4,1177
18QjfdhJEM4$_$3,18QjfdhJEM4,1178
18QjfdhJEM4$_$16,18QjfdhJEM4,1179
