direction,video_id,expert_fold,role,sample_count,meta_row_count,inner_split_seed,inner_split_modulo
A,-3g5yACwYnA,0,inner_train,6,24,2302,8
A,-3nNcZdcdvU,0,inner_train,3,12,2302,8
A,-NFrJFQijFE,0,inner_train,4,16,2302,8
A,-UuX1xuaiiE,0,inner_train,10,40,2302,8
A,-ZgjBOA1Yhw,0,inner_train,6,24,2302,8
A,-a55Q6RWvTA,0,inner_train,1,4,2302,8
A,-egA8-b7-3M,0,inner_train,17,68,2302,8
A,-iRBcNs9oI8,0,inner_train,10,40,2302,8
A,-lqc32Zpr7M,0,inner_train,4,16,2302,8
A,-tPCytz4rww,0,inner_train,6,24,2302,8
A,-wny0OAz3g8,0,inner_train,9,36,2302,8
A,03X1FwF6udc,0,inner_train,7,28,2302,8
A,08d4NTXkSxw,0,inner_train,4,16,2302,8
A,0AA-wmk8WdA,0,inner_train,2,8,2302,8
A,0AkGtPzl7D8,0,inner_train,1,4,2302,8
A,0BVed2nBq1g,0,inner_train,7,28,2302,8
A,0FA32bEZ6xI,0,inner_train,29,116,2302,8
A,0OC3wf9x3zQ,0,inner_train,11,44,2302,8
A,0OXeN3MhFeA,0,inner_train,7,28,2302,8
A,0bsTzavb-AE,0,inner_train,4,16,2302,8
A,0cBmQ_ItVUc,0,inner_train,11,44,2302,8
A,0hCOCt6fWas,0,inner_train,6,24,2302,8
A,0hCihQ5Kep0,0,inner_train,3,12,2302,8
A,0jtdrsmVzYQ,0,inner_train,2,8,2302,8
A,0nJrksJ7azM,0,inner_train,6,24,2302,8
A,0vXaXWx7Rvo,0,inner_train,6,24,2302,8
A,0zl_GDVzykw,0,inner_train,2,8,2302,8
A,102168,0,inner_train,5,20,2302,8
A,102184,0,inner_train,14,56,2302,8
A,106514,0,inner_train,18,72,2302,8
A,106941,0,inner_train,13,52,2302,8
A,107551,0,inner_train,15,60,2302,8
A,110754,0,inner_train,12,48,2302,8
A,112148,0,inner_train,14,56,2302,8
A,112169,0,inner_train,14,56,2302,8
A,112631,0,inner_train,10,40,2302,8
A,112903,0,inner_train,7,28,2302,8
A,114624,0,inner_train,14,56,2302,8
A,11650,0,inner_train,25,100,2302,8
A,119348,0,inner_train,13,52,2302,8
A,121358,0,inner_train,23,92,2302,8
A,122439,0,inner_train,10,40,2302,8
A,122602,0,inner_train,19,76,2302,8
A,122842,0,inner_train,13,52,2302,8
A,125845,0,inner_train,11,44,2302,8
A,126542,0,inner_train,18,72,2302,8
A,126831,0,inner_train,18,72,2302,8
A,127539,0,inner_train,10,40,2302,8
A,128258,0,inner_train,15,60,2302,8
A,128949,0,inner_train,9,36,2302,8
A,129733,0,inner_train,12,48,2302,8
A,131871,0,inner_train,9,36,2302,8
A,136205,0,inner_train,16,64,2302,8
A,136215,0,inner_train,15,60,2302,8
A,137827,0,inner_train,7,28,2302,8
A,139032,0,inner_train,18,72,2302,8
A,13JpsLvddoY,0,inner_train,4,16,2302,8
A,140293,0,inner_train,8,32,2302,8
A,140317,0,inner_train,13,52,2302,8
A,15837,0,inner_train,14,56,2302,8
A,186631,0,inner_train,13,52,2302,8
A,188122,0,inner_train,17,68,2302,8
A,189966,0,inner_train,26,104,2302,8
A,18JTkk8JbeU,0,inner_train,5,20,2302,8
A,190740,0,inner_train,15,60,2302,8
