direction,video_id,expert_fold,role,sample_count,meta_row_count,inner_split_seed,inner_split_modulo
B,-HwX2H8Z4hY,1,inner_train,10,40,2302,8
B,-WXXTNIJcVM,1,inner_train,5,20,2302,8
B,-aNfi7CP8vM,1,inner_train,2,8,2302,8
B,-aqamKhZ1Ec,1,inner_train,3,12,2302,8
B,-dxfTGcXJoc,1,inner_train,8,32,2302,8
B,-lzEya4AM_4,1,inner_train,5,20,2302,8
B,-mJ2ud6oKI8,1,inner_train,9,36,2302,8
B,-tANM6ETl_M,1,inner_train,3,12,2302,8
B,-vxjVxOeScU,1,inner_train,3,12,2302,8
B,-wMB_hJL-3o,1,inner_train,4,16,2302,8
B,07Z16yRBFUQ,1,inner_train,3,12,2302,8
B,0EphpADwdPg,1,inner_train,6,24,2302,8
B,0JuRmhhgMw8,1,inner_train,8,32,2302,8
B,0Svu5BldR5A,1,inner_train,2,8,2302,8
B,0W4WsjhDgUI,1,inner_train,1,4,2302,8
B,0Xs8wJrAmxs,1,inner_train,4,16,2302,8
B,0YdYFtVdlWE,1,inner_train,22,88,2302,8
B,0mXv97u2OCM,1,inner_train,2,8,2302,8
B,0p9XKC_J3hU,1,inner_train,1,4,2302,8
B,0rE8jEvQW_I,1,inner_train,9,36,2302,8
B,0tkWa2skSmA,1,inner_train,2,8,2302,8
B,100499,1,inner_train,7,28,2302,8
B,101851,1,inner_train,21,84,2302,8
B,10223,1,inner_train,10,40,2302,8
B,106077,1,inner_train,15,60,2302,8
B,110788,1,inner_train,7,28,2302,8
B,112604,1,inner_train,5,20,2302,8
B,113265,1,inner_train,10,40,2302,8
B,120vnZnmhq4,1,inner_train,1,4,2302,8
B,125708,1,inner_train,1,4,2302,8
B,125730,1,inner_train,16,64,2302,8
B,125895,1,inner_train,10,40,2302,8
B,128752,1,inner_train,17,68,2302,8
B,130149,1,inner_train,7,28,2302,8
B,130426,1,inner_train,9,36,2302,8
B,130633,1,inner_train,11,44,2302,8
B,131650,1,inner_train,11,44,2302,8
B,131936,1,inner_train,8,32,2302,8
B,134252,1,inner_train,10,40,2302,8
B,136211,1,inner_train,8,32,2302,8
B,139006,1,inner_train,13,52,2302,8
B,154449,1,inner_train,14,56,2302,8
B,15Wu4U2VPLw,1,inner_train,8,32,2302,8
B,180923,1,inner_train,15,60,2302,8
B,184784,1,inner_train,7,28,2302,8
B,18QjfdhJEM4,1,inner_train,19,76,2302,8
B,193291,1,inner_train,4,16,2302,8
B,19k6sEC7814,1,inner_train,6,24,2302,8
B,1CjUHNYzW1E,1,inner_train,6,24,2302,8
B,1F0qH0EEBfo,1,inner_train,25,100,2302,8
B,1J9Fa995Ojs,1,inner_train,1,4,2302,8
B,1W38PnuWIkM,1,inner_train,8,32,2302,8
B,1cyUKHOvdYY,1,inner_train,4,16,2302,8
B,1fqNb8cfLFE,1,inner_train,2,8,2302,8
B,1mHjMNZZvFo,1,inner_train,7,28,2302,8
B,1rVly2oeBJg,1,inner_train,1,4,2302,8
B,1tuMFJnlXJc,1,inner_train,11,44,2302,8
B,1x7kf9vArjU,1,inner_train,3,12,2302,8
B,2-4autDbHVQ,1,inner_train,20,80,2302,8
B,2-EJz4RG4g4,1,inner_train,1,4,2302,8
B,206507,1,inner_train,14,56,2302,8
B,206606,1,inner_train,11,44,2302,8
B,207812,1,inner_train,10,40,2302,8
B,208416,1,inner_train,17,68,2302,8
B,209354,1,inner_train,12,48,2302,8
B,209775,1,inner_train,11,44,2302,8
B,210618,1,inner_train,18,72,2302,8
B,214095,1,inner_train,15,60,2302,8
B,216007,1,inner_train,32,128,2302,8
B,21638,1,inner_train,7,28,2302,8
B,219310,1,inner_train,11,44,2302,8
B,220134,1,inner_train,27,108,2302,8
B,220200,1,inner_train,14,56,2302,8
B,223926,1,inner_train,9,36,2302,8
B,225343,1,inner_train,17,68,2302,8
B,225416,1,inner_train,17,68,2302,8
B,225768,1,inner_train,17,68,2302,8
B,227416,1,inner_train,13,52,2302,8
B,22880,1,inner_train,11,44,2302,8
B,230252,1,inner_train,15,60,2302,8
B,233356,1,inner_train,12,48,2302,8
B,236696,1,inner_train,16,64,2302,8
B,238023,1,inner_train,39,156,2302,8
B,238645,1,inner_train,24,96,2302,8
B,238889,1,inner_train,12,48,2302,8
B,23YlZoucbyM,1,inner_train,7,28,2302,8
B,241164,1,inner_train,13,52,2302,8
B,241172,1,inner_train,8,32,2302,8
B,243341,1,inner_train,37,148,2302,8
B,244261,1,inner_train,26,104,2302,8
B,244817,1,inner_train,10,40,2302,8
B,244829,1,inner_train,11,44,2302,8
B,244836,1,inner_train,11,44,2302,8
B,245243,1,inner_train,5,20,2302,8
B,245276,1,inner_train,17,68,2302,8
B,251646,1,inner_train,14,56,2302,8
B,251826,1,inner_train,10,40,2302,8
B,25522,1,inner_train,6,24,2302,8
B,255343,1,inner_train,13,52,2302,8
B,255852,1,inner_train,11,44,2302,8
