direction	space	distance	K	weighting	beta	config_id	spearman_local_risk_vs_error	spearman_local_regret_vs_regret	top1_accuracy	top2_coverage	soft_regret_KL	selection_score	delta_risk_spearman_vs_mode_only	delta_regret_spearman_vs_mode_only
A	C	standardized_euclidean	15	reciprocal_epsilon_1e-6		C__standardized_euclidean__K15__reciprocal_epsilon_1e-6	0.1211495631	0.0781504016	0.1903564899	0.3893967093	1.126798136	0.09964998237	0.1070366778	0.0619052204
A	D	standardized_euclidean	15	reciprocal_epsilon_1e-6		D__standardized_euclidean__K15__reciprocal_epsilon_1e-6	0.1323208448	0.2728040537	0.2563985375	0.3978519196	1.2034427	0.2025624492	0.1182079594	0.2565588725
A	H	standardized_euclidean	15	reciprocal_epsilon_1e-6	0.25	H__standardized_euclidean__K15__reciprocal_epsilon_1e-6__beta0p25	0.155872275	0.2849251374	0.2490859232	0.3905393053	1.13782871	0.2203987062	0.1417593897	0.2686799562
A	H	standardized_euclidean	15	reciprocal_epsilon_1e-6	0.5	H__standardized_euclidean__K15__reciprocal_epsilon_1e-6__beta0p5	0.171365897	0.2797556192	0.2422303473	0.4081352834	1.099941616	0.2255607581	0.1572530117	0.263510438
A	H	standardized_euclidean	15	reciprocal_epsilon_1e-6	0.75	H__standardized_euclidean__K15__reciprocal_epsilon_1e-6__beta0p75	0.170826966	0.2306285293	0.226691042	0.4074497258	1.072099159	0.2007277477	0.1567140806	0.2143833481
A	C	standardized_euclidean	15	exponential_query_neighbor_median_bandwidth		C__standardized_euclidean__K15__exponential_query_neighbor_median_bandwidth	0.1208371558	0.07884386463	0.1901279707	0.3893967093	1.122270798	0.0998405102	0.1067242704	0.06259868344
A	D	standardized_euclidean	15	exponential_query_neighbor_median_bandwidth		D__standardized_euclidean__K15__exponential_query_neighbor_median_bandwidth	0.138407672	0.2779044334	0.247714808	0.3914533821	1.169328501	0.2081560527	0.1242947866	0.2616592522
A	H	standardized_euclidean	15	exponential_query_neighbor_median_bandwidth	0.25	H__standardized_euclidean__K15__exponential_query_neighbor_median_bandwidth__beta0p25	0.155326112	0.2854793635	0.2486288848	0.3882541133	1.135603492	0.2204027377	0.1412132266	0.2692341823
A	H	standardized_euclidean	15	exponential_query_neighbor_median_bandwidth	0.5	H__standardized_euclidean__K15__exponential_query_neighbor_median_bandwidth__beta0p5	0.1711161705	0.2806561147	0.2422303473	0.4074497258	1.097559482	0.2258861426	0.1570032851	0.2644109335
A	H	standardized_euclidean	15	exponential_query_neighbor_median_bandwidth	0.75	H__standardized_euclidean__K15__exponential_query_neighbor_median_bandwidth__beta0p75	0.1707731905	0.2315925996	0.2262340037	0.4069926874	1.069002499	0.201182895	0.1566603051	0.2153474184
A	C	standardized_euclidean	30	reciprocal_epsilon_1e-6		C__standardized_euclidean__K30__reciprocal_epsilon_1e-6	0.1481559413	0.08021200932	0.1825868373	0.3825411335	1.003237906	0.1141839753	0.134043056	0.06396682812
A	D	standardized_euclidean	30	reciprocal_epsilon_1e-6		D__standardized_euclidean__K30__reciprocal_epsilon_1e-6	0.1501714043	0.2806509754	0.2269195612	0.3756855576	1.088642452	0.2154111898	0.1360585189	0.2644057942
A	H	standardized_euclidean	30	reciprocal_epsilon_1e-6	0.25	H__standardized_euclidean__K30__reciprocal_epsilon_1e-6__beta0p25	0.1734459231	0.2895746854	0.2150365631	0.3670018282	1.037692475	0.2315103042	0.1593330377	0.2733295042
A	H	standardized_euclidean	30	reciprocal_epsilon_1e-6	0.5	H__standardized_euclidean__K30__reciprocal_epsilon_1e-6__beta0p5	0.1894321527	0.2904194782	0.2287477148	0.3939670932	1.004670516	0.2399258154	0.1753192673	0.274174297
A	H	standardized_euclidean	30	reciprocal_epsilon_1e-6	0.75	H__standardized_euclidean__K30__reciprocal_epsilon_1e-6__beta0p75	0.1797042036	0.2601877346	0.2271480804	0.4136197441	0.9595230515	0.2199459691	0.1655913182	0.2439425534
A	C	standardized_euclidean	30	exponential_query_neighbor_median_bandwidth		C__standardized_euclidean__K30__exponential_query_neighbor_median_bandwidth	0.1478963085	0.08088585943	0.1828153565	0.3820840951	0.9981806403	0.114391084	0.1337834232	0.06464067823
A	D	standardized_euclidean	30	exponential_query_neighbor_median_bandwidth		D__standardized_euclidean__K30__exponential_query_neighbor_median_bandwidth	0.1567032275	0.2831723634	0.2061243144	0.3617458867	1.061295799	0.2199377955	0.1425903422	0.2669271822
A	H	standardized_euclidean	30	exponential_query_neighbor_median_bandwidth	0.25	H__standardized_euclidean__K30__exponential_query_neighbor_median_bandwidth__beta0p25	0.173004695	0.2902138263	0.2157221207	0.3674588665	1.034376138	0.2316092606	0.1588918096	0.2739686451
A	H	standardized_euclidean	30	exponential_query_neighbor_median_bandwidth	0.5	H__standardized_euclidean__K30__exponential_query_neighbor_median_bandwidth__beta0p5	0.1892438985	0.2914383588	0.2285191956	0.3941956124	1.001321487	0.2403411286	0.1751310132	0.2751931776
A	H	standardized_euclidean	30	exponential_query_neighbor_median_bandwidth	0.75	H__standardized_euclidean__K30__exponential_query_neighbor_median_bandwidth__beta0p75	0.1796150547	0.2613822223	0.2260054845	0.4124771481	0.9556619153	0.2204986385	0.1655021693	0.2451370411
A	C	standardized_euclidean	60	reciprocal_epsilon_1e-6		C__standardized_euclidean__K60__reciprocal_epsilon_1e-6	0.1618903429	0.09664097833	0.2017824497	0.393738574	0.9235788435	0.1292656606	0.1477774575	0.08039579713
A	D	standardized_euclidean	60	reciprocal_epsilon_1e-6		D__standardized_euclidean__K60__reciprocal_epsilon_1e-6	0.1555066919	0.2826278899	0.2015539305	0.3500914077	1.007179253	0.2190672909	0.1413938066	0.2663827087
A	H	standardized_euclidean	60	reciprocal_epsilon_1e-6	0.25	H__standardized_euclidean__K60__reciprocal_epsilon_1e-6__beta0p25	0.1686989347	0.2870633736	0.2031535649	0.3505484461	0.9698778344	0.2278811541	0.1545860493	0.2708181924
A	H	standardized_euclidean	60	reciprocal_epsilon_1e-6	0.5	H__standardized_euclidean__K60__reciprocal_epsilon_1e-6__beta0p5	0.1904303093	0.2903026969	0.2095521024	0.384369287	0.9431476264	0.2403665031	0.176317424	0.2740575157
A	H	standardized_euclidean	60	reciprocal_epsilon_1e-6	0.75	H__standardized_euclidean__K60__reciprocal_epsilon_1e-6__beta0p75	0.1936196014	0.2653712286	0.216179159	0.405393053	0.9124926448	0.229495415	0.179506716	0.2491260474
A	C	standardized_euclidean	60	exponential_query_neighbor_median_bandwidth		C__standardized_euclidean__K60__exponential_query_neighbor_median_bandwidth	0.1617548644	0.09735314816	0.2008683729	0.3932815356	0.9181615205	0.1295540063	0.147641979	0.08110796696
A	D	standardized_euclidean	60	exponential_query_neighbor_median_bandwidth		D__standardized_euclidean__K60__exponential_query_neighbor_median_bandwidth	0.158553941	0.282999887	0.1803016453	0.3299817185	0.9849891474	0.220776914	0.1444410556	0.2667547058
A	H	standardized_euclidean	60	exponential_query_neighbor_median_bandwidth	0.25	H__standardized_euclidean__K60__exponential_query_neighbor_median_bandwidth__beta0p25	0.1680812084	0.287782889	0.2036106033	0.3491773309	0.9656605852	0.2279320487	0.1539683231	0.2715377078
A	H	standardized_euclidean	60	exponential_query_neighbor_median_bandwidth	0.5	H__standardized_euclidean__K60__exponential_query_neighbor_median_bandwidth__beta0p5	0.1902895452	0.2915444077	0.2100091408	0.3816270567	0.9390064815	0.2409169764	0.1761766598	0.2752992265
A	H	standardized_euclidean	60	exponential_query_neighbor_median_bandwidth	0.75	H__standardized_euclidean__K60__exponential_query_neighbor_median_bandwidth__beta0p75	0.1936548177	0.2666410053	0.2166361974	0.405393053	0.908155443	0.2301479115	0.1795419323	0.2503958241
A	C	cosine	15	reciprocal_epsilon_1e-6		C__cosine__K15__reciprocal_epsilon_1e-6	0.1454941749	0.0729300829	0.1960694698	0.3932815356	1.133616607	0.1092121289	0.1313812895	0.0566849017
A	D	cosine	15	reciprocal_epsilon_1e-6		D__cosine__K15__reciprocal_epsilon_1e-6	0.1114927976	0.244592672	0.2938756856	0.4172760512	1.396662422	0.1780427348	0.09737991228	0.2283474908
A	H	cosine	15	reciprocal_epsilon_1e-6	0.25	H__cosine__K15__reciprocal_epsilon_1e-6__beta0p25	0.1839821592	0.2852423505	0.251142596	0.4035648995	1.115246513	0.2346122549	0.1698692739	0.2689971693
A	H	cosine	15	reciprocal_epsilon_1e-6	0.5	H__cosine__K15__reciprocal_epsilon_1e-6__beta0p5	0.1867994284	0.2691643997	0.2303473492	0.4156764168	1.109701104	0.227981914	0.1726865431	0.2529192185
A	H	cosine	15	reciprocal_epsilon_1e-6	0.75	H__cosine__K15__reciprocal_epsilon_1e-6__beta0p75	0.1944536101	0.2328176998	0.2257769653	0.4177330896	1.101163459	0.2136356549	0.1803407248	0.2165725186
A	C	cosine	15	exponential_query_neighbor_median_bandwidth		C__cosine__K15__exponential_query_neighbor_median_bandwidth	0.145321609	0.07376805019	0.1951553931	0.3932815356	1.126660721	0.1095448296	0.1312087236	0.05752286899
