direction	config_id	mode	expert_id	spearman_risk_error	spearman_regret
A	C__standardized_euclidean__K15__reciprocal_epsilon_1e-6	LAV	uniform_kd_seed1111	0.1257031646	0.0469991864
A	C__standardized_euclidean__K15__reciprocal_epsilon_1e-6	LAV	moddrop_seed1111	0.134969735	0.0943524797
A	C__standardized_euclidean__K15__reciprocal_epsilon_1e-6	LAV	moddrop_seed1114	0.07766062973	0.04737842207
A	C__standardized_euclidean__K15__reciprocal_epsilon_1e-6	LAV	cfcompat_seed1111	0.1364583962	0.08584345227
A	C__standardized_euclidean__K15__reciprocal_epsilon_1e-6	LAV	cfcompat_seed1114	0.07799323458	0.04707485943
A	C__standardized_euclidean__K15__reciprocal_epsilon_1e-6	LA	uniform_kd_seed1111	0.08532102598	-0.01680831385
A	C__standardized_euclidean__K15__reciprocal_epsilon_1e-6	LA	moddrop_seed1111	0.1316340083	0.1417543522
A	C__standardized_euclidean__K15__reciprocal_epsilon_1e-6	LA	moddrop_seed1114	0.1111825264	0.07308247256
A	C__standardized_euclidean__K15__reciprocal_epsilon_1e-6	LA	cfcompat_seed1111	0.1282170527	0.1282026271
A	C__standardized_euclidean__K15__reciprocal_epsilon_1e-6	LA	cfcompat_seed1114	0.1051131546	0.0898984923
A	C__standardized_euclidean__K15__reciprocal_epsilon_1e-6	LV	uniform_kd_seed1111	0.1588026491	0.05501867343
A	C__standardized_euclidean__K15__reciprocal_epsilon_1e-6	LV	moddrop_seed1111	0.1333045295	0.04141588277
A	C__standardized_euclidean__K15__reciprocal_epsilon_1e-6	LV	moddrop_seed1114	0.1181244188	0.07337453671
A	C__standardized_euclidean__K15__reciprocal_epsilon_1e-6	LV	cfcompat_seed1111	0.1505466692	0.1131943333
A	C__standardized_euclidean__K15__reciprocal_epsilon_1e-6	LV	cfcompat_seed1114	0.1196046391	0.05406012857
A	C__standardized_euclidean__K15__reciprocal_epsilon_1e-6	L	uniform_kd_seed1111	0.1301323251	0.03357182841
A	C__standardized_euclidean__K15__reciprocal_epsilon_1e-6	L	moddrop_seed1111	0.1438733479	0.1260465753
A	C__standardized_euclidean__K15__reciprocal_epsilon_1e-6	L	moddrop_seed1114	0.1050340715	0.07476894726
A	C__standardized_euclidean__K15__reciprocal_epsilon_1e-6	L	cfcompat_seed1111	0.1357427626	0.1265974391
A	C__standardized_euclidean__K15__reciprocal_epsilon_1e-6	L	cfcompat_seed1114	0.1162026604	0.1332962262
A	D__standardized_euclidean__K15__reciprocal_epsilon_1e-6	LAV	uniform_kd_seed1111	0.1181970326	0.2070374988
A	D__standardized_euclidean__K15__reciprocal_epsilon_1e-6	LAV	moddrop_seed1111	0.1503300375	0.306163417
A	D__standardized_euclidean__K15__reciprocal_epsilon_1e-6	LAV	moddrop_seed1114	0.1173310466	0.2918996064
A	D__standardized_euclidean__K15__reciprocal_epsilon_1e-6	LAV	cfcompat_seed1111	0.1402873067	0.3241469264
A	D__standardized_euclidean__K15__reciprocal_epsilon_1e-6	LAV	cfcompat_seed1114	0.0977249479	0.2401427237
A	D__standardized_euclidean__K15__reciprocal_epsilon_1e-6	LA	uniform_kd_seed1111	0.1288154317	0.1858484716
A	D__standardized_euclidean__K15__reciprocal_epsilon_1e-6	LA	moddrop_seed1111	0.1519521953	0.3035793466
A	D__standardized_euclidean__K15__reciprocal_epsilon_1e-6	LA	moddrop_seed1114	0.132442356	0.3062440268
A	D__standardized_euclidean__K15__reciprocal_epsilon_1e-6	LA	cfcompat_seed1111	0.1311018369	0.3103751532
A	D__standardized_euclidean__K15__reciprocal_epsilon_1e-6	LA	cfcompat_seed1114	0.1053289706	0.2622016871
A	D__standardized_euclidean__K15__reciprocal_epsilon_1e-6	LV	uniform_kd_seed1111	0.1124510183	0.213957118
A	D__standardized_euclidean__K15__reciprocal_epsilon_1e-6	LV	moddrop_seed1111	0.1365379479	0.2852301199
A	D__standardized_euclidean__K15__reciprocal_epsilon_1e-6	LV	moddrop_seed1114	0.1152249066	0.3025034682
A	D__standardized_euclidean__K15__reciprocal_epsilon_1e-6	LV	cfcompat_seed1111	0.1246279338	0.3229533777
A	D__standardized_euclidean__K15__reciprocal_epsilon_1e-6	LV	cfcompat_seed1114	0.09391515552	0.2450831417
A	D__standardized_euclidean__K15__reciprocal_epsilon_1e-6	L	uniform_kd_seed1111	0.1540343249	0.212236646
A	D__standardized_euclidean__K15__reciprocal_epsilon_1e-6	L	moddrop_seed1111	0.1732997629	0.2932316513
A	D__standardized_euclidean__K15__reciprocal_epsilon_1e-6	L	moddrop_seed1114	0.1521505355	0.3002817697
A	D__standardized_euclidean__K15__reciprocal_epsilon_1e-6	L	cfcompat_seed1111	0.1674023712	0.3203592837
A	D__standardized_euclidean__K15__reciprocal_epsilon_1e-6	L	cfcompat_seed1114	0.1340803799	0.2568861588
A	H__standardized_euclidean__K15__reciprocal_epsilon_1e-6__beta0p25	LAV	uniform_kd_seed1111	0.176109695	0.2246688144
A	H__standardized_euclidean__K15__reciprocal_epsilon_1e-6__beta0p25	LAV	moddrop_seed1111	0.1924538356	0.3267414204
A	H__standardized_euclidean__K15__reciprocal_epsilon_1e-6__beta0p25	LAV	moddrop_seed1114	0.1687240636	0.2990546404
A	H__standardized_euclidean__K15__reciprocal_epsilon_1e-6__beta0p25	LAV	cfcompat_seed1111	0.1893841029	0.3158009246
A	H__standardized_euclidean__K15__reciprocal_epsilon_1e-6__beta0p25	LAV	cfcompat_seed1114	0.1387500896	0.257391558
A	H__standardized_euclidean__K15__reciprocal_epsilon_1e-6__beta0p25	LA	uniform_kd_seed1111	0.1549616409	0.1985911568
A	H__standardized_euclidean__K15__reciprocal_epsilon_1e-6__beta0p25	LA	moddrop_seed1111	0.1733873319	0.3203339262
A	H__standardized_euclidean__K15__reciprocal_epsilon_1e-6__beta0p25	LA	moddrop_seed1114	0.1553286235	0.2922311426
A	H__standardized_euclidean__K15__reciprocal_epsilon_1e-6__beta0p25	LA	cfcompat_seed1111	0.1647794642	0.3113108767
A	H__standardized_euclidean__K15__reciprocal_epsilon_1e-6__beta0p25	LA	cfcompat_seed1114	0.1154679608	0.2796598606
A	H__standardized_euclidean__K15__reciprocal_epsilon_1e-6__beta0p25	LV	uniform_kd_seed1111	0.1534861222	0.2557864448
A	H__standardized_euclidean__K15__reciprocal_epsilon_1e-6__beta0p25	LV	moddrop_seed1111	0.1676928887	0.314322704
A	H__standardized_euclidean__K15__reciprocal_epsilon_1e-6__beta0p25	LV	moddrop_seed1114	0.1429891769	0.3147229961
A	H__standardized_euclidean__K15__reciprocal_epsilon_1e-6__beta0p25	LV	cfcompat_seed1111	0.1536219008	0.3432172192
A	H__standardized_euclidean__K15__reciprocal_epsilon_1e-6__beta0p25	LV	cfcompat_seed1114	0.1125619507	0.2761658297
A	H__standardized_euclidean__K15__reciprocal_epsilon_1e-6__beta0p25	L	uniform_kd_seed1111	0.1518601627	0.2125217813
A	H__standardized_euclidean__K15__reciprocal_epsilon_1e-6__beta0p25	L	moddrop_seed1111	0.1724457188	0.3206185102
A	H__standardized_euclidean__K15__reciprocal_epsilon_1e-6__beta0p25	L	moddrop_seed1114	0.1487942518	0.2820162324
A	H__standardized_euclidean__K15__reciprocal_epsilon_1e-6__beta0p25	L	cfcompat_seed1111	0.1586893539	0.3241452611
A	H__standardized_euclidean__K15__reciprocal_epsilon_1e-6__beta0p25	L	cfcompat_seed1114	0.1250556446	0.267752631
A	H__standardized_euclidean__K15__reciprocal_epsilon_1e-6__beta0p5	LAV	uniform_kd_seed1111	0.1857833537	0.2420335096
A	H__standardized_euclidean__K15__reciprocal_epsilon_1e-6__beta0p5	LAV	moddrop_seed1111	0.2123301167	0.3315636656
A	H__standardized_euclidean__K15__reciprocal_epsilon_1e-6__beta0p5	LAV	moddrop_seed1114	0.1917751076	0.3090430095
A	H__standardized_euclidean__K15__reciprocal_epsilon_1e-6__beta0p5	LAV	cfcompat_seed1111	0.1871030501	0.3085444518
A	H__standardized_euclidean__K15__reciprocal_epsilon_1e-6__beta0p5	LAV	cfcompat_seed1114	0.1635697287	0.2746940088
A	H__standardized_euclidean__K15__reciprocal_epsilon_1e-6__beta0p5	LA	uniform_kd_seed1111	0.1514361542	0.1755571536
A	H__standardized_euclidean__K15__reciprocal_epsilon_1e-6__beta0p5	LA	moddrop_seed1111	0.1737886555	0.3117165537
A	H__standardized_euclidean__K15__reciprocal_epsilon_1e-6__beta0p5	LA	moddrop_seed1114	0.1406633808	0.2884559534
A	H__standardized_euclidean__K15__reciprocal_epsilon_1e-6__beta0p5	LA	cfcompat_seed1111	0.1539901206	0.2816564877
A	H__standardized_euclidean__K15__reciprocal_epsilon_1e-6__beta0p5	LA	cfcompat_seed1114	0.1195771993	0.2776184989
A	H__standardized_euclidean__K15__reciprocal_epsilon_1e-6__beta0p5	LV	uniform_kd_seed1111	0.1808723021	0.2568330397
A	H__standardized_euclidean__K15__reciprocal_epsilon_1e-6__beta0p5	LV	moddrop_seed1111	0.1780285494	0.3319700953
A	H__standardized_euclidean__K15__reciprocal_epsilon_1e-6__beta0p5	LV	moddrop_seed1114	0.1707367395	0.3016965132
A	H__standardized_euclidean__K15__reciprocal_epsilon_1e-6__beta0p5	LV	cfcompat_seed1111	0.1708009399	0.329844437
A	H__standardized_euclidean__K15__reciprocal_epsilon_1e-6__beta0p5	LV	cfcompat_seed1114	0.139326656	0.2953351718
A	H__standardized_euclidean__K15__reciprocal_epsilon_1e-6__beta0p5	L	uniform_kd_seed1111	0.1883664118	0.1827295242
A	H__standardized_euclidean__K15__reciprocal_epsilon_1e-6__beta0p5	L	moddrop_seed1111	0.198268855	0.3094293781
A	H__standardized_euclidean__K15__reciprocal_epsilon_1e-6__beta0p5	L	moddrop_seed1114	0.1738360586	0.2576725957
A	H__standardized_euclidean__K15__reciprocal_epsilon_1e-6__beta0p5	L	cfcompat_seed1111	0.1922899778	0.3024719216
A	H__standardized_euclidean__K15__reciprocal_epsilon_1e-6__beta0p5	L	cfcompat_seed1114	0.1540087364	0.2595546867
A	H__standardized_euclidean__K15__reciprocal_epsilon_1e-6__beta0p75	LAV	uniform_kd_seed1111	0.1772831923	0.2101305225
A	H__standardized_euclidean__K15__reciprocal_epsilon_1e-6__beta0p75	LAV	moddrop_seed1111	0.1976752854	0.2660739397
A	H__standardized_euclidean__K15__reciprocal_epsilon_1e-6__beta0p75	LAV	moddrop_seed1114	0.1507384273	0.2200898038
A	H__standardized_euclidean__K15__reciprocal_epsilon_1e-6__beta0p75	LAV	cfcompat_seed1111	0.1725856838	0.2562146979
A	H__standardized_euclidean__K15__reciprocal_epsilon_1e-6__beta0p75	LAV	cfcompat_seed1114	0.1510952367	0.247067641
A	H__standardized_euclidean__K15__reciprocal_epsilon_1e-6__beta0p75	LA	uniform_kd_seed1111	0.1619262258	0.1350631245
A	H__standardized_euclidean__K15__reciprocal_epsilon_1e-6__beta0p75	LA	moddrop_seed1111	0.1926963216	0.2462441803
A	H__standardized_euclidean__K15__reciprocal_epsilon_1e-6__beta0p75	LA	moddrop_seed1114	0.1552224385	0.2452054987
A	H__standardized_euclidean__K15__reciprocal_epsilon_1e-6__beta0p75	LA	cfcompat_seed1111	0.1719689016	0.2372251621
A	H__standardized_euclidean__K15__reciprocal_epsilon_1e-6__beta0p75	LA	cfcompat_seed1114	0.1476498882	0.2318485865
