direction	method	spearman_local_risk_vs_error	spearman_local_regret_vs_regret	top1_accuracy	top2_coverage	soft_regret_KL
A	selected_true_neighborhood	0.1962430217	0.300725739	0.2025596613	0.3796830896	1.012146632
A	N0_random_same_mode_source__seed23401	-0.007255269858	-2.817882086e-06	0.1998011291	0.4012060559	0.9569765442
A	N0_random_same_mode_source__seed23402	-0.0016885722	-0.001199774236	0.2015973826	0.4000192456	0.9569100623
A	N0_random_same_mode_source__seed23403	-0.0146384211	0.004092733876	0.202046446	0.4039004362	0.9547539849
A	N1_shuffled_content__seed23411	0.162684679	0.2924624062	0.1994803695	0.3762830382	1.029614334
A	N1_shuffled_content__seed23412	0.1603400454	0.2905468181	0.1893764434	0.3681357454	1.025047175
A	N1_shuffled_content__seed23413	0.1598998751	0.294880447	0.19915961	0.3779830639	1.029883168
A	N4_decision_randomization__seed23421	0.08837121987	0.02706747303	0.1962727739	0.388792661	1.014612611
A	N4_decision_randomization__seed23422	0.04939354639	0.02284236637	0.1935783936	0.3919361047	1.011754901
A	N4_decision_randomization__seed23423	0.02604437916	0.03155334289	0.1838273031	0.387381319	0.9982289063
A	N2_global_competence	0.005700626943	-0.003060342389	0.195502951	0.385168078	0.8449913649
A	N3_mode_only_competence	0.00584980129	-0.00313735601	0.195502951	0.385168078	0.8450203759
B	selected_true_neighborhood	0.2474741359	0.2884244246	0.2153656821	0.4066162682	0.8776130295
B	N0_random_same_mode_source__seed23401	0.004886695586	0.00510910305	0.2031762775	0.4002285513	0.8757679137
B	N0_random_same_mode_source__seed23402	-0.006222484382	-0.004179001581	0.1998652133	0.398851383	0.8795617448
B	N0_random_same_mode_source__seed23403	-0.008758109754	-0.002118513762	0.1981950305	0.3965365682	0.8781084869
B	N1_shuffled_content__seed23411	0.2026104139	0.2840890628	0.2122011252	0.4072902016	0.8826602245
B	N1_shuffled_content__seed23412	0.2120656548	0.284291991	0.2145745429	0.4045944679	0.8830466284
B	N1_shuffled_content__seed23413	0.1915160643	0.2852002486	0.2173288795	0.4127695734	0.8796433592
B	N4_decision_randomization__seed23421	0.05468469747	0.07063858653	0.212640647	0.4195675105	0.8770344865
B	N4_decision_randomization__seed23422	0.06161850095	0.04999586533	0.2132559775	0.4142053446	0.8906321925
B	N4_decision_randomization__seed23423	0.1283926256	0.03606303177	0.1883497421	0.3827941866	0.8971381036
B	N2_global_competence	0.003270357448	0.01033231354	0.2119667135	0.4050339897	0.8097884742
B	N3_mode_only_competence	0.004414971301	0.009980478908	0.2008907642	0.4050339897	0.8098222556
