method	mode	MAE	Corr	Acc7	Acc5	Acc2	F1	J	direction
strong_static	LAV	0.5532460078	0.7412465058	0.5260456762	0.5422119579	0.8467663308	0.8463788161	0.5532460078	A
strong_static	LA	0.5551326452	0.7389993153	0.5245060303	0.5402874006	0.8456288593	0.8452127426	0.5551326452	A
strong_static	LV	0.5533229509	0.7411836052	0.5248909418	0.540672312	0.8461163471	0.8458956733	0.5533229509	A
strong_static	L	0.5551422593	0.739089115	0.5245060303	0.5401590967	0.8444913877	0.8442515525	0.5551422593	A
strong_static	Overall	0.5542109658	0.7401214146	0.5249871696	0.5408326918	0.8457507312	0.8454350656	0.5538893131	A
selected_local_dynamic	LAV	0.5525143439	0.7408475631	0.5304080062	0.5468308956	0.8492037699	0.8485232804	0.5525143439	A
selected_local_dynamic	LA	0.5559259541	0.7370535581	0.5265588915	0.5419553503	0.8474163146	0.8470810098	0.5559259541	A
selected_local_dynamic	LV	0.5533547738	0.7404859524	0.5292532717	0.5454195535	0.8500162496	0.849536407	0.5533547738	A
selected_local_dynamic	L	0.5561363922	0.738181036	0.527585322	0.5434949962	0.848878778	0.8486210961	0.5561363922	A
selected_local_dynamic	Overall	0.554482866	0.7391226727	0.5284513729	0.5444251989	0.848878778	0.8484419197	0.553826692	A
selected_safe_local	LAV	0.5528138572	0.7404886476	0.5279702335	0.5443931229	0.8469288268	0.8464132099	0.5528138572	A
selected_safe_local	LA	0.5557681805	0.7377569751	0.5260456762	0.5419553503	0.846278843	0.8458129525	0.5557681805	A
selected_safe_local	LV	0.5530011425	0.7398155857	0.5265588915	0.5424685656	0.846441339	0.8461543943	0.5530011425	A
selected_safe_local	L	0.5556073153	0.7377894728	0.5266871953	0.5423402617	0.8451413715	0.8448857348	0.5556073153	A
selected_safe_local	Overall	0.5542976239	0.7389515597	0.5268154991	0.5427893251	0.8461975951	0.845817164	0.553803035	A
common_fixed_safe	LAV	0.5540508706	0.739992372	0.5246343341	0.5408006159	0.846441339	0.8461207688	0.5540508706	A
common_fixed_safe	LA	0.5565476709	0.7376025288	0.5252758532	0.5413138312	0.8457913552	0.8454694281	0.5565476709	A
common_fixed_safe	LV	0.553590119	0.7409640377	0.5228380806	0.5386194509	0.8454663633	0.8452946766	0.553590119	A
common_fixed_safe	L	0.5567058254	0.737183013	0.5228380806	0.5388760585	0.8431914202	0.8430841362	0.5567058254	A
common_fixed_safe	Overall	0.5552236215	0.738928362	0.5238965871	0.5399024891	0.8452226194	0.8449922934	0.5548327045	A
drs__Local-DS	LAV	0.5596942676	0.7342153413	0.5248909418	0.5411855273	0.8474163146	0.8464668749	0.5596942676	A
drs__Local-DS	LA	0.5637750379	0.7297812638	0.521041827	0.5365665897	0.8469288268	0.8463785295	0.5637750379	A
drs__Local-DS	LV	0.5647557394	0.7291581935	0.5211701309	0.5377213241	0.8441663958	0.8435260827	0.5647557394	A
drs__Local-DS	L	0.5675415867	0.7259112767	0.5209135232	0.537079805	0.843678908	0.8433439861	0.5675415867	A
drs__Local-DS	Overall	0.5639416579	0.7297302149	0.5220041057	0.5381383115	0.8455476113	0.8449306891	0.5625258611	A
drs__Local-DW	LAV	0.5525143439	0.7408475631	0.5304080062	0.5468308956	0.8492037699	0.8485232804	0.5525143439	A
drs__Local-DW	LA	0.5559259541	0.7370535581	0.5265588915	0.5419553503	0.8474163146	0.8470810098	0.5559259541	A
drs__Local-DW	LV	0.5533547738	0.7404859524	0.5292532717	0.5454195535	0.8500162496	0.849536407	0.5533547738	A
drs__Local-DW	L	0.5561363922	0.738181036	0.527585322	0.5434949962	0.848878778	0.8486210961	0.5561363922	A
drs__Local-DW	Overall	0.554482866	0.7391226727	0.5284513729	0.5444251989	0.848878778	0.8484419197	0.553826692	A
drs__Local-DWS	LAV	0.5528676465	0.7403578146	0.5302797023	0.5467025917	0.849041274	0.8483513024	0.5528676465	A
drs__Local-DWS	LA	0.5563828987	0.7364913274	0.527585322	0.5431100847	0.8472538187	0.8468760002	0.5563828987	A
drs__Local-DWS	LV	0.5535685969	0.7402481582	0.529766487	0.5460610726	0.8501787455	0.8497078506	0.5535685969	A
drs__Local-DWS	L	0.55646938	0.7377362404	0.5270721067	0.5431100847	0.8492037699	0.8489466421	0.55646938	A
drs__Local-DWS	Overall	0.5548221305	0.7386885012	0.5286759045	0.5447459584	0.848919402	0.8484720961	0.5541706358	A
selected_coverage_10	LAV	0.5527348196	0.7405347516	0.5282268412	0.5446497306	0.8469288268	0.8464132099	0.5527348196	A
selected_coverage_10	LA	0.5557077009	0.7377954089	0.52617398	0.5420836541	0.8461163471	0.8456413294	0.5557077009	A
selected_coverage_10	LV	0.5530495164	0.7397783083	0.5265588915	0.5424685656	0.846441339	0.8461543943	0.5530495164	A
selected_coverage_10	L	0.5556893545	0.7377596294	0.5265588915	0.5422119579	0.8451413715	0.8448857348	0.5556893545	A
selected_coverage_10	Overall	0.5542953479	0.7389559023	0.526879651	0.542853477	0.8461569711	0.8457743095	0.5537751718	A
selected_coverage_20	LAV	0.5529220687	0.7402820866	0.5284834488	0.545034642	0.8466038349	0.8460871233	0.5529220687	A
selected_coverage_20	LA	0.5556819562	0.7373137846	0.5282268412	0.5440082114	0.8457913552	0.8453153343	0.5556819562	A
selected_coverage_20	LV	0.5528981723	0.7398975002	0.5272004106	0.5429817809	0.8472538187	0.8469433225	0.5528981723	A
selected_coverage_20	L	0.5564035693	0.7366560023	0.5264305876	0.5422119579	0.8448163796	0.8445263984	0.5564035693	A
selected_coverage_20	Overall	0.5544764416	0.7385254887	0.527585322	0.5435591481	0.8461163471	0.8457186514	0.5539583173	A
selected_coverage_30	LAV	0.5528571238	0.7403843194	0.5291249679	0.5455478573	0.8469288268	0.8464132099	0.5528571238	A
selected_coverage_30	LA	0.5559029499	0.7371385817	0.5286117526	0.5441365153	0.8461163471	0.8456240275	0.5559029499	A
selected_coverage_30	LV	0.5528522089	0.7402437216	0.5292532717	0.545034642	0.8470913227	0.8467721095	0.5528522089	A
selected_coverage_30	L	0.5566957726	0.7365676541	0.5277136259	0.5434949962	0.8449788755	0.8446976574	0.5566957726	A
selected_coverage_30	Overall	0.5545770138	0.7385712981	0.5286759045	0.5445535027	0.846278843	0.8458772991	0.5540037171	A
selected_coverage_50	LAV	0.5526738937	0.740780757	0.5292532717	0.5456761611	0.8475788105	0.84703085	0.5526738937	A
selected_coverage_50	LA	0.5561272598	0.7366903262	0.5282268412	0.5437516038	0.8457913552	0.8453326292	0.5561272598	A
selected_coverage_50	LV	0.5531810405	0.7397938286	0.527585322	0.5433666923	0.8477413065	0.847389939	0.5531810405	A
selected_coverage_50	L	0.5566086206	0.7367343144	0.5278419297	0.5436233	0.8449788755	0.8446807278	0.5566086206	A
selected_coverage_50	Overall	0.5546477036	0.7384861127	0.5282268412	0.5441044393	0.8465225869	0.8461088793	0.553989767	A
selected_coverage_100	LAV	0.5525143439	0.7408475631	0.5304080062	0.5468308956	0.8492037699	0.8485232804	0.5525143439	A
selected_coverage_100	LA	0.5559259541	0.7370535581	0.5265588915	0.5419553503	0.8474163146	0.8470810098	0.5559259541	A
selected_coverage_100	LV	0.5533547738	0.7404859524	0.5292532717	0.5454195535	0.8500162496	0.849536407	0.5533547738	A
selected_coverage_100	L	0.5561363922	0.738181036	0.527585322	0.5434949962	0.848878778	0.8486210961	0.5561363922	A
selected_coverage_100	Overall	0.554482866	0.7391226727	0.5284513729	0.5444251989	0.848878778	0.8484419197	0.553826692	A
control__N0_random_same_mode_source__seed23401	LAV	0.5531984206	0.7411972057	0.5266871953	0.542853477	0.8472538187	0.8468760002	0.5531984206	A
control__N0_random_same_mode_source__seed23401	LA	0.5556498746	0.7382410249	0.5236079035	0.5396458814	0.8456288593	0.8452640959	0.5556498746	A
control__N0_random_same_mode_source__seed23401	LV	0.5531826742	0.7410408911	0.5256607647	0.5415704388	0.8470913227	0.8468885543	0.5531826742	A
control__N0_random_same_mode_source__seed23401	L	0.5558165952	0.7388142949	0.5236079035	0.5396458814	0.843678908	0.843480036	0.5558165952	A
control__N0_random_same_mode_source__seed23401	Overall	0.5544618911	0.739815858	0.5248909418	0.5409289197	0.8459132272	0.8456273987	0.5540407343	A
control__N0_random_same_mode_source__seed23402	LAV	0.5534529149	0.741004029	0.5255324609	0.5418270464	0.8466038349	0.8462751797	0.5534529149	A
control__N0_random_same_mode_source__seed23402	LA	0.5554389743	0.7386025858	0.5236079035	0.5393892738	0.8446538837	0.8442696342	0.5554389743	A
control__N0_random_same_mode_source__seed23402	LV	0.5539647488	0.7407897335	0.5233512959	0.53926097	0.8461163471	0.8459288555	0.5539647488	A
control__N0_random_same_mode_source__seed23402	L	0.5553769224	0.7392268099	0.5256607647	0.5413138312	0.8448163796	0.8446605944	0.5553769224	A
control__N0_random_same_mode_source__seed23402	Overall	0.5545583901	0.7398968489	0.5245381062	0.5404477803	0.8455476113	0.8452842493	0.5541898983	A
control__N0_random_same_mode_source__seed23403	LAV	0.5532063405	0.7412184821	0.5256607647	0.5416987426	0.8467663308	0.8463957863	0.5532063405	A
control__N0_random_same_mode_source__seed23403	LA	0.5555892827	0.7385404703	0.5246343341	0.5404157044	0.846278843	0.8459325751	0.5555892827	A
control__N0_random_same_mode_source__seed23403	LV	0.5530686809	0.7415424692	0.5257890685	0.5415704388	0.8459538512	0.8457744392	0.5530686809	A
control__N0_random_same_mode_source__seed23403	L	0.5553368127	0.7387276139	0.5256607647	0.541442135	0.8444913877	0.8443186178	0.5553368127	A
