direction	control	J
A	control__N0_random_same_mode_source__seed23401	0.5540407343
A	control__N0_random_same_mode_source__seed23402	0.5541898983
A	control__N0_random_same_mode_source__seed23403	0.553935633
A	control__N1_shuffled_content__seed23411	0.5546695444
A	control__N1_shuffled_content__seed23412	0.5541543937
A	control__N1_shuffled_content__seed23413	0.5548786889
A	control__N4_decision_randomization__seed23421	0.5542645128
A	control__N4_decision_randomization__seed23422	0.5548599637
A	control__N4_decision_randomization__seed23423	0.5546679651
A	control__N2_global_competence	0.5538893131
A	control__N3_mode_only_competence	0.5538893131
B	control__N0_random_same_mode_source__seed23401	0.5552799409
B	control__N0_random_same_mode_source__seed23402	0.5554810354
B	control__N0_random_same_mode_source__seed23403	0.5553718664
B	control__N1_shuffled_content__seed23411	0.5555355253
B	control__N1_shuffled_content__seed23412	0.5556881959
B	control__N1_shuffled_content__seed23413	0.555330679
B	control__N4_decision_randomization__seed23421	0.5557904254
B	control__N4_decision_randomization__seed23422	0.5560224473
B	control__N4_decision_randomization__seed23423	0.5556568032
B	control__N2_global_competence	0.5550489381
B	control__N3_mode_only_competence	0.5550489381
