mode	query_start	queries	mean_nearest_distance	mean_kth_distance	mean_neighbor_sources	available_reference_sources	direction	role
LAV	0	512	0.1889746487	0.3149274588	30	1007	A	outer_evaluation
LAV	512	512	0.1837902814	0.3076840043	30	1007	A	outer_evaluation
LAV	1024	512	0.1878784597	0.3121519089	30	1007	A	outer_evaluation
LAV	1536	512	0.1811310351	0.3039015532	30	1007	A	outer_evaluation
LAV	2048	512	0.1922475398	0.3175697327	30	1007	A	outer_evaluation
LAV	2560	512	0.1861007065	0.3096364737	30	1007	A	outer_evaluation
LAV	3072	512	0.1896496564	0.3138262928	30	1007	A	outer_evaluation
LAV	3584	512	0.191065222	0.3162209988	30	1007	A	outer_evaluation
LAV	4096	512	0.192341134	0.3176350892	30	1007	A	outer_evaluation
LAV	4608	512	0.1885799468	0.3126417994	30	1007	A	outer_evaluation
LAV	5120	512	0.1917761713	0.3160389364	30	1007	A	outer_evaluation
LAV	5632	512	0.1878300905	0.312318027	30	1007	A	outer_evaluation
LAV	6144	512	0.1900531501	0.3162297606	30	1007	A	outer_evaluation
LAV	6656	512	0.1918892115	0.3159681559	30	1007	A	outer_evaluation
LAV	7168	512	0.1890903115	0.3101299405	30	1007	A	outer_evaluation
LAV	7680	114	0.1882030815	0.3099158704	30	1007	A	outer_evaluation
LA	0	512	0.1726719141	0.3066320419	30	1007	A	outer_evaluation
LA	512	512	0.1697387993	0.2993603945	30	1007	A	outer_evaluation
LA	1024	512	0.1730130315	0.3022184968	30	1007	A	outer_evaluation
LA	1536	512	0.1668868661	0.296661526	30	1007	A	outer_evaluation
LA	2048	512	0.1769918501	0.3131693602	30	1007	A	outer_evaluation
LA	2560	512	0.1709400862	0.3016444445	30	1007	A	outer_evaluation
LA	3072	512	0.1737716198	0.3072847724	30	1007	A	outer_evaluation
LA	3584	512	0.1781774312	0.3100012541	30	1007	A	outer_evaluation
LA	4096	512	0.1794181764	0.3126795292	30	1007	A	outer_evaluation
LA	4608	512	0.1753844917	0.3075717688	30	1007	A	outer_evaluation
LA	5120	512	0.1768071949	0.3095676899	30	1007	A	outer_evaluation
LA	5632	512	0.1755827069	0.3063529432	30	1007	A	outer_evaluation
LA	6144	512	0.1783813238	0.3100290596	30	1007	A	outer_evaluation
LA	6656	512	0.1757762134	0.3097079396	30	1007	A	outer_evaluation
LA	7168	512	0.172542721	0.3041555882	30	1007	A	outer_evaluation
LA	7680	114	0.1818614155	0.3042999804	30	1007	A	outer_evaluation
LV	0	512	0.1772339791	0.3078796864	30	1007	A	outer_evaluation
LV	512	512	0.1712109894	0.3010360599	30	1007	A	outer_evaluation
LV	1024	512	0.1756437272	0.3054774106	30	1007	A	outer_evaluation
LV	1536	512	0.1708049476	0.298050344	30	1007	A	outer_evaluation
LV	2048	512	0.1846877038	0.3138561845	30	1007	A	outer_evaluation
LV	2560	512	0.1749439836	0.3022193611	30	1007	A	outer_evaluation
LV	3072	512	0.1778276712	0.3091326356	30	1007	A	outer_evaluation
LV	3584	512	0.1808381379	0.3116623461	30	1007	A	outer_evaluation
LV	4096	512	0.1827147603	0.3131946921	30	1007	A	outer_evaluation
LV	4608	512	0.180958569	0.308791101	30	1007	A	outer_evaluation
LV	5120	512	0.1822728664	0.3119691014	30	1007	A	outer_evaluation
LV	5632	512	0.1811926216	0.3070931733	30	1007	A	outer_evaluation
LV	6144	512	0.1806016266	0.3105770648	30	1007	A	outer_evaluation
LV	6656	512	0.1843129396	0.3123263717	30	1007	A	outer_evaluation
LV	7168	512	0.176358521	0.3063349128	30	1007	A	outer_evaluation
LV	7680	114	0.1802670807	0.3099036217	30	1007	A	outer_evaluation
L	0	512	0.1543194354	0.2954270542	30	1007	A	outer_evaluation
L	512	512	0.1508320421	0.2845702767	30	1007	A	outer_evaluation
L	1024	512	0.1543889046	0.2897980809	30	1007	A	outer_evaluation
L	1536	512	0.151950866	0.2844699025	30	1007	A	outer_evaluation
L	2048	512	0.1658533812	0.3047617078	30	1007	A	outer_evaluation
L	2560	512	0.1526786983	0.2880072594	30	1007	A	outer_evaluation
L	3072	512	0.1608843803	0.2990580499	30	1007	A	outer_evaluation
L	3584	512	0.1625861377	0.3030903339	30	1007	A	outer_evaluation
L	4096	512	0.1659788489	0.3057251573	30	1007	A	outer_evaluation
L	4608	512	0.163284421	0.3000887632	30	1007	A	outer_evaluation
L	5120	512	0.162749216	0.3024563193	30	1007	A	outer_evaluation
L	5632	512	0.1607622206	0.2991575301	30	1007	A	outer_evaluation
L	6144	512	0.1607288271	0.3001549542	30	1007	A	outer_evaluation
L	6656	512	0.1623797864	0.3027445972	30	1007	A	outer_evaluation
L	7168	512	0.1588571072	0.2978308201	30	1007	A	outer_evaluation
L	7680	114	0.1729643345	0.3010951579	30	1007	A	outer_evaluation
LAV	0	512	0.5167912245	0.7176860571	60	980	B	outer_evaluation
LAV	512	512	0.5207437277	0.7346459031	60	980	B	outer_evaluation
LAV	1024	512	0.5203440785	0.7316869497	60	980	B	outer_evaluation
LAV	1536	512	0.5301350355	0.7592074871	60	980	B	outer_evaluation
LAV	2048	512	0.5183819532	0.726282835	60	980	B	outer_evaluation
LAV	2560	512	0.5085057616	0.7066786289	60	980	B	outer_evaluation
LAV	3072	512	0.5044261813	0.7002413869	60	980	B	outer_evaluation
LAV	3584	512	0.5219208002	0.7387827635	60	980	B	outer_evaluation
LAV	4096	512	0.4982048571	0.6832787395	60	980	B	outer_evaluation
LAV	4608	512	0.4970555305	0.6783940792	60	980	B	outer_evaluation
LAV	5120	512	0.4942382872	0.6796988845	60	980	B	outer_evaluation
LAV	5632	512	0.5076867342	0.6979385018	60	980	B	outer_evaluation
LAV	6144	512	0.5107656121	0.7016944885	60	980	B	outer_evaluation
LAV	6656	512	0.4960203171	0.6806578636	60	980	B	outer_evaluation
LAV	7168	512	0.4964266419	0.6804484129	60	980	B	outer_evaluation
LAV	7680	512	0.4956383705	0.682040453	60	980	B	outer_evaluation
LAV	8192	340	0.4962292016	0.6803907752	60	980	B	outer_evaluation
LA	0	512	0.5068283677	0.7211638689	60	980	B	outer_evaluation
LA	512	512	0.5069033504	0.7363651395	60	980	B	outer_evaluation
LA	1024	512	0.5095827579	0.7338209748	60	980	B	outer_evaluation
LA	1536	512	0.5293904543	0.767504096	60	980	B	outer_evaluation
LA	2048	512	0.5049042702	0.7238131762	60	980	B	outer_evaluation
LA	2560	512	0.4883544147	0.6969513893	60	980	B	outer_evaluation
LA	3072	512	0.4886912405	0.6925392151	60	980	B	outer_evaluation
LA	3584	512	0.5145604014	0.7426451445	60	980	B	outer_evaluation
LA	4096	512	0.4778601229	0.6708705425	60	980	B	outer_evaluation
LA	4608	512	0.4781576693	0.6641187072	60	980	B	outer_evaluation
LA	5120	512	0.4798256755	0.6692634821	60	980	B	outer_evaluation
LA	5632	512	0.4907929301	0.6905465126	60	980	B	outer_evaluation
LA	6144	512	0.4921735525	0.6940892339	60	980	B	outer_evaluation
LA	6656	512	0.4771948457	0.6679721475	60	980	B	outer_evaluation
LA	7168	512	0.480281353	0.6669566631	60	980	B	outer_evaluation
LA	7680	512	0.4793743789	0.6710512042	60	980	B	outer_evaluation
LA	8192	340	0.4844110906	0.6685577631	60	980	B	outer_evaluation
LV	0	512	0.4919402897	0.6986573935	60	980	B	outer_evaluation
LV	512	512	0.5057398081	0.7223847508	60	980	B	outer_evaluation
LV	1024	512	0.5009992123	0.7210940719	60	980	B	outer_evaluation
LV	1536	512	0.5105128288	0.7430596352	60	980	B	outer_evaluation
LV	2048	512	0.5030446649	0.7166993618	60	980	B	outer_evaluation
LV	2560	512	0.4985463619	0.705811739	60	980	B	outer_evaluation
LV	3072	512	0.4919233322	0.6947284937	60	980	B	outer_evaluation
LV	3584	512	0.487233758	0.6972357035	60	980	B	outer_evaluation
LV	4096	512	0.4839241803	0.6772203445	60	980	B	outer_evaluation
LV	4608	512	0.4860824347	0.6758880615	60	980	B	outer_evaluation
LV	5120	512	0.4836301208	0.6740351915	60	980	B	outer_evaluation
LV	5632	512	0.4890530705	0.6830239892	60	980	B	outer_evaluation
LV	6144	512	0.4795956612	0.6700328588	60	980	B	outer_evaluation
LV	6656	512	0.4882380366	0.6811568737	60	980	B	outer_evaluation
LV	7168	512	0.4891054928	0.6823102832	60	980	B	outer_evaluation
LV	7680	512	0.4809205532	0.6685525775	60	980	B	outer_evaluation
LV	8192	340	0.4845534265	0.670879066	60	980	B	outer_evaluation
L	0	512	0.4696940184	0.6901531219	60	980	B	outer_evaluation
L	512	512	0.4808264375	0.7150582075	60	980	B	outer_evaluation
L	1024	512	0.480101794	0.7174685001	60	980	B	outer_evaluation
L	1536	512	0.4947656393	0.7462129593	60	980	B	outer_evaluation
L	2048	512	0.4800340533	0.7097295523	60	980	B	outer_evaluation
L	2560	512	0.4710853398	0.6900062561	60	980	B	outer_evaluation
L	3072	512	0.4668844342	0.6831829548	60	980	B	outer_evaluation
L	3584	512	0.4634975195	0.6878428459	60	980	B	outer_evaluation
L	4096	512	0.4595831037	0.657143116	60	980	B	outer_evaluation
L	4608	512	0.4582387209	0.6530869007	60	980	B	outer_evaluation
L	5120	512	0.4610194862	0.6610043049	60	980	B	outer_evaluation
L	5632	512	0.4669225812	0.6673387289	60	980	B	outer_evaluation
L	6144	512	0.4556547999	0.653547883	60	980	B	outer_evaluation
L	6656	512	0.4664928019	0.6641516685	60	980	B	outer_evaluation
L	7168	512	0.463686198	0.6629385352	60	980	B	outer_evaluation
L	7680	512	0.452542901	0.6481329799	60	980	B	outer_evaluation
L	8192	340	0.4578388929	0.6527636647	60	980	B	outer_evaluation
