direction	coverage	J	triggered_true_gain_mean	untriggered_counterfactual_gain_mean	wrong_trigger_fraction	fallback_rate	Corr	Acc7	Acc5	Acc2	F1	LAV_MAE	LA_MAE	LV_MAE	L_MAE
A	0.1	0.5537751718	-0.0008437127412	-0.0002083564394	0.4955099423	0.8999871696	0.7389559023	0.526879651	0.542853477	0.8461569711	0.8457743095	0.5527348196	0.5557077009	0.5530495164	0.5556893545
A	0.2	0.5539583173	-0.001327421792	-8.030408966e-06	0.4994386528	0.8000064152	0.7385254887	0.527585322	0.5435591481	0.8461163471	0.8457186514	0.5529220687	0.5556819562	0.5528981723	0.5564035693
A	0.3	0.5540037171	-0.001220133922	0.0001344980648	0.5006949642	0.6999935848	0.7385712981	0.5286759045	0.5445535027	0.846278843	0.8458772991	0.5528571238	0.5559029499	0.5528522089	0.5566957726
A	0.5	0.553989767	-0.0008734757419	0.000329675299	0.5037208109	0.5	0.7384861127	0.5282268412	0.5441044393	0.8465225869	0.8461088793	0.5526738937	0.5561272598	0.5531810405	0.5566086206
A	1	0.553826692	-0.0002719002214		0.5053566846	0	0.7391226727	0.5284513729	0.5444251989	0.848878778	0.8484419197	0.5525143439	0.5559259541	0.5533547738	0.5561363922
B	0.1	0.5549264953	0.000652104715	-0.0004637039675	0.4843246411	0.8999941397	0.7581073141	0.5221812002	0.5454465541	0.8452578408	0.8447741036	0.554348275	0.5556202765	0.5541392112	0.5567546591
B	0.2	0.5548771013	-8.853045447e-05	-0.0004180179139	0.4909170817	0.7999882794	0.757975794	0.5223863104	0.5456516643	0.8451447527	0.8446434044	0.5540342501	0.5557335459	0.5543491257	0.5570771857
B	0.3	0.5549523935	-0.0003724462664	-0.0003434043154	0.4963860129	0.7000117206	0.7579312363	0.5221812002	0.5454758556	0.8451447527	0.8446213475	0.5540720821	0.5559558655	0.5543533982	0.5571888511
B	0.5	0.5549059054	-0.0001658365925	-0.000538396528	0.4986521331	0.5	0.7580005908	0.5214193624	0.5447726207	0.8450693607	0.8445298746	0.5539902401	0.5556588108	0.5547240887	0.5570818125
B	1	0.5551790054	-0.0003521165603		0.4963959212	0	0.7572479623	0.5218002813	0.5450656353	0.8473311218	0.8465461497	0.5542711435	0.5558091825	0.5551019938	0.5573494254
