neighbor_video_id	neighbor_uses	queries_reached	share_of_neighbor_slots	direction	role
266396	7375	7375	0.00788533915	A	outer_evaluation
24xayGF5yYA	6608	6608	0.007065263878	A	outer_evaluation
39lcRCFvV-s	6577	6577	0.007032118724	A	outer_evaluation
L0WUuWYNeCo	6144	6144	0.006569155761	A	outer_evaluation
270628	5439	5439	0.005815370798	A	outer_evaluation
uYzZB4ccG1Q	4893	4893	0.005231588401	A	outer_evaluation
268836	4657	4657	0.004979257549	A	outer_evaluation
hyazktfsZew	4626	4626	0.004946112394	A	outer_evaluation
4hEWns7JBg0	4585	4585	0.004902275254	A	outer_evaluation
139032	4363	4363	0.004664913181	A	outer_evaluation
11650	4343	4343	0.004643529211	A	outer_evaluation
234053	4299	4299	0.004596484475	A	outer_evaluation
40260	4170	4170	0.004458557865	A	outer_evaluation
227426	4105	4105	0.004389059961	A	outer_evaluation
220548	3952	3952	0.004225472586	A	outer_evaluation
F59hwsm4Ld0	3889	3889	0.004158113078	A	outer_evaluation
SGsiGz2fdpo	3867	3867	0.004134590711	A	outer_evaluation
LUKIYWa0UGA	3786	3786	0.00404798563	A	outer_evaluation
276217	3778	3778	0.004039432042	A	outer_evaluation
188122	3739	3739	0.003997733299	A	outer_evaluation
E0g6nae4Ae4	3679	3679	0.003933581387	A	outer_evaluation
faXGVcVcVsE	3650	3650	0.00390257463	A	outer_evaluation
XyBU_gZtU0M	3601	3601	0.003850183902	A	outer_evaluation
7UlSX-syPeo	3594	3594	0.003842699512	A	outer_evaluation
PohW-isYMK0	3534	3534	0.003778547601	A	outer_evaluation
266366	3522	3522	0.003765717218	A	outer_evaluation
273237	3491	3491	0.003732572064	A	outer_evaluation
247382	3458	3458	0.003697288513	A	outer_evaluation
298736	3449	3449	0.003687665726	A	outer_evaluation
262226	3380	3380	0.003613891027	A	outer_evaluation
34346	3365	3365	0.003597853049	A	outer_evaluation
65kkuNV921k	3328	3328	0.003558292704	A	outer_evaluation
MroQfGehC84	3324	3324	0.00355401591	A	outer_evaluation
XXvSLz8QmGk	3151	3151	0.003369044564	A	outer_evaluation
JF-5nlUNx_g	3131	3131	0.003347660594	A	outer_evaluation
0FA32bEZ6xI	3131	3131	0.003347660594	A	outer_evaluation
261902	3126	3126	0.003342314601	A	outer_evaluation
xnNZyfhusAk	3111	3111	0.003326276623	A	outer_evaluation
OKSx1zxHGpQ	3077	3077	0.003289923873	A	outer_evaluation
122602	3064	3064	0.003276024292	A	outer_evaluation
256935	3057	3057	0.003268539902	A	outer_evaluation
pFh-SLxltms	3056	3056	0.003267470704	A	outer_evaluation
nw6Kf3AtCz4	3037	3037	0.003247155932	A	outer_evaluation
mjQfQx2K__8	2990	2990	0.003196903601	A	outer_evaluation
30763	2951	2951	0.003155204858	A	outer_evaluation
238060	2942	2942	0.003145582072	A	outer_evaluation
114624	2938	2938	0.003141305278	A	outer_evaluation
125845	2936	2936	0.003139166881	A	outer_evaluation
5XX0csik6VQ	2936	2936	0.003139166881	A	outer_evaluation
189966	2902	2902	0.003102814131	A	outer_evaluation
JzydLJw6y6o	2893	2893	0.003093191344	A	outer_evaluation
267278	2880	2880	0.003079291763	A	outer_evaluation
zwTrXwi54us	2878	2878	0.003077153366	A	outer_evaluation
244180	2807	2807	0.00300124027	A	outer_evaluation
255226	2806	2806	0.003000171072	A	outer_evaluation
bUFAN2TgPaU	2786	2786	0.002978787101	A	outer_evaluation
Bg-PA5KTjNs	2775	2775	0.002967025917	A	outer_evaluation
89787	2774	2774	0.002965956719	A	outer_evaluation
272375	2771	2771	0.002962749123	A	outer_evaluation
46604	2765	2765	0.002956333932	A	outer_evaluation
8u5aet7s9_w	2745	2745	0.002934949962	A	outer_evaluation
_8pvMpMdGM4	2735	2735	0.002924257976	A	outer_evaluation
d0QNH2vcDgU	2728	2728	0.002916773587	A	outer_evaluation
uXYAfpQUYVE	2727	2727	0.002915704388	A	outer_evaluation
aFjMWlR1QAY	2714	2714	0.002901804807	A	outer_evaluation
r1erb5PSm1A	2709	2709	0.002896458814	A	outer_evaluation
112148	2681	2681	0.002866521256	A	outer_evaluation
gEgcpVY8WK4	2653	2653	0.002836583697	A	outer_evaluation
SYnygYs-fAg	2630	2630	0.002811992131	A	outer_evaluation
244623	2611	2611	0.002791677359	A	outer_evaluation
238100	2599	2599	0.002778846976	A	outer_evaluation
xaSf1d13WoY	2587	2587	0.002766016594	A	outer_evaluation
273171	2586	2586	0.002764947395	A	outer_evaluation
50453	2577	2577	0.002755324609	A	outer_evaluation
102184	2538	2538	0.002713625866	A	outer_evaluation
-egA8-b7-3M	2533	2533	0.002708279873	A	outer_evaluation
70420	2494	2494	0.002666581131	A	outer_evaluation
8xfW_azeNPk	2493	2493	0.002665511932	A	outer_evaluation
257771	2481	2481	0.00265268155	A	outer_evaluation
omBcvw7izuM	2481	2481	0.00265268155	A	outer_evaluation
270416	2460	2460	0.002630228381	A	outer_evaluation
gZDyk95Xob4	2440	2440	0.00260884441	A	outer_evaluation
84176	2418	2418	0.002585322043	A	outer_evaluation
73449	2377	2377	0.002541484903	A	outer_evaluation
216857	2362	2362	0.002525446925	A	outer_evaluation
kCQqLNiO0mk	2356	2356	0.002519031734	A	outer_evaluation
267255	2349	2349	0.002511547344	A	outer_evaluation
n4xRx0J3rYQ	2345	2345	0.00250727055	A	outer_evaluation
Zs8x712Y-CM	2343	2343	0.002505132153	A	outer_evaluation
45186	2339	2339	0.002500855359	A	outer_evaluation
bBJ0BxmIocQ	2321	2321	0.002481609785	A	outer_evaluation
OAV6KKf60bQ	2320	2320	0.002480540587	A	outer_evaluation
lpF-yBYou0s	2272	2272	0.002429219057	A	outer_evaluation
47472	2270	2270	0.00242708066	A	outer_evaluation
59333	2246	2246	0.002401419896	A	outer_evaluation
qJZlp9uxoTU	2242	2242	0.002397143102	A	outer_evaluation
267799	2237	2237	0.002391797109	A	outer_evaluation
YfxtwXXkCmc	2226	2226	0.002380035925	A	outer_evaluation
GSnt_fW8qjI	2226	2226	0.002380035925	A	outer_evaluation
hlBOP5NskhM	2216	2216	0.00236934394	A	outer_evaluation
79935	2216	2216	0.00236934394	A	outer_evaluation
BBoe8-HWPSw	2213	2213	0.002366136344	A	outer_evaluation
106514	2212	2212	0.002365067146	A	outer_evaluation
229967	2196	2196	0.002347959969	A	outer_evaluation
107551	2192	2192	0.002343683175	A	outer_evaluation
caLWajc18Y4	2188	2188	0.002339406381	A	outer_evaluation
202990	2185	2185	0.002336198785	A	outer_evaluation
pf-78LF4ORE	2177	2177	0.002327645197	A	outer_evaluation
Dws8ZrzF7xQ	2176	2176	0.002326575999	A	outer_evaluation
250430	2136	2136	0.002283808057	A	outer_evaluation
Gljee9uq_Rc	2134	2134	0.00228166966	A	outer_evaluation
2YwgSmmLibs	2115	2115	0.002261354888	A	outer_evaluation
