expert_id	mode	train_samples	outer_samples	scalar_summary_dimensions	accuracy	AUROC	chance_AUROC	raw_PCA_coordinates_used	source_roles_disjoint
uniform_kd_seed1111	LAV	11297	2827	177	0.9996462681	0.9999365051	0.5	False	True
uniform_kd_seed1111	LA	11297	2827	128	0.9996462681	0.9993464052	0.5	False	True
uniform_kd_seed1111	LV	11297	2827	128	0.9996462681	0.9993635388	0.5	False	True
uniform_kd_seed1111	L	11297	2827	82	0.9989388044	0.9993428777	0.5	False	True
moddrop_seed1111	LAV	11297	2827	177	0.9996462681	1	0.5	False	True
moddrop_seed1111	LA	11297	2827	128	0.9996462681	0.9999979843	0.5	False	True
moddrop_seed1111	LV	11297	2827	128	0.9996462681	0.9999989921	0.5	False	True
moddrop_seed1111	L	11297	2827	82	0.9996462681	0.9993993177	0.5	False	True
moddrop_seed1114	LAV	11297	2827	177	1	1	0.5	False	True
moddrop_seed1114	LA	11297	2827	128	0.9992925363	1	0.5	False	True
moddrop_seed1114	LV	11297	2827	128	0.9978776088	0.9999697643	0.5	False	True
moddrop_seed1114	L	11297	2827	82	1	1	0.5	False	True
cfcompat_seed1111	LAV	11297	2827	177	1	1	0.5	False	True
cfcompat_seed1111	LA	11297	2827	128	1	1	0.5	False	True
cfcompat_seed1111	LV	11297	2827	128	1	1	0.5	False	True
cfcompat_seed1111	L	11297	2827	82	0.9996462681	1	0.5	False	True
cfcompat_seed1114	LAV	11297	2827	177	1	1	0.5	False	True
cfcompat_seed1114	LA	11297	2827	128	1	1	0.5	False	True
cfcompat_seed1114	LV	11297	2827	128	1	1	0.5	False	True
cfcompat_seed1114	L	11297	2827	82	1	1	0.5	False	True
