checkpoint_fold	expert_id	mode	model	Error_Spearman	Error_Pearson	Risk_MAE	Risk_RMSE	bad20_AUROC	bad20_AUPRC	bad20_Brier	bad20_ECE	bad10_AUROC	fixed_bad_AUROC	fixed_bad_AUPRC	confident_wrong_AUROC	confident_wrong_AUPRC	confident_wrong_recall_at_precision_0p8
0	uniform_kd_seed1111	LAV	R0_global	0	0	0.3731612183	0.5043577219	0.5	0.1954248366	0.157254902	0.004575163399	0.5	0.5	0.1614379085			
0	uniform_kd_seed1111	LAV	R0_mode	0	0	0.3730548259	0.5043588026	0.5	0.1954248366	0.157254902	0.004575163399	0.5	0.5	0.1614379085			
0	uniform_kd_seed1111	LAV	R1	0.1722455247	0.1311766473	0.3605020794	0.5394904033	0.6374647145	0.2948892081	0.1514838113	0.01463099352	0.6517806824	0.6296430115	0.2489782722	0.8262695297	0.08644213734	0
0	uniform_kd_seed1111	LAV	R2	0.2230772443	0.2281592362	0.3564700153	0.5316854651	0.6574908509	0.3177114231	0.1493994392	0.01842830372	0.6840074565	0.6496476818	0.263706274	0.8881781642	0.1438365166	0
0	uniform_kd_seed1111	LAV	N3_output_only	0.1722455247	0.1311766473	0.3605020794	0.5394904033	0.6374647145	0.2948892081	0.1514838113	0.01463099352	0.6517806824	0.6296430115	0.2489782722	0.8262695297	0.08644213734	0
0	uniform_kd_seed1111	LAV	N2_length_mask_only	0.009960854179	0.04668457554	0.3672730707	0.5497641765	0.5092930945	0.2065705735	0.2475028881	0.2987005121	0.5232854294	0.508734589	0.1759620359	0.528651413	0.02820480599	0
0	uniform_kd_seed1111	LAV	N5_label_bin_prior	0.1588965255	0.1197264875	0.360873344	0.540603852	0.5897399672	0.2297789313	0.2484666625	0.3044749188	0.6177060303	0.5900864939	0.1915448506	0.7212430209	0.05529283801	0
0	uniform_kd_seed1111	LAV	N1_matched_gaussian	0.01631637431	0.01795801757	0.3708059456	0.5513011529	0.5070598176	0.2176110108	0.2552667906	0.2902774435	0.5284497334	0.522349251	0.1882106373	0.4582662142	0.02562869716	0
0	uniform_kd_seed1111	LAV	N0_shuffle_seed23071	0.02124578266	0.01403375885	0.3690017991	0.5492584356	0.5125343346	0.2090568747	0.2544097475	0.2920774184	0.4813911649	0.4990391321	0.169117174	0.5086564176	0.02705164813	0
0	uniform_kd_seed1111	LAV	N0_shuffle_seed23072	-0.03794780569	-0.05274783369	0.3735423927	0.5573264309	0.4800512947	0.2002230672	0.2643576294	0.3131822062	0.5012734643	0.4746119451	0.160423246	0.487621401	0.02660449093	0
