model	mode	checkpoint_fold	Error_Spearman	Error_Pearson	Risk_MAE	Risk_RMSE	bad20_AUROC	bad20_AUPRC	bad20_Brier	bad20_ECE	bad10_AUROC	fixed_bad_AUROC	fixed_bad_AUPRC	confident_wrong_AUROC	confident_wrong_AUPRC	confident_wrong_recall_at_precision_0p8
N0_shuffle_seed23071	L	0.5	-0.003855454929	-0.00400327088	0.3770005303	0.555576758	0.4961798843	0.2009294887	0.2531994104	0.2967193087	0.4880686862	0.4911298058	0.1652246134	0.5526137963	0.04232908713	0
N0_shuffle_seed23071	LA	0.5	0.005354433574	0.007763007708	0.3774792461	0.554036837	0.4936098335	0.1999229135	0.2544163586	0.2916710591	0.4835943089	0.4940009992	0.1689972839	0.545517862	0.04349470861	0
N0_shuffle_seed23071	LAV	0.5	0.0172936895	0.01570811228	0.3767051846	0.552480047	0.5056591016	0.2069392615	0.2528542455	0.2877971996	0.4945660243	0.5051956414	0.1724990878	0.5352590639	0.04304592249	0
N0_shuffle_seed23071	LV	0.5	0.00513681742	0.007881760781	0.3757389993	0.552513633	0.4933914242	0.1988509751	0.2517399602	0.2880327725	0.4778979128	0.489181741	0.1628578955	0.5292919804	0.04124355383	0
N0_shuffle_seed23072	L	0.5	-0.003706454503	-0.005850986565	0.3766820072	0.554676523	0.5032309552	0.205937368	0.2539612823	0.2969120479	0.4966811938	0.5024124828	0.1706287866	0.4881850382	0.03548952135	0
N0_shuffle_seed23072	LA	0.5	-0.002275652061	-0.01566590966	0.377704249	0.5560169105	0.4866758791	0.198171315	0.2561215185	0.2940628314	0.478631198	0.4827162679	0.165570983	0.5076371282	0.03969894727	0
N0_shuffle_seed23072	LAV	0.5	-0.01402310377	-0.01298185711	0.3786512603	0.5557311901	0.4890082309	0.1989409568	0.256244356	0.2911437137	0.4870357004	0.4862848482	0.1654376719	0.5166436438	0.04028719831	0
N0_shuffle_seed23072	LV	0.5	-0.001689778466	-0.004530267308	0.3767241486	0.5538347603	0.5083718915	0.2076900791	0.2531042838	0.2925772143	0.5038665689	0.5076432698	0.1729657029	0.4915610164	0.03782237874	0.0015625
N0_shuffle_seed23073	L	0.5	0.006767626259	0.01153145213	0.3781332975	0.5952491351	0.5096993919	0.2190296155	0.2511827686	0.2971499758	0.5173984359	0.5097315993	0.1854909333	0.5503143563	0.04153790645	0
N0_shuffle_seed23073	LA	0.5	-0.005031487695	0.01061171098	0.3803339595	0.5609720948	0.5035272221	0.2087040188	0.2527331499	0.2931754805	0.5168498109	0.5043398512	0.177756539	0.5464830756	0.04426170517	0
N0_shuffle_seed23073	LAV	0.5	0.001222150512	0.006384124458	0.3785104568	0.5572593423	0.5116856736	0.2148147265	0.2521762775	0.2920834098	0.5161875799	0.5078381719	0.178211407	0.5348363132	0.04169587341	0
N0_shuffle_seed23073	LV	0.5	0.01746096057	0.008573578184	0.3752683292	0.5523594531	0.5087213416	0.2090788993	0.2526172812	0.2936461111	0.5098212695	0.5045751794	0.1737051543	0.5175395034	0.03894347076	0
N1_matched_gaussian	L	0.5	-0.009900207513	-0.01194853315	0.3770780337	0.554257767	0.4945313178	0.1959371463	0.253529183	0.2948463677	0.4990690651	0.4965990858	0.1634856466	0.4801415627	0.0394193923	0
N1_matched_gaussian	LA	0.5	-0.003235135205	0.0006215045534	0.3791971971	0.5551514777	0.501897544	0.1992033807	0.2531090084	0.2885456004	0.4972624122	0.4982343953	0.1656155019	0.4813133634	0.04029608952	0
N1_matched_gaussian	LAV	0.5	0.005715313062	0.005675418032	0.3775694275	0.5526900096	0.5094013862	0.2025115523	0.2547063876	0.2878338508	0.5074240017	0.5060851736	0.1681785849	0.4902791082	0.04263309154	0
N1_matched_gaussian	LV	0.5	-0.001243173045	0.006498205889	0.3777372269	0.5530258373	0.502170721	0.2019413071	0.2531493951	0.2897038814	0.5062268224	0.5066336376	0.1696361309	0.5221805143	0.04490827649	0
N2_length_mask_only	L	0.5	0.02435513951	0.03576879639	0.3740409233	0.5521654639	0.5110899593	0.2078214985	0.2490493875	0.3007978787	0.509238125	0.5111267306	0.1744373946	0.5186923391	0.04137148777	0.002083333333
N2_length_mask_only	LA	0.5	0.02263246325	0.03433592035	0.3739651045	0.5521859471	0.5090394084	0.2060908129	0.2490725762	0.3018532048	0.5083961146	0.5081579551	0.1744400302	0.5622867554	0.04415213326	0
N2_length_mask_only	LAV	0.5	0.02513921808	0.03583433781	0.3722879928	0.550124262	0.5102248371	0.2065704268	0.2490980724	0.3022565017	0.5074773294	0.5113534039	0.1742183117	0.5542877015	0.04291368209	0
N2_length_mask_only	LV	0.5	0.02719331083	0.03696709056	0.3723095856	0.5499755881	0.5105797677	0.2063987133	0.2490894621	0.3025188337	0.512584747	0.5110887555	0.1725343196	0.5658754348	0.04594358862	0
N3_output_only	L	0.5	0.2034530141	0.1638599237	0.3661933765	0.5397005065	0.6049965543	0.2676384753	0.1644476367	0.0445461773	0.6083729425	0.5972517669	0.2211039956	0.8618492326	0.1350814285	0.001666666667
N3_output_only	LA	0.5	0.2020600168	0.1714916966	0.3651396972	0.5387432041	0.5998352213	0.2591115158	0.1643789117	0.04462161714	0.6014443172	0.5933383504	0.2188577385	0.8430391722	0.1427265239	0.007754440201
N3_output_only	LAV	0.5	0.206802423	0.1706453653	0.3633956065	0.5369339298	0.6134344546	0.2704417597	0.1630417937	0.04523733302	0.6174654038	0.602447083	0.225995055	0.8229766396	0.1202822192	0.001923076923
N3_output_only	LV	0.5	0.2117432007	0.1743340032	0.3630665885	0.5370514032	0.6033874911	0.2608509037	0.1636036352	0.04071952357	0.6096255854	0.5975213832	0.2187342238	0.8207118937	0.112599131	0.006084656085
N5_label_bin_prior	L	0.5	0.1802426019	0.1234476761	0.368316049	0.5448996913	0.5705967474	0.2264988536	0.248563005	0.3020941438	0.5750521421	0.5683957339	0.1888433065	0.7585243296	0.07928815739	0.002083333333
N5_label_bin_prior	LA	0.5	0.1826508284	0.1267360071	0.3680935526	0.5446950171	0.5713053145	0.2255165886	0.2485081505	0.3030895182	0.5732785776	0.5677561951	0.1887649162	0.7266592318	0.07839331577	0
N5_label_bin_prior	LAV	0.5	0.1796503888	0.1248866994	0.3666754921	0.5428405555	0.568010057	0.2225070457	0.2488765354	0.303877015	0.5671278544	0.5650941935	0.1853637981	0.6837649758	0.06251929102	0
N5_label_bin_prior	LV	0.5	0.1803618183	0.1215287941	0.3667293147	0.5429181577	0.5699593566	0.2251284232	0.2488922399	0.3043172285	0.568300203	0.5655834657	0.1854768626	0.6952757671	0.0685432464	0.001923076923
R0_global	L	0.5	0	0	0.3814122158	0.5051954909	0.5	0.19727133	0.158362798	0.004651256545	0.5	0.5	0.1639258016			
R0_global	LA	0.5	0	0	0.381472465	0.5055252679	0.5	0.1962322302	0.1577393381	0.005074959308	0.5	0.5	0.1642040708			
R0_global	LAV	0.5	0	0	0.3802802115	0.5039162765	0.5	0.1959891857	0.1575935114	0.005303289138	0.5	0.5	0.1629872859			
R0_global	LV	0.5	0	0	0.3803527321	0.5035619305	0.5	0.1957109166	0.15742655	0.005465553994	0.5	0.5	0.1622162759			
R0_mode	L	0.5	0	0	0.3815451505	0.5051997843	0.5	0.19727133	0.158362798	0.004651256545	0.5	0.5	0.1639258016			
R0_mode	LA	0.5	0	0	0.3816178521	0.5055303801	0.5	0.1962322302	0.1577393381	0.005074959308	0.5	0.5	0.1642040708			
R0_mode	LAV	0.5	0	0	0.3801600682	0.5039110285	0.5	0.1959891857	0.1575935114	0.005303289138	0.5	0.5	0.1629872859			
R0_mode	LV	0.5	0	0	0.3801905273	0.5035550409	0.5	0.1957109166	0.15742655	0.005465553994	0.5	0.5	0.1622162759			
R1	L	0.5	0.2034530141	0.1638599237	0.3661933765	0.5397005065	0.6049965543	0.2676384753	0.1644476367	0.0445461773	0.6083729425	0.5972517669	0.2211039956	0.8618492326	0.1350814285	0.001666666667
R1	LA	0.5	0.2020600168	0.1714916966	0.3651396972	0.5387432041	0.5998352213	0.2591115158	0.1643789117	0.04462161714	0.6014443172	0.5933383504	0.2188577385	0.8430391722	0.1427265239	0.007754440201
R1	LAV	0.5	0.206802423	0.1706453653	0.3633956065	0.5369339298	0.6134344546	0.2704417597	0.1630417937	0.04523733302	0.6174654038	0.602447083	0.225995055	0.8229766396	0.1202822192	0.001923076923
R1	LV	0.5	0.2117432007	0.1743340032	0.3630665885	0.5370514032	0.6033874911	0.2608509037	0.1636036352	0.04071952357	0.6096255854	0.5975213832	0.2187342238	0.8207118937	0.112599131	0.006084656085
R2	L	0.5	0.2552666452	0.2406950249	0.3603018192	0.5299686422	0.6311389111	0.2960125642	0.2011614042	0.1706051088	0.6530617076	0.637125849	0.2558928695	0.8840557722	0.1666363034	0
R2	LA	0.5	0.239173828	0.2112565008	0.3623688414	0.5355873374	0.6187828145	0.2820748047	0.1695718326	0.06541170077	0.6307815285	0.6202505415	0.2432141688	0.8882679102	0.1949665654	0.005252659574
R2	LAV	0.5	0.2393961298	0.2243199215	0.3601850906	0.5312617179	0.6232159948	0.2813143528	0.2019953335	0.1677844804	0.6376070881	0.6245567525	0.2430831254	0.8880749125	0.1913241496	0.003606237817
R2	LV	0.5	0.2279534655	0.2135607233	0.3617289909	0.5312891919	0.6227190804	0.2816693107	0.1777008505	0.09144129171	0.6383162424	0.6264091653	0.2444069114	0.8823529561	0.1979601545	0.02183510539
