checkpoint_fold	expert_id	mode	R1_primary_probe_parameter_count	R2_primary_probe_parameter_count	probe_bundle_bytes	expert_checkpoint_bytes	bundle_to_checkpoint_byte_ratio
0	uniform_kd_seed1111	L	4070	4689	1110781	449906341	0.00246891608
0	uniform_kd_seed1111	LA	1414	4835	1151661	449906341	0.002559779436
0	uniform_kd_seed1111	LAV	2787	6010	1793869	449906341	0.003987205417
0	uniform_kd_seed1111	LV	2769	6022	1918061	449906341	0.004263245092
0	moddrop_seed1111	L	1442	3520	800701	449906341	0.001779705968
0	moddrop_seed1111	LA	4182	4923	1341101	449906341	0.002980844851
0	moddrop_seed1111	LAV	2877	6116	1798781	449906341	0.003998123245
0	moddrop_seed1111	LV	4130	4777	1478429	449906341	0.003286081714
0	moddrop_seed1114	L	3962	2355	557181	449906341	0.001238437757
0	moddrop_seed1114	LA	2805	5964	1584237	449906341	0.00352125955
0	moddrop_seed1114	LAV	1364	3586	953533	449906341	0.002119403336
0	moddrop_seed1114	LV	2879	3566	857021	449906341	0.001904887577
0	cfcompat_seed1111	L	1256	6218	1504717	449906341	0.003344511652
0	cfcompat_seed1111	LA	1342	5045	1492237	449906341	0.003316772546
0	cfcompat_seed1111	LAV	1432	4922	1714029	449906341	0.00380974626
0	cfcompat_seed1111	LV	2743	6042	1913197	449906341	0.004252433953
0	cfcompat_seed1114	L	2825	5914	1287693	449906341	0.002862135699
0	cfcompat_seed1114	LA	4174	6036	1702589	449906341	0.003784318746
0	cfcompat_seed1114	LAV	4210	6020	2018413	449906341	0.00448629596
0	cfcompat_seed1114	LV	4150	6126	1919309	449906341	0.004266019002
1	uniform_kd_seed1111	L	2725	3452	794925	449906341	0.00176686774
1	uniform_kd_seed1111	LA	4064	3596	1051789	449906341	0.002337795457
1	uniform_kd_seed1111	LAV	4064	3860	1083805	449906341	0.002408956934
1	uniform_kd_seed1111	LV	3996	3480	927357	449906341	0.002061222338
1	moddrop_seed1111	L	2785	2363	441501	449906341	0.0009813175761
1	moddrop_seed1111	LA	2827	3428	808893	449906341	0.001797914202
1	moddrop_seed1111	LAV	4060	3654	1109805	449906341	0.00246674674
1	moddrop_seed1111	LV	1420	2479	496893	449906341	0.001104436534
1	moddrop_seed1114	L	4124	4763	1039853	449906341	0.002311265491
1	moddrop_seed1114	LA	2703	6018	1913101	449906341	0.004252220575
1	moddrop_seed1114	LAV	2703	4908	1563485	449906341	0.003475134395
1	moddrop_seed1114	LV	4058	5858	1586157	449906341	0.003525527105
1	cfcompat_seed1111	L	2829	6114	1616237	449906341	0.003592385465
1	cfcompat_seed1111	LA	4012	4963	1345373	449906341	0.002990340161
1	cfcompat_seed1111	LAV	4172	4940	1493773	449906341	0.00332018659
1	cfcompat_seed1111	LV	2827	4843	1343277	449906341	0.002985681413
1	cfcompat_seed1114	L	2751	2377	564029	449906341	0.001253658703
1	cfcompat_seed1114	LA	2533	4945	1266077	449906341	0.002814090144
1	cfcompat_seed1114	LAV	2593	3694	1188989	449906341	0.002642747816
1	cfcompat_seed1114	LV	3966	4753	1259853	449906341	0.002800256154
