checkpoint_fold	expert_id	mode	quantile	empirical_coverage	pinball_loss	mean_predicted_quantile	mean_q90_minus_q50_interval_width
0	uniform_kd_seed1111	LAV	0.5	0.4895424837	0.172937023	0.441780876	0.7605408292
0	uniform_kd_seed1111	LAV	0.8	0.8	0.1515145642	0.8779058058	0.7605408292
0	uniform_kd_seed1111	LAV	0.9	0.9013071895	0.108105546	1.202321705	0.7605408292
0	uniform_kd_seed1111	LA	0.5	0.4941176471	0.1738350094	0.4458227056	0.7541411569
0	uniform_kd_seed1111	LA	0.8	0.7934640523	0.1531757193	0.8758997936	0.7541411569
0	uniform_kd_seed1111	LA	0.9	0.9019607843	0.1075988641	1.199963862	0.7541411569
0	uniform_kd_seed1111	LV	0.5	0.4947712418	0.1729834698	0.4444808822	0.7553009774
0	uniform_kd_seed1111	LV	0.8	0.8019607843	0.1506925126	0.8747529151	0.7553009774
0	uniform_kd_seed1111	LV	0.9	0.9026143791	0.1078086952	1.19978186	0.7553009774
0	uniform_kd_seed1111	L	0.5	0.4993464052	0.1732049454	0.446466722	0.7507200573
0	uniform_kd_seed1111	L	0.8	0.7967320261	0.1503522691	0.8800652463	0.7507200573
0	uniform_kd_seed1111	L	0.9	0.9045751634	0.1058875254	1.197186779	0.7507200573
0	moddrop_seed1111	LAV	0.5	0.5071895425	0.1772986164	0.432614866	0.7836867862
0	moddrop_seed1111	LAV	0.8	0.7947712418	0.1554515483	0.8771934433	0.7836867862
0	moddrop_seed1111	LAV	0.9	0.9019607843	0.1106365524	1.216301652	0.7836867862
0	moddrop_seed1111	LA	0.5	0.5026143791	0.1774099567	0.4330684634	0.7764972425
0	moddrop_seed1111	LA	0.8	0.7967320261	0.1558669023	0.8822360323	0.7764972425
0	moddrop_seed1111	LA	0.9	0.9013071895	0.1109496702	1.209565706	0.7764972425
0	moddrop_seed1111	LV	0.5	0.5013071895	0.1773469984	0.4326806415	0.7843473026
0	moddrop_seed1111	LV	0.8	0.791503268	0.155082024	0.8804886399	0.7843473026
0	moddrop_seed1111	LV	0.9	0.9058823529	0.111097943	1.217027944	0.7843473026
0	moddrop_seed1111	L	0.5	0.5045751634	0.1772147482	0.433372501	0.7829449099
0	moddrop_seed1111	L	0.8	0.7973856209	0.1543598244	0.8825554888	0.7829449099
0	moddrop_seed1111	L	0.9	0.9071895425	0.1109201151	1.216317411	0.7829449099
0	moddrop_seed1114	LAV	0.5	0.4986928105	0.1822907265	0.4499211056	0.7662880106
0	moddrop_seed1114	LAV	0.8	0.7921568627	0.1591474496	0.9024413222	0.7662880106
