expert_id	checkpoint_fold	Error_Spearman	Error_Pearson	Risk_MAE	bad20_AUROC	confident_wrong_AUROC
cfcompat_seed1111	0	0.2245327478	0.2272956157	0.3602664794	0.6456288516	0.8859747075
cfcompat_seed1111	1	0.2046518671	0.1880949396	0.3626761715	0.5890882457	0.8740952458
cfcompat_seed1114	0	0.2621375246	0.2490697863	0.3684536945	0.6476175941	0.9059192754
cfcompat_seed1114	1	0.2403952777	0.225068498	0.3599397981	0.6207802399	0.8805067664
moddrop_seed1111	0	0.248429185	0.2582569035	0.3621600427	0.6301898343	0.8754648766
moddrop_seed1111	1	0.2544973399	0.1963069612	0.3578396106	0.590033438	0.8750899842
moddrop_seed1114	0	0.2863477779	0.2568832348	0.3712051787	0.6566036736	0.895948411
moddrop_seed1114	1	0.243206885	0.2296843488	0.357805678	0.6078588875	0.891197933
uniform_kd_seed1111	0	0.216742792	0.2049163987	0.3588512205	0.647501937	0.8923893877
uniform_kd_seed1111	1	0.2235337743	0.1890037394	0.3522639813	0.6043393004	0.88029229
