checkpoint_fold	expert_id	mode	model	coverage	retained_samples	retained_actual_MAE	rejected_actual_MAE	random_expected_MAE	improvement_vs_random
0	uniform_kd_seed1111	LAV	R0_global	0.1	153	0.4648135214	0.5790201768	0.5675995113	0.1027859899
0	uniform_kd_seed1111	LAV	R0_global	0.2	306	0.54000484	0.5744981791	0.5675995113	0.02759467122
0	uniform_kd_seed1111	LAV	R0_global	0.3	459	0.5507765378	0.574809357	0.5675995113	0.01682297348
0	uniform_kd_seed1111	LAV	R0_global	0.5	765	0.5361928682	0.5990061543	0.5675995113	0.03140664302
0	uniform_kd_seed1111	LAV	R0_global	0.7	1071	0.5489123611	0.6112028617	0.5675995113	0.01868715018
0	uniform_kd_seed1111	LAV	R0_global	1	1530	0.5675995113	0	0.5675995113	1.110223025e-16
0	uniform_kd_seed1111	LAV	R0_mode	0.1	153	0.4648135214	0.5790201768	0.5675995113	0.1027859899
0	uniform_kd_seed1111	LAV	R0_mode	0.2	306	0.54000484	0.5744981791	0.5675995113	0.02759467122
0	uniform_kd_seed1111	LAV	R0_mode	0.3	459	0.5507765378	0.574809357	0.5675995113	0.01682297348
0	uniform_kd_seed1111	LAV	R0_mode	0.5	765	0.5361928682	0.5990061543	0.5675995113	0.03140664302
0	uniform_kd_seed1111	LAV	R0_mode	0.7	1071	0.5489123611	0.6112028617	0.5675995113	0.01868715018
0	uniform_kd_seed1111	LAV	R0_mode	1	1530	0.5675995113	0	0.5675995113	1.110223025e-16
0	uniform_kd_seed1111	LAV	R1	0.1	153	0.4442364529	0.5813065177	0.5675995113	0.1233630584
0	uniform_kd_seed1111	LAV	R1	0.2	306	0.4111416543	0.6067139755	0.5675995113	0.1564578569
0	uniform_kd_seed1111	LAV	R1	0.3	459	0.4537878003	0.6163759588	0.5675995113	0.1138117109
0	uniform_kd_seed1111	LAV	R1	0.5	765	0.4999278305	0.6352711921	0.5675995113	0.06767168079
0	uniform_kd_seed1111	LAV	R1	0.7	1071	0.5356415438	0.6421681021	0.5675995113	0.03195796749
