mode	pca_dimension	algorithm	parameter	inner_valid_spearman	inner_valid_MAE
L	64	hgb	fixed	0.2440479574	0.3422638414
L	64	ridge	10.0	0.237301622	0.3399047876
L	32	hgb	fixed	0.2312416164	0.3428986869
L	32	ridge	10.0	0.2282743687	0.3390680797
L	64	ridge	1.0	0.2265744452	0.3401492243
L	16	hgb	fixed	0.2249360225	0.3423426285
L	16	ridge	10.0	0.2247551275	0.3399334058
L	64	ridge	0.1	0.2225574223	0.3402219577
L	32	ridge	1.0	0.2188455935	0.3393798659
L	16	ridge	1.0	0.2158337456	0.3399814976
L	32	ridge	0.1	0.214811167	0.3395283991
L	16	ridge	0.1	0.2113099939	0.3398983184
