mode	pca_dimension	algorithm	parameter	inner_valid_spearman	inner_valid_MAE
LV	64	hgb	fixed	0.2220063048	0.3417146363
LV	16	hgb	fixed	0.2151256027	0.3426912223
LV	64	ridge	0.1	0.1999929585	0.3429457387
LV	64	ridge	10.0	0.1984280057	0.3437033758
LV	64	ridge	1.0	0.1966943848	0.3433936427
LV	32	hgb	fixed	0.1948469722	0.3428127921
LV	32	ridge	0.1	0.181228293	0.3442117576
LV	16	ridge	10.0	0.1792321831	0.3465459469
LV	32	ridge	1.0	0.1775100388	0.3450337694
LV	16	ridge	1.0	0.1771853195	0.3461876242
LV	32	ridge	10.0	0.1763362412	0.3459732322
LV	16	ridge	0.1	0.17585689	0.3456383324
