mode	pca_dimension	algorithm	parameter	inner_valid_spearman	inner_valid_MAE
LAV	32	hgb	fixed	0.2054282605	0.3589820076
LAV	16	hgb	fixed	0.2052013563	0.359709196
LAV	16	ridge	10.0	0.1958442041	0.3598137653
LAV	32	ridge	10.0	0.1938703603	0.3604527804
LAV	64	ridge	10.0	0.1929870711	0.3626436722
LAV	16	ridge	1.0	0.1927940834	0.3604604844
LAV	64	hgb	fixed	0.1921805241	0.3601594089
LAV	16	ridge	0.1	0.1917234239	0.3609759603
LAV	32	ridge	1.0	0.1896532749	0.3613060504
LAV	64	ridge	0.1	0.1893672438	0.3641434691
LAV	64	ridge	1.0	0.1890215721	0.3635242631
LAV	32	ridge	0.1	0.1875813667	0.3620416158
