checkpoint_fold	expert_id	mode	confidence_bottom_percent	error_top_percent	event_count	event_prevalence	R2_AUROC	R2_AUPRC	R2_recall_at_precision_0p8
0	cfcompat_seed1114	LAV	20	10	19	0.01241830065	0.8966177854	0.08343454962	0
0	cfcompat_seed1114	LAV	20	20	35	0.02287581699	0.907176302	0.1807940054	0
0	cfcompat_seed1114	LAV	30	10	33	0.02156862745	0.9159531184	0.1490908486	0
0	cfcompat_seed1114	LAV	30	20	61	0.03986928105	0.920856164	0.2970574639	0
0	cfcompat_seed1114	LAV	40	10	40	0.02614379085	0.831988255	0.1307987307	0
0	cfcompat_seed1114	LAV	40	20	81	0.05294117647	0.7966882226	0.2439862421	0
0	cfcompat_seed1114	LA	20	10	18	0.01176470588	0.9013080541	0.07075445011	0
0	cfcompat_seed1114	LA	20	20	38	0.02483660131	0.9052843234	0.1236553342	0
0	cfcompat_seed1114	LA	30	10	31	0.02026143791	0.9062816071	0.1247904928	0
0	cfcompat_seed1114	LA	30	20	63	0.04117647059	0.9099879897	0.2178797097	0
0	cfcompat_seed1114	LA	40	10	41	0.02679738562	0.8099395567	0.107021155	0
0	cfcompat_seed1114	LA	40	20	88	0.05751633987	0.8112154835	0.1950436697	0
0	cfcompat_seed1114	LV	20	10	15	0.009803921569	0.8556215622	0.03545709443	0
0	cfcompat_seed1114	LV	20	20	32	0.02091503268	0.8815504005	0.1042747921	0
0	cfcompat_seed1114	LV	30	10	28	0.01830065359	0.8647279817	0.063860851	0
0	cfcompat_seed1114	LV	30	20	54	0.03529411765	0.8821765532	0.1445993317	0
0	cfcompat_seed1114	LV	40	10	37	0.02418300654	0.7513079054	0.05793946275	0
0	cfcompat_seed1114	LV	40	20	78	0.05098039216	0.7599509077	0.1276945951	0
0	cfcompat_seed1114	L	20	10	17	0.01111111111	0.9113176004	0.0650656396	0
0	cfcompat_seed1114	L	20	20	35	0.02287581699	0.8969708552	0.1029485348	0
0	cfcompat_seed1114	L	30	10	26	0.01699346405	0.9206730769	0.1031191278	0
0	cfcompat_seed1114	L	30	20	55	0.03594771242	0.9106563945	0.1747210394	0
0	cfcompat_seed1114	L	40	10	38	0.02483660131	0.8318576266	0.09665586835	0
0	cfcompat_seed1114	L	40	20	80	0.0522875817	0.8174655172	0.1618989727	0
