mode	pca_dimension	algorithm	parameter	inner_valid_spearman	inner_valid_MAE
LAV	16	hgb	fixed	0.2151199986	0.3506182843
LAV	64	hgb	fixed	0.2115891844	0.3516220398
LAV	32	ridge	0.1	0.2000756881	0.354689475
LAV	32	ridge	1.0	0.1944975933	0.3551737479
LAV	32	hgb	fixed	0.194002575	0.3527461405
LAV	32	ridge	10.0	0.1918696899	0.355381531
LAV	64	ridge	0.1	0.1900629059	0.3563897696
LAV	64	ridge	1.0	0.1863627348	0.3568286171
LAV	16	ridge	0.1	0.1846619431	0.3558845688
LAV	64	ridge	10.0	0.1809902672	0.3570780158
LAV	16	ridge	1.0	0.1808235094	0.3566631441
LAV	16	ridge	10.0	0.1780190404	0.3570094888
