mode	pca_dimension	algorithm	parameter	inner_valid_spearman	inner_valid_MAE
L	16	ridge	10.0	0.2422657876	0.3549490703
L	32	ridge	10.0	0.2409253605	0.3531653954
L	32	ridge	0.1	0.2406049902	0.3533512047
L	16	ridge	1.0	0.240251217	0.3549736401
L	32	ridge	1.0	0.2399008037	0.3532584245
L	16	ridge	0.1	0.238124425	0.3552126211
L	16	hgb	fixed	0.2349971846	0.3577908311
L	32	hgb	fixed	0.232005534	0.3573533306
L	64	ridge	10.0	0.2318503736	0.3541296663
L	64	ridge	0.1	0.2317018576	0.3543600867
L	64	ridge	1.0	0.2296194845	0.3542911777
L	64	hgb	fixed	0.2175242844	0.3589293563
