checkpoint_fold	expert_id	mode	quantile	empirical_coverage	pinball_loss	mean_predicted_quantile	mean_q90_minus_q50_interval_width
0	moddrop_seed1114	LAV	0.5	0.4986928105	0.1822907265	0.4499211056	0.7662880106
0	moddrop_seed1114	LAV	0.8	0.7921568627	0.1591474496	0.9024413222	0.7662880106
0	moddrop_seed1114	LAV	0.9	0.8888888889	0.1143245347	1.216209116	0.7662880106
0	moddrop_seed1114	LA	0.5	0.4967320261	0.1834355317	0.4529718037	0.7659905575
0	moddrop_seed1114	LA	0.8	0.8013071895	0.1597948673	0.9162804555	0.7659905575
0	moddrop_seed1114	LA	0.9	0.8895424837	0.1141605627	1.218962361	0.7659905575
0	moddrop_seed1114	LV	0.5	0.5	0.1818560818	0.4483263644	0.7585833785
0	moddrop_seed1114	LV	0.8	0.7921568627	0.1591285859	0.9041605485	0.7585833785
0	moddrop_seed1114	LV	0.9	0.8908496732	0.1126572091	1.206909743	0.7585833785
0	moddrop_seed1114	L	0.5	0.4947712418	0.183363697	0.4477278033	0.7777193056
0	moddrop_seed1114	L	0.8	0.7928104575	0.1599382971	0.9170230424	0.7777193056
0	moddrop_seed1114	L	0.9	0.8973856209	0.1127377567	1.225447109	0.7777193056
