checkpoint_fold	expert_id	mode	model	coverage	retained_samples	retained_actual_MAE	rejected_actual_MAE	random_expected_MAE	improvement_vs_random
0	moddrop_seed1114	LAV	R0_global	0.1	153	0.4704315659	0.5981844208	0.5854091353	0.1149775694
0	moddrop_seed1114	LAV	R0_global	0.2	306	0.5311107914	0.5989837213	0.5854091353	0.05429834385
0	moddrop_seed1114	LAV	R0_global	0.3	459	0.5342599845	0.6073301999	0.5854091353	0.05114915081
0	moddrop_seed1114	LAV	R0_global	0.5	765	0.5288846918	0.6419335788	0.5854091353	0.05652444352
0	moddrop_seed1114	LAV	R0_global	0.7	1071	0.5665787504	0.6293467001	0.5854091353	0.01883038489
0	moddrop_seed1114	LAV	R0_global	1	1530	0.5854091353	0	0.5854091353	1.110223025e-16
0	moddrop_seed1114	LAV	R0_mode	0.1	153	0.4704315659	0.5981844208	0.5854091353	0.1149775694
0	moddrop_seed1114	LAV	R0_mode	0.2	306	0.5311107914	0.5989837213	0.5854091353	0.05429834385
0	moddrop_seed1114	LAV	R0_mode	0.3	459	0.5342599845	0.6073301999	0.5854091353	0.05114915081
0	moddrop_seed1114	LAV	R0_mode	0.5	765	0.5288846918	0.6419335788	0.5854091353	0.05652444352
0	moddrop_seed1114	LAV	R0_mode	0.7	1071	0.5665787504	0.6293467001	0.5854091353	0.01883038489
0	moddrop_seed1114	LAV	R0_mode	1	1530	0.5854091353	0	0.5854091353	1.110223025e-16
0	moddrop_seed1114	LAV	R1	0.1	153	0.3877821526	0.6073676889	0.5854091353	0.1976269827
0	moddrop_seed1114	LAV	R1	0.2	306	0.438646932	0.6220996861	0.5854091353	0.1467622033
0	moddrop_seed1114	LAV	R1	0.3	459	0.4648540683	0.6370755926	0.5854091353	0.120555067
0	moddrop_seed1114	LAV	R1	0.5	765	0.5071987534	0.6636195172	0.5854091353	0.07821038191
0	moddrop_seed1114	LAV	R1	0.7	1071	0.571398478	0.6181006689	0.5854091353	0.01401065726
0	moddrop_seed1114	LAV	R1	1	1530	0.5854091353	0	0.5854091353	1.110223025e-16
0	moddrop_seed1114	LAV	R2	0.1	153	0.3668840666	0.6096896985	0.5854091353	0.2185250687
0	moddrop_seed1114	LAV	R2	0.2	306	0.4215136695	0.6263830017	0.5854091353	0.1638954658
0	moddrop_seed1114	LAV	R2	0.3	459	0.4417411222	0.6469811409	0.5854091353	0.1436680131
0	moddrop_seed1114	LAV	R2	0.5	765	0.4643075778	0.7065106928	0.5854091353	0.1211015575
0	moddrop_seed1114	LAV	R2	0.7	1071	0.5057463757	0.7712889077	0.5854091353	0.07966275959
0	moddrop_seed1114	LAV	R2	1	1530	0.5854091353	0	0.5854091353	1.110223025e-16
0	moddrop_seed1114	LAV	N3_output_only	0.1	153	0.3877821526	0.6073676889	0.5854091353	0.1976269827
0	moddrop_seed1114	LAV	N3_output_only	0.2	306	0.438646932	0.6220996861	0.5854091353	0.1467622033
0	moddrop_seed1114	LAV	N3_output_only	0.3	459	0.4648540683	0.6370755926	0.5854091353	0.120555067
0	moddrop_seed1114	LAV	N3_output_only	0.5	765	0.5071987534	0.6636195172	0.5854091353	0.07821038191
0	moddrop_seed1114	LAV	N3_output_only	0.7	1071	0.571398478	0.6181006689	0.5854091353	0.01401065726
0	moddrop_seed1114	LAV	N3_output_only	1	1530	0.5854091353	0	0.5854091353	1.110223025e-16
0	moddrop_seed1114	LAV	N2_length_mask_only	0.1	153	0.57826729	0.5862026737	0.5854091353	0.007141845266
0	moddrop_seed1114	LAV	N2_length_mask_only	0.2	306	0.6046679119	0.5805944412	0.5854091353	-0.01925877657
0	moddrop_seed1114	LAV	N2_length_mask_only	0.3	459	0.5964122256	0.5806935252	0.5854091353	-0.01100309034
0	moddrop_seed1114	LAV	N2_length_mask_only	0.5	765	0.5820038055	0.5888144651	0.5854091353	0.003405329801
0	moddrop_seed1114	LAV	N2_length_mask_only	0.7	1071	0.5725144127	0.6154968214	0.5854091353	0.01289472261
0	moddrop_seed1114	LAV	N2_length_mask_only	1	1530	0.5854091353	0	0.5854091353	1.110223025e-16
0	moddrop_seed1114	LAV	N5_label_bin_prior	0.1	153	0.417951551	0.6040155336	0.5854091353	0.1674575843
0	moddrop_seed1114	LAV	N5_label_bin_prior	0.2	306	0.4552620662	0.6179459026	0.5854091353	0.1301470691
0	moddrop_seed1114	LAV	N5_label_bin_prior	0.3	459	0.4686746809	0.6354381872	0.5854091353	0.1167344544
0	moddrop_seed1114	LAV	N5_label_bin_prior	0.5	765	0.5127458495	0.6580724212	0.5854091353	0.07266328585
0	moddrop_seed1114	LAV	N5_label_bin_prior	0.7	1071	0.5659100797	0.6309069317	0.5854091353	0.01949905559
0	moddrop_seed1114	LAV	N5_label_bin_prior	1	1530	0.5854091353	0	0.5854091353	1.110223025e-16
0	moddrop_seed1114	LAV	N1_matched_gaussian	0.1	153	0.5195320643	0.5927288099	0.5854091353	0.06587707105
0	moddrop_seed1114	LAV	N1_matched_gaussian	0.2	306	0.545053338	0.5954980846	0.5854091353	0.04035579728
