mode	pca_dimension	algorithm	parameter	inner_valid_spearman	inner_valid_MAE
LA	16	ridge	0.1	0.226018065	0.3456772882
LA	64	ridge	0.1	0.2228817415	0.3469725988
LA	16	ridge	1.0	0.2225885677	0.3464243293
LA	64	ridge	1.0	0.2203387649	0.34771906
LA	16	ridge	10.0	0.2198534187	0.3467057737
LA	64	ridge	10.0	0.219617741	0.34730869
LA	32	ridge	0.1	0.2146757509	0.3456263644
LA	32	ridge	1.0	0.2105839566	0.3462553976
LA	32	ridge	10.0	0.2087063802	0.3461228366
LA	32	hgb	fixed	0.186491972	0.3489154008
LA	16	hgb	fixed	0.1820352378	0.3501298434
LA	64	hgb	fixed	0.1731701691	0.3496486954
