mode	pca_dimension	algorithm	parameter	inner_valid_spearman	inner_valid_MAE
LV	64	hgb	fixed	0.2263297977	0.347093994
LV	16	hgb	fixed	0.2234002037	0.3473708576
LV	32	hgb	fixed	0.2222316157	0.3471678896
LV	32	ridge	0.1	0.2123959051	0.3460905178
LV	16	ridge	0.1	0.2096567695	0.346799211
LV	64	ridge	0.1	0.208972584	0.3471474711
LV	16	ridge	1.0	0.2047985283	0.3475330877
LV	32	ridge	1.0	0.2046265608	0.3475047732
LV	64	ridge	1.0	0.2038083559	0.3479683968
LV	16	ridge	10.0	0.2021988407	0.3476596409
LV	32	ridge	10.0	0.2014051142	0.3482564351
LV	64	ridge	10.0	0.2002029875	0.3483152415
