mode	pca_dimension	algorithm	parameter	inner_valid_spearman	inner_valid_MAE
LA	32	ridge	1.0	0.2169005749	0.3577411613
LA	32	ridge	10.0	0.2154538322	0.3576324275
LA	32	ridge	0.1	0.2153906781	0.3582436488
LA	16	ridge	1.0	0.2115161992	0.3578915912
LA	16	ridge	10.0	0.2109315342	0.3576380167
LA	16	ridge	0.1	0.2096734528	0.3585680965
LA	64	ridge	10.0	0.2044503554	0.3583644819
LA	16	hgb	fixed	0.2044103313	0.3568695909
LA	64	ridge	1.0	0.2044023973	0.3587642005
LA	64	ridge	0.1	0.2043860432	0.3593619718
LA	64	hgb	fixed	0.2040413962	0.3568348829
LA	32	hgb	fixed	0.1933609306	0.3580890545
