checkpoint_fold	expert_id	mode	model	Error_Spearman	Error_Pearson	Risk_MAE	Risk_RMSE	bad20_AUROC	bad20_AUPRC	bad20_Brier	bad20_ECE	bad10_AUROC	fixed_bad_AUROC	fixed_bad_AUPRC	confident_wrong_AUROC	confident_wrong_AUPRC	confident_wrong_recall_at_precision_0p8
1	cfcompat_seed1111	LAV	R0_global	0	0	0.3810472935	0.4980256059	0.5	0.1942945258	0.1565767155	0.005705474171	0.5	0.5	0.1634541249	NA	NA	NA
1	cfcompat_seed1111	LAV	R0_mode	0	0	0.3809614609	0.4980150304	0.5	0.1942945258	0.1565767155	0.005705474171	0.5	0.5	0.1634541249	NA	NA	NA
1	cfcompat_seed1111	LAV	R1	0.2089653583	0.1839733458	0.3600396639	0.5283458468	0.5892021721	0.2515714632	0.1545061093	0.02143885106	0.5643923769	0.5810799061	0.2152337488	0.807261015956668	0.11690748120231254	0.0
1	cfcompat_seed1111	LAV	R2	0.2062856669	0.2000560762	0.3602188199	0.5270780942	0.6014847725	0.2529695392	0.2395117306	0.2734341161	0.5898715728	0.6026736805	0.2163035034	0.866813058117406	0.17811068997988586	0.0
1	cfcompat_seed1111	LAV	N3_output_only	0.2089653583	0.1839733458	0.3600396639	0.5283458468	0.5892021721	0.2515714632	0.1545061093	0.02143885106	0.5643923769	0.5810799061	0.2152337488	0.807261015956668	0.11690748120231254	0.0
1	cfcompat_seed1111	LAV	N2_length_mask_only	0.03699130132	0.03643628451	0.368614818	0.5426702144	0.5312637655	0.2098244411	0.2507171044	0.3077904136	0.5305839727	0.5315385619	0.1793022866	0.5744254135558484	0.048085957055642545	0.0
1	cfcompat_seed1111	LAV	N5_label_bin_prior	0.1739639215	0.1224024736	0.3654162635	0.537732862	0.5327409433	0.2183041842	0.249827626	0.3049959426	0.5225572698	0.546022085	0.1882883683	0.6892109500805152	0.072055652763966	0.0
1	cfcompat_seed1111	LAV	N1_matched_gaussian	0.03249757968	0.04414851045	0.3728730479	0.5427470311	0.5268967874	0.2058590591	0.2543207132	0.2901515355	0.5364450128	0.52405443	0.1747552223	0.4849802371541502	0.04535120265528483	0.0
1	cfcompat_seed1111	LAV	N0_shuffle_seed23071	-0.009710912601	0.01526304203	0.3769672734	0.548758122	0.5201754386	0.2095933851	0.2485820453	0.2886081293	0.5437807662	0.5270019998	0.1847678016	0.5607670912018737	0.04925990392864003	0.0
1	cfcompat_seed1111	LAV	N0_shuffle_seed23072	-0.02619737883	-0.01653975593	0.3748566954	0.5476043146	0.4871269082	0.2007967737	0.2574058054	0.2993186197	0.4698663477	0.4904530041	0.1741123003	0.48139364661103795	0.04006681593377414	0.0
