checkpoint_fold	expert_id	mode	quantile	empirical_coverage	pinball_loss	mean_predicted_quantile	mean_q90_minus_q50_interval_width
1	cfcompat_seed1111	LAV	0.5	0.5034695451	0.176106983	0.435004922	0.791933879
1	cfcompat_seed1111	LAV	0.8	0.800308404	0.1533609301	0.8920316729	0.791933879
1	cfcompat_seed1111	LAV	0.9	0.9067077872	0.1080871767	1.226938801	0.791933879
1	cfcompat_seed1111	LA	0.5	0.5034695451	0.1772292777	0.4374761064	0.7931398262
1	cfcompat_seed1111	LA	0.8	0.799537394	0.1547285177	0.9012259235	0.7931398262
1	cfcompat_seed1111	LA	0.9	0.9067077872	0.1083662077	1.230615933	0.7931398262
1	cfcompat_seed1111	LV	0.5	0.499614495	0.1766202768	0.4378170211	0.7900499514
1	cfcompat_seed1111	LV	0.8	0.8049344641	0.1537974721	0.9002787009	0.7900499514
1	cfcompat_seed1111	LV	0.9	0.900539707	0.1082385509	1.227866972	0.7900499514
1	cfcompat_seed1111	L	0.5	0.5057825752	0.1772237032	0.4428861033	0.7846674959
1	cfcompat_seed1111	L	0.8	0.8026214341	0.153870761	0.9046680261	0.7846674959
1	cfcompat_seed1111	L	0.9	0.899768697	0.1085182324	1.227553599	0.7846674959
