checkpoint_fold	expert_id	mode	model	coverage	retained_samples	retained_actual_MAE	rejected_actual_MAE	random_expected_MAE	improvement_vs_random
1	cfcompat_seed1111	LAV	R0_global	0.1	130	0.5797133053	0.5588028438	0.5608987266	-0.01881457868
1	cfcompat_seed1111	LAV	R0_global	0.2	260	0.557588045	0.5617287914	0.5608987266	0.00331068158
1	cfcompat_seed1111	LAV	R0_global	0.3	390	0.5577787845	0.5622402673	0.5608987266	0.003119942125
1	cfcompat_seed1111	LAV	R0_global	0.5	649	0.585397124	0.5363625229	0.5608987266	-0.02449839747
1	cfcompat_seed1111	LAV	R0_global	0.7	908	0.5618950888	0.5585730276	0.5608987266	-0.0009963622246
1	cfcompat_seed1111	LAV	R0_global	1	1297	0.5608987266	0	0.5608987266	0
1	cfcompat_seed1111	LAV	R0_mode	0.1	130	0.5797133053	0.5588028438	0.5608987266	-0.01881457868
1	cfcompat_seed1111	LAV	R0_mode	0.2	260	0.557588045	0.5617287914	0.5608987266	0.00331068158
1	cfcompat_seed1111	LAV	R0_mode	0.3	390	0.5577787845	0.5622402673	0.5608987266	0.003119942125
1	cfcompat_seed1111	LAV	R0_mode	0.5	649	0.585397124	0.5363625229	0.5608987266	-0.02449839747
1	cfcompat_seed1111	LAV	R0_mode	0.7	908	0.5618950888	0.5585730276	0.5608987266	-0.0009963622246
1	cfcompat_seed1111	LAV	R0_mode	1	1297	0.5608987266	0	0.5608987266	0
1	cfcompat_seed1111	LAV	R1	0.1	130	0.3750872535	0.5815975196	0.5608987266	0.1858114731
1	cfcompat_seed1111	LAV	R1	0.2	260	0.4145405662	0.5975941188	0.5608987266	0.1463581604
1	cfcompat_seed1111	LAV	R1	0.3	390	0.4460959036	0.6102626747	0.5608987266	0.1148028229
1	cfcompat_seed1111	LAV	R1	0.5	649	0.4775535419	0.6443725304	0.5608987266	0.08334518468
1	cfcompat_seed1111	LAV	R1	0.7	908	0.5100025579	0.6797000663	0.5608987266	0.05089616868
1	cfcompat_seed1111	LAV	R1	1	1297	0.5608987266	0	0.5608987266	0
1	cfcompat_seed1111	LAV	R2	0.1	130	0.3400996088	0.5854950293	0.5608987266	0.2207991178
1	cfcompat_seed1111	LAV	R2	0.2	260	0.4288475005	0.5940070378	0.5608987266	0.1320512261
1	cfcompat_seed1111	LAV	R2	0.3	390	0.4424166075	0.6118447315	0.5608987266	0.1184821191
1	cfcompat_seed1111	LAV	R2	0.5	649	0.4731972585	0.6487355364	0.5608987266	0.0877014681
1	cfcompat_seed1111	LAV	R2	0.7	908	0.5007245528	0.7013566953	0.5608987266	0.06017417381
1	cfcompat_seed1111	LAV	R2	1	1297	0.5608987266	0	0.5608987266	0
1	cfcompat_seed1111	LAV	N3_output_only	0.1	130	0.3750872535	0.5815975196	0.5608987266	0.1858114731
1	cfcompat_seed1111	LAV	N3_output_only	0.2	260	0.4145405662	0.5975941188	0.5608987266	0.1463581604
1	cfcompat_seed1111	LAV	N3_output_only	0.3	390	0.4460959036	0.6102626747	0.5608987266	0.1148028229
1	cfcompat_seed1111	LAV	N3_output_only	0.5	649	0.4775535419	0.6443725304	0.5608987266	0.08334518468
1	cfcompat_seed1111	LAV	N3_output_only	0.7	908	0.5100025579	0.6797000663	0.5608987266	0.05089616868
1	cfcompat_seed1111	LAV	N3_output_only	1	1297	0.5608987266	0	0.5608987266	0
1	cfcompat_seed1111	LAV	N2_length_mask_only	0.1	130	0.5092953723	0.5666471722	0.5608987266	0.05160335431
1	cfcompat_seed1111	LAV	N2_length_mask_only	0.2	260	0.5641405492	0.5600859263	0.5608987266	-0.003241822612
1	cfcompat_seed1111	LAV	N2_length_mask_only	0.3	390	0.550230265	0.5654860475	0.5608987266	0.01066846162
1	cfcompat_seed1111	LAV	N2_length_mask_only	0.5	649	0.5398304131	0.5819995529	0.5608987266	0.0210683135
1	cfcompat_seed1111	LAV	N2_length_mask_only	0.7	908	0.5553042036	0.5739574074	0.5608987266	0.005594522951
1	cfcompat_seed1111	LAV	N2_length_mask_only	1	1297	0.5608987266	0	0.5608987266	0
1	cfcompat_seed1111	LAV	N5_label_bin_prior	0.1	130	0.4205276377	0.5765356088	0.5608987266	0.1403710889
1	cfcompat_seed1111	LAV	N5_label_bin_prior	0.2	260	0.4868619936	0.5794614562	0.5608987266	0.07403673298
1	cfcompat_seed1111	LAV	N5_label_bin_prior	0.3	390	0.4739031687	0.5983058573	0.5608987266	0.08699555792
1	cfcompat_seed1111	LAV	N5_label_bin_prior	0.5	649	0.4750419108	0.6468880374	0.5608987266	0.08585681577
1	cfcompat_seed1111	LAV	N5_label_bin_prior	0.7	908	0.5145934736	0.6689839957	0.5608987266	0.04630525296
1	cfcompat_seed1111	LAV	N5_label_bin_prior	1	1297	0.5608987266	0	0.5608987266	0
1	cfcompat_seed1111	LAV	N1_matched_gaussian	0.1	130	0.534901917	0.5637946865	0.5608987266	0.02599680955
1	cfcompat_seed1111	LAV	N1_matched_gaussian	0.2	260	0.5360284477	0.5671342835	0.5608987266	0.02487027889
1	cfcompat_seed1111	LAV	N1_matched_gaussian	0.3	390	0.5204371872	0.5782967424	0.5608987266	0.04046153939
1	cfcompat_seed1111	LAV	N1_matched_gaussian	0.5	649	0.5276374292	0.5942113532	0.5608987266	0.03326129742
1	cfcompat_seed1111	LAV	N1_matched_gaussian	0.7	908	0.5430153754	0.6026418702	0.5608987266	0.01788335117
1	cfcompat_seed1111	LAV	N1_matched_gaussian	1	1297	0.5608987266	0	0.5608987266	0
1	cfcompat_seed1111	LAV	N0_shuffle_seed23071	0.1	130	0.6025133672	0.5562629911	0.5608987266	-0.04161464064
1	cfcompat_seed1111	LAV	N0_shuffle_seed23071	0.2	260	0.5854743241	0.5547370531	0.5608987266	-0.02457559755
1	cfcompat_seed1111	LAV	N0_shuffle_seed23071	0.3	390	0.5779090491	0.5535844754	0.5608987266	-0.01701032255
1	cfcompat_seed1111	LAV	N0_shuffle_seed23071	0.5	649	0.5616744238	0.5601218323	0.5608987266	-0.0007756972552
1	cfcompat_seed1111	LAV	N0_shuffle_seed23071	0.7	908	0.5542346499	0.5764539493	0.5608987266	0.006664076693
1	cfcompat_seed1111	LAV	N0_shuffle_seed23071	1	1297	0.5608987266	0	0.5608987266	0
1	cfcompat_seed1111	LAV	N0_shuffle_seed23072	0.1	130	0.6472256048	0.5512821934	0.5608987266	-0.08632687818
1	cfcompat_seed1111	LAV	N0_shuffle_seed23072	0.2	260	0.6030998704	0.5503179191	0.5608987266	-0.04220114385
1	cfcompat_seed1111	LAV	N0_shuffle_seed23072	0.3	390	0.5826386031	0.5515508194	0.5608987266	-0.02173987652
1	cfcompat_seed1111	LAV	N0_shuffle_seed23072	0.5	649	0.5639461768	0.5578465735	0.5608987266	-0.003047450179
1	cfcompat_seed1111	LAV	N0_shuffle_seed23072	0.7	908	0.5580268343	0.5676022695	0.5608987266	0.002871892284
1	cfcompat_seed1111	LAV	N0_shuffle_seed23072	1	1297	0.5608987266	0	0.5608987266	0
1	cfcompat_seed1111	LAV	N0_shuffle_seed23073	0.1	130	0.5570987057	0.5613220365	0.5608987266	0.003800020913
1	cfcompat_seed1111	LAV	N0_shuffle_seed23073	0.2	260	0.5653817104	0.5597747383	0.5608987266	-0.004482983865
1	cfcompat_seed1111	LAV	N0_shuffle_seed23073	0.3	390	0.5571610531	0.562505885	0.5608987266	0.003737673514
1	cfcompat_seed1111	LAV	N0_shuffle_seed23073	0.5	649	0.5555868926	0.5662187579	0.5608987266	0.005311834003
1	cfcompat_seed1111	LAV	N0_shuffle_seed23073	0.7	908	0.5574317649	0.5689912746	0.5608987266	0.003466961646
1	cfcompat_seed1111	LAV	N0_shuffle_seed23073	1	1297	0.5608987266	0	0.5608987266	0
1	cfcompat_seed1111	LA	R0_global	0.1	130	0.5832429509	0.5604164401	0.562704371	-0.02053857988
1	cfcompat_seed1111	LA	R0_global	0.2	260	0.5606078973	0.5632300057	0.562704371	0.002096473766
1	cfcompat_seed1111	LA	R0_global	0.3	390	0.5603427192	0.5637198553	0.562704371	0.002361651822
