mode	pca_dimension	algorithm	parameter	inner_valid_spearman	inner_valid_MAE
LA	16	ridge	1.0	0.2060518283	0.3574500761
LA	16	ridge	10.0	0.2060481917	0.3571545518
LA	32	ridge	1.0	0.2024153976	0.3574822588
LA	32	ridge	10.0	0.202162857	0.3574468694
LA	16	ridge	0.1	0.2012113246	0.3579501221
LA	64	ridge	0.1	0.1998510927	0.3577485649
LA	64	ridge	1.0	0.1995683118	0.3575564393
LA	64	ridge	10.0	0.199461767	0.357484388
LA	32	ridge	0.1	0.1990054882	0.3577859746
LA	16	hgb	fixed	0.1543070276	0.3621084069
LA	32	hgb	fixed	0.1463647869	0.3618798545
LA	64	hgb	fixed	0.1364866651	0.3624752211
