mode	pca_dimension	algorithm	parameter	inner_valid_spearman	inner_valid_MAE
LV	32	ridge	10.0	0.1967285209	0.3524522623
LV	64	ridge	10.0	0.1948353486	0.3537116822
LV	16	ridge	10.0	0.192432939	0.3524502253
LV	32	ridge	1.0	0.1913391881	0.3524597243
LV	64	ridge	1.0	0.1905281208	0.3538267989
LV	16	ridge	1.0	0.1875257852	0.3527863801
LV	32	ridge	0.1	0.1872034667	0.3531130783
LV	64	ridge	0.1	0.1868558215	0.3542720443
LV	16	ridge	0.1	0.1846539248	0.3534172701
LV	64	hgb	fixed	0.1832326228	0.3579594053
LV	32	hgb	fixed	0.1740823428	0.3584973991
LV	16	hgb	fixed	0.170166508	0.3590205885
