mode	pca_dimension	algorithm	parameter	inner_valid_spearman	inner_valid_MAE
L	16	ridge	10.0	0.2010936069	0.3455109279
L	16	ridge	1.0	0.1978179824	0.3456209279
L	16	ridge	0.1	0.197415804	0.3458989089
L	32	ridge	10.0	0.1974141859	0.3460963393
L	32	ridge	0.1	0.1942616118	0.3462540681
L	32	ridge	1.0	0.1941600024	0.3462992414
L	16	hgb	fixed	0.1927292099	0.3464201074
L	64	ridge	10.0	0.1900817474	0.348573477
L	64	ridge	0.1	0.188334192	0.3486466258
L	64	ridge	1.0	0.188172221	0.3486502289
L	64	hgb	fixed	0.184450347	0.3484113741
L	32	hgb	fixed	0.1838779231	0.347417789
