mode	pca_dimension	algorithm	parameter	inner_valid_spearman	inner_valid_MAE
LAV	16	hgb	fixed	0.2291207555	0.3439650333
LAV	16	ridge	1.0	0.2233153309	0.3419612752
LAV	16	ridge	0.1	0.2223951104	0.3420695427
LAV	16	ridge	10.0	0.2207816236	0.3417085372
LAV	32	hgb	fixed	0.2180829363	0.344357118
LAV	64	hgb	fixed	0.2157539738	0.34385084
LAV	32	ridge	1.0	0.2146824756	0.342281987
LAV	32	ridge	10.0	0.2117225675	0.3421728064
LAV	32	ridge	0.1	0.2113444547	0.3425954345
LAV	64	ridge	1.0	0.2075309977	0.3425841563
LAV	64	ridge	0.1	0.2075198713	0.3422987963
LAV	64	ridge	10.0	0.2054824133	0.3424088459
