checkpoint_fold	expert_id	mode	quantile	empirical_coverage	pinball_loss	mean_predicted_quantile	mean_q90_minus_q50_interval_width
1	uniform_kd_seed1111	LAV	0.5	0.5026985351	0.1707526082	0.4377234956	0.774924164
1	uniform_kd_seed1111	LAV	0.8	0.7925983038	0.1500222291	0.8758030493	0.774924164
1	uniform_kd_seed1111	LAV	0.9	0.899768697	0.1062416966	1.21264766	0.774924164
1	uniform_kd_seed1111	LA	0.5	0.5065535852	0.1709230596	0.4401342324	0.7699114863
1	uniform_kd_seed1111	LA	0.8	0.7933693138	0.1506114233	0.8803933499	0.7699114863
1	uniform_kd_seed1111	LA	0.9	0.9028527371	0.1061831037	1.210045719	0.7699114863
1	uniform_kd_seed1111	LV	0.5	0.5119506554	0.1698871522	0.438697248	0.7759177505
1	uniform_kd_seed1111	LV	0.8	0.8033924441	0.1493167764	0.8816473125	0.7759177505
1	uniform_kd_seed1111	LV	0.9	0.9051657672	0.1059891566	1.214614999	0.7759177505
1	uniform_kd_seed1111	L	0.5	0.5088666153	0.1703613263	0.4441416226	0.7647494468
1	uniform_kd_seed1111	L	0.8	0.7941403238	0.1504683417	0.8801585585	0.7647494468
1	uniform_kd_seed1111	L	0.9	0.9043947571	0.1056499075	1.208891069	0.7647494468
