checkpoint_fold,video_id,sample_count,label_mean,label_bin,size_bin,stratum,self_risk_role
0,-3g5yACwYnA,6,0.5555555622,3,1,3_1,inner_valid
0,-3nNcZdcdvU,3,0.4444444478,3,0,3_0,inner_valid
0,-NFrJFQijFE,4,0.1666666716,3,1,3_1,outer
0,-THoVjtIkeU,8,1.54166666,4,2,4_2,inner_train
0,-UuX1xuaiiE,10,0.9999999941,3,2,3_2,inner_train
0,-ZgjBOA1Yhw,6,-0.1111111144,1,1,1_1,inner_train
0,-a55Q6RWvTA,1,0.6666666865,3,0,3_0,outer
0,-egA8-b7-3M,17,0.5882353046,3,3,3_3,inner_train
0,-iRBcNs9oI8,10,0.8666666716,3,2,3_2,inner_train
0,-lqc32Zpr7M,4,-0.2500000074,1,1,1_1,inner_train
0,-mqbVkbCndg,3,0.1111111144,3,0,3_0,inner_train
0,-t217m2on-s,2,0,2,0,2_0,inner_train
0,-tPCytz4rww,6,0,2,1,2_1,inner_train
0,-wny0OAz3g8,9,0.07407407298,2,2,2_2,inner_train
0,03X1FwF6udc,7,0.3333333433,3,2,3_2,inner_train
0,08d4NTXkSxw,4,0.08333333582,2,1,2_1,inner_train
0,0AA-wmk8WdA,2,0.6666666717,3,0,3_0,inner_train
0,0AkGtPzl7D8,1,0.6666666865,3,0,3_0,inner_train
0,0BVed2nBq1g,7,-1.428569961e-11,2,2,2_2,inner_train
0,0DBfvvIVmqY,11,0.8484848575,3,3,3_3,inner_train
0,0EAAfLCQabY,3,-0.5555555721,1,0,1_0,outer
0,0FA32bEZ6xI,29,0.1494252908,3,3,3_3,inner_train
0,0OC3wf9x3zQ,11,0.4545454519,3,3,3_3,inner_train
0,0OXeN3MhFeA,7,0.6666666695,3,2,3_2,inner_train
0,0WIwQgH4lKg,6,1.055555547,4,1,4_1,inner_train
0,0bsTzavb-AE,4,0.3333333433,3,1,3_1,inner_train
0,0cBmQ_ItVUc,11,0.1818181764,3,3,3_3,inner_train
0,0hCOCt6fWas,6,0.1666666716,3,2,3_2,inner_train
0,0hCihQ5Kep0,3,1.333333314,4,0,4_0,inner_train
0,0jtdrsmVzYQ,2,-0.1666666716,1,0,1_0,inner_train
0,0nJrksJ7azM,6,1.111111114,4,2,4_2,outer
0,0vXaXWx7Rvo,6,0.9444444626,3,2,3_2,inner_train
0,0zl_GDVzykw,2,-0.3333333433,1,0,1_0,outer
0,102168,5,0.06666666866,2,1,2_1,inner_train
0,102184,14,-1.190476209,0,3,0_3,inner_train
0,106514,18,-0.8888888839,1,3,1_3,inner_train
0,106941,13,-0.9230769139,1,3,1_3,outer
0,107551,15,-0.9777777831,1,3,1_3,inner_train
0,110203,10,-0.9666666716,1,2,1_2,outer
0,110754,12,-0.5277777662,1,3,1_3,inner_train
0,112148,14,-0.5476190427,1,3,1_3,inner_valid
0,112169,14,-1.000000009,0,3,0_3,inner_train
0,112223,12,-0.7500000025,1,3,1_3,inner_valid
0,112631,10,-0.2666666597,1,2,1_2,inner_train
0,112903,7,-0.6190476162,1,2,1_2,inner_train
0,114624,14,-0.4761904819,1,3,1_3,inner_train
0,11650,25,-0.8533333254,1,3,1_3,inner_train
0,119348,13,-0.7179487187,1,3,1_3,inner_train
0,121358,23,0.3188405827,3,3,3_3,outer
0,122439,10,0.4333333373,3,2,3_2,inner_train
0,122602,19,-0.5614035114,1,3,1_3,outer
0,122842,13,0.9487179449,3,3,3_3,inner_train
0,125845,11,0.4545454573,3,3,3_3,inner_train
0,126542,18,-0.9629629536,1,3,1_3,inner_train
0,126831,18,-1.481481458,0,3,0_3,outer
0,127539,10,-0.7000000089,1,2,1_2,inner_train
0,128258,15,-0.9111111223,1,3,1_3,inner_train
0,128949,9,-0.4074074195,1,2,1_2,inner_train
0,129733,12,-0.9444444428,1,3,1_3,inner_train
0,131871,9,-0.4444444444,1,2,1_2,inner_train
0,136205,16,-0.5416666772,1,3,1_3,outer
0,136215,15,0.1555555602,3,3,3_3,inner_train
0,137827,7,-1.190476183,0,2,0_2,inner_train
0,139032,18,-1.703703697,0,3,0_3,inner_train
0,13JpsLvddoY,4,1.416666649,4,1,4_1,outer
0,140293,8,-0.1249999926,1,2,1_2,inner_train
0,140317,13,-0.07692307235,2,3,2_3,inner_train
0,15837,14,0.8333333156,3,3,3_3,inner_valid
0,186631,13,1.051282051,4,3,4_3,inner_train
0,188122,17,0.509803921,3,3,3_3,inner_train
0,189966,26,-0.6794871665,1,3,1_3,inner_train
0,18JTkk8JbeU,5,5.960000005e-09,2,1,2_1,inner_train
0,190740,15,-1.200000016,0,3,0_3,outer
0,192799,18,-1.037037023,0,3,0_3,inner_train
0,194625,19,-0.6666666521,1,3,1_3,outer
0,197778,17,1.039215694,4,3,4_3,outer
0,1A-aRhYx-GQ,17,0.9999999965,3,3,3_3,inner_train
0,1A7dqFxx8wU,7,0.28571429,3,2,3_2,inner_valid
0,1ESU5ONMMxs,12,-0.1111111119,1,3,1_3,inner_valid
0,1JQ9UCBEmCU,6,0.1666666716,3,2,3_2,inner_valid
0,1RBT_QoSkIU,1,-0.3333333433,1,0,1_0,outer
0,1RxliidxXyQ,2,1,3,0,3_0,inner_train
0,1YEgMQ1xxzQ,3,-0.3333333234,1,0,1_0,inner_train
0,1ZjIX9AK860,3,0.7777777712,3,0,3_0,inner_train
0,1bzS0YF5hfs,1,0.6666666865,3,0,3_0,inner_train
0,1k7br8xXMSU,11,0.09090909362,2,3,2_3,inner_train
0,1o8Gy4J6WSs,3,0.7777777712,3,0,3_0,inner_train
0,1olbQVO_C-8,3,0.2222222288,3,0,3_0,inner_train
0,1pvK0_9SQns,4,0.08333333582,2,1,2_1,inner_valid
0,1sJjdaXXuJg,3,1.555555582,4,0,4_0,inner_train
0,2-5hH_k2VFk,6,-0.05555553242,2,2,2_2,inner_train
0,201582,13,-2.292307711e-09,2,3,2_3,inner_train
0,202431,7,-0.3333333262,1,2,1_2,inner_train
0,202810,14,-0.7142857122,1,3,1_3,inner_train
0,202990,17,-0.9215686251,1,3,1_3,inner_train
0,206049,5,-0.8666666567,1,1,1_1,inner_train
0,206376,10,-0.6333333314,1,2,1_2,inner_train
0,208148,12,-0.8888888806,1,3,1_3,outer
0,208299,11,-1.757575753,0,3,0_3,inner_train
0,210238,18,-0.5,1,3,1_3,inner_train
0,21137,11,1.727272727,4,3,4_3,inner_train
0,212532,11,-1.090909096,0,3,0_3,inner_train
0,213619,12,-0.08333333333,2,3,2_3,outer
0,215259,12,0,2,3,2_3,inner_train
